posicao;banda_nm;vip
1;1365;2.184791190610979
2;1375;2.181498620556293
3;1355;2.0975008905771793
4;1945;2.047088438770885
5;1935;2.017411141712983
6;1385;2.010966056678778
7;1345;1.9052308006446625
8;1955;1.8855434979772072
9;1845;1.8821923869120378
10;1835;1.860519132331891
11;1855;1.831885920736771
12;1395;1.790926997590078
13;1865;1.739958600489816
14;1925;1.7297211115399893
15;1965;1.6559410680556401
16;1405;1.65148816414874
17;1825;1.6052897314028531
18;1875;1.5874905493839029
19;1335;1.5851331848272363
20;1815;1.496035474107939
21;2245;1.4947357162102788
22;2235;1.4793132136786713
23;2255;1.4631452521170187
24;1975;1.4314349918665772
25;1415;1.4291046184193532
26;2225;1.424336384463704
27;2265;1.411186515534538
28;1805;1.387532482184857
29;1885;1.3843765669539252
30;725;1.3699752119857733
31;2215;1.3626296589296318
32;715;1.354354129143046
33;2275;1.33810264088287
34;2295;1.2958822716294476
35;2205;1.2848687593620054
36;2305;1.2846034987693875
37;2285;1.2776539970096539
38;1795;1.2692045457015797
39;735;1.2570107576252387
40;1985;1.2419387119768328
41;1325;1.2241885051642902
42;2315;1.2200528406191986
43;705;1.1912483620635108
44;525;1.1859008420582464
45;405;1.185362676050529
46;2325;1.1848550765989003
47;2335;1.184658191079541
48;2195;1.1837527927838958
49;1915;1.1525810848211084
50;1785;1.1519329442427255
51;2345;1.1498683687323825
52;695;1.114325808576131
53;2355;1.1096465259534374
54;1995;1.097267684467391
55;745;1.0886945643418908
56;2185;1.087868345814383
57;2365;1.0828350677227647
58;1425;1.0712117759822681
59;1775;1.0516136424518332
60;535;1.045318843821471
61;2375;1.0354821849274172
62;1765;0.9989806195143249
63;515;0.9962525350914867
64;2175;0.9911652282674813
65;2385;0.9889537162891862
66;2005;0.9879095735323663
67;2395;0.9589346951614326
68;755;0.9386424617815092
69;575;0.9359368001154066
70;585;0.9353159673212439
71;1755;0.9334102874532043
72;1565;0.9331413661810792
73;1315;0.9279704940066462
74;1555;0.9270610400635405
75;1895;0.9268360775395654
76;1575;0.9265333150115659
77;545;0.926240731917922
78;415;0.9202623951003087
79;1545;0.9200320393754527
80;2165;0.9151101383845771
81;595;0.9123919384713937
82;2405;0.9116567824591549
83;1535;0.908387157024817
84;2015;0.900914017073082
85;1585;0.8985851111824781
86;1525;0.8910086810098415
87;565;0.8823587930928825
88;1595;0.8645799794696679
89;605;0.8636736677229019
90;1515;0.8599985354620557
91;2155;0.8520624281318756
92;1745;0.8505393964235206
93;555;0.8376579805891397
94;765;0.8361972577281841
95;2025;0.8234771583357354
96;2415;0.8228984750585471
97;1505;0.8177171104648661
98;1605;0.8112854835514991
99;615;0.8072223425218891
100;1735;0.8040476462830731
101;425;0.7942828932881764
102;2145;0.7814049157912951
103;1725;0.777535826603331
104;1495;0.7668706352045574
105;775;0.7647260605119912
106;625;0.7637642041400897
107;2035;0.7577847296103768
108;2425;0.7554034612002648
109;635;0.7369106647940306
110;1615;0.7317607812329133
111;785;0.7282966280753337
112;1435;0.7201041132343236
113;865;0.7177333237228762
114;2135;0.7173784776142781
115;795;0.714830721591755
116;685;0.7137196258464781
117;855;0.7108004488697414
118;875;0.7101477030713417
119;885;0.7090593234670888
120;2045;0.7084469961849903
121;805;0.7079389038036761
122;845;0.7052492879395953
123;1485;0.7034961612129654
124;815;0.703370104487957
125;835;0.7012574965153265
126;825;0.7002530532534655
127;895;0.700214986722961
128;1005;0.6985102559646756
129;905;0.6975057943006236
130;1025;0.6964227417979847
131;435;0.6962285616188575
132;1015;0.6926139923701837
133;915;0.6894343345734854
134;925;0.6869162257995165
135;1035;0.6855175995726208
136;1715;0.6802290107166415
137;1045;0.6787282338548082
138;935;0.6757212804244219
139;995;0.6723519821518098
140;2435;0.6705592392099903
141;1055;0.6641393241600752
142;945;0.6613585892814023
143;1625;0.660918836349972
144;2125;0.6600612819692756
145;985;0.6562192545524207
146;2055;0.6559298622135163
147;505;0.6515995767194339
148;645;0.6479719067394373
149;1205;0.6466746875049468
150;1305;0.6458714785693264
151;1215;0.6371613327852571
152;1195;0.632110574933616
153;975;0.6299834271235778
154;445;0.6275532652261633
155;955;0.6275262400424729
156;1475;0.6248212823322835
157;1065;0.6228339366270114
158;1225;0.6196284019325232
159;965;0.618393564001119
160;1185;0.6112080050632052
161;2115;0.6001242988979416
162;2065;0.5967010554171664
163;1235;0.5933888926646517
164;655;0.5910662750042666
165;675;0.5909657916000358
166;1075;0.5879559945259188
167;1635;0.57719720156954
168;1245;0.5713234014552904
169;455;0.5689411756762894
170;1175;0.5646970980417928
171;2445;0.5642920087215805
172;665;0.5620429782014144
173;2105;0.556432516719748
174;1465;0.5545452007879115
175;1705;0.5528358194650355
176;2075;0.5511213879646785
177;1085;0.5493505293539654
178;1135;0.546437262063667
179;1125;0.5412740601868183
180;1255;0.538902361568821
181;495;0.5359463854992962
182;465;0.535293092148482
183;2095;0.5341493944414597
184;1445;0.5311296755575374
185;1165;0.5301511588359058
186;1145;0.5299585469488189
187;1115;0.5297848621264872
188;2085;0.5297481791992366
189;1095;0.5296880442542247
190;2450;0.525728834096248
191;1105;0.5250796134378992
192;1155;0.5229398410730922
193;1295;0.5226803582549868
194;475;0.5217388531173274
195;485;0.5172601534771699
196;1265;0.5164730240388578
197;1455;0.5111062414291767
198;1275;0.49817151041579666
199;1645;0.4976276925505202
200;1285;0.49645904380074396
201;1695;0.4715649746550805
202;1655;0.4326777276515511
203;1685;0.4271091426160838
204;1675;0.39662134957275164
205;1665;0.3931483370156489
206;1905;0.28745759118194814
