seed;fold;classe_real_nirrig;classe_predita_nirrig;score_plsda
42;1;1;1;0.8405513338941771
42;1;1;1;0.8503274357521968
42;1;1;1;0.8598120128418344
42;1;0;1;0.767044155115443
42;1;0;1;0.7765149351175542
42;1;0;0;0.2637270298296784
42;1;0;0;0.22473572699587446
42;1;1;1;0.785282635818169
42;1;1;1;0.7943511990451843
42;1;1;1;0.8089616120533231
42;1;0;1;0.9533599433195931
42;1;0;1;0.9631219710706416
42;1;0;0;0.3975658845820739
42;1;1;1;0.8660303510929912
42;1;0;0;0.1320522398332265
42;1;0;0;-0.02545410726997499
42;1;0;0;-0.19227018133259677
42;1;0;0;0.47475585004160753
42;1;1;1;0.7201599770490081
42;1;1;1;0.7188614210868481
42;1;0;0;0.22450099151337427
42;1;0;0;0.05127028221081542
42;1;0;1;0.7185729409641017
42;1;1;1;0.5817314272124589
42;1;1;1;0.5778996984213084
42;1;1;1;0.669321430516521
42;1;0;0;-0.18764037580433868
42;1;0;0;-0.2303301208602987
42;1;0;0;-0.14636096946991317
42;1;0;0;-0.29365166278534116
42;1;1;1;0.7040031867948264
42;1;1;1;0.8220016855547863
42;1;1;1;0.7568813833148234
42;1;1;1;0.8346514735258239
42;1;1;1;0.8104141416804197
42;1;1;1;0.8125596850536274
42;1;1;1;0.7843919199409217
42;1;0;0;-0.07207868548735208
42;1;0;0;-0.11015880463158301
42;1;0;0;0.25420387107897846
42;1;0;0;0.21393347033593058
42;1;1;0;0.42837665357844207
42;1;1;1;0.626942120639755
42;1;1;1;0.6350291568925948
42;1;0;0;0.033342121494703336
42;1;0;1;0.6157479643679504
42;1;1;1;0.9690187718481513
42;1;1;1;0.7692117734989543
42;2;0;0;0.22872152976569615
42;2;0;0;0.22808476246667836
42;2;1;1;0.8452392419982517
42;2;0;1;0.7614841768038529
42;2;0;0;0.19978745655666474
42;2;0;0;0.18263104668852298
42;2;1;1;0.7498807299954415
42;2;0;0;0.45923048524828197
42;2;1;1;0.99834318884647
42;2;0;0;0.06724829753207179
42;2;0;0;0.4446128396503759
42;2;0;0;0.2985982462178547
42;2;1;1;0.9001301936593922
42;2;0;0;-0.18151590924265004
42;2;0;1;0.522735473241539
42;2;0;0;0.4303024356087471
42;2;0;0;0.391553728492333
42;2;1;1;0.9349064145739031
42;2;1;1;0.9278730937435744
42;2;0;0;0.1595611457646482
42;2;0;1;0.7096099627364961
42;2;0;0;-0.07809043598990562
42;2;0;0;-0.2541184892310566
42;2;1;1;0.69000033044554
42;2;1;1;0.697092602564384
42;2;1;1;0.6929473370822482
42;2;1;1;0.7518234495334315
42;2;0;0;0.009636151690412653
42;2;0;0;0.12363133546494781
42;2;1;1;0.8073325481353856
42;2;1;1;0.7504735788166385
42;2;1;1;0.7573062906041068
42;2;0;0;-0.18950258120773467
42;2;0;0;0.16365716654879098
42;2;1;1;0.7167715535330692
42;2;1;1;0.7808750551093913
42;2;0;0;0.025000418921166334
42;2;0;0;0.47453659045792923
42;2;1;1;0.7587219600839601
42;2;1;1;0.640898208248541
42;2;1;1;0.6560170026844327
42;2;0;0;-0.011663384415158462
42;2;1;0;0.36655685372469793
42;2;1;0;0.3197697151670643
42;2;1;1;0.9247937274021182
42;2;1;1;0.9222052785062723
42;2;1;1;0.9397769304557392
42;2;1;1;0.7115496930806544
42;3;0;0;0.22250061676761956
42;3;1;1;0.9772369371247399
42;3;1;1;0.9665945964998415
42;3;1;1;0.9480752867707722
42;3;0;1;0.8620729657430207
