seed;fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
42;1;144;48;0.8958333333333334;0.9019607843137255;0.7916666666666666;0.8923611111111112
42;2;144;48;0.7083333333333334;0.6956521739130435;0.41666666666666663;0.7725694444444444
42;3;144;48;0.9166666666666666;0.9166666666666666;0.8333333333333334;0.9618055555555556
42;4;144;48;0.875;0.8888888888888888;0.75;0.921875
43;1;144;48;0.9375;0.9361702127659575;0.875;0.967013888888889
43;2;144;48;0.875;0.8846153846153846;0.75;0.8663194444444444
43;3;144;48;0.8125;0.8363636363636363;0.625;0.9149305555555556
43;4;144;48;0.75;0.7272727272727273;0.5;0.8229166666666666
44;1;144;48;0.875;0.875;0.75;0.939236111111111
44;2;144;48;0.875;0.88;0.75;0.8940972222222221
44;3;144;48;0.875;0.8846153846153846;0.75;0.9288194444444444
44;4;144;48;0.6666666666666666;0.6363636363636364;0.33333333333333337;0.7847222222222223
45;1;144;48;0.8541666666666666;0.8679245283018868;0.7083333333333333;0.8645833333333334
45;2;144;48;0.7916666666666666;0.7619047619047619;0.5833333333333333;0.8663194444444444
45;3;144;48;0.875;0.8846153846153846;0.75;0.9201388888888888
45;4;144;48;0.8958333333333334;0.8979591836734694;0.7916666666666666;0.9288194444444444
46;1;144;48;0.8958333333333334;0.9019607843137255;0.7916666666666666;0.9322916666666667
46;2;144;48;0.6666666666666666;0.6190476190476191;0.33333333333333337;0.7743055555555556
46;3;144;48;0.8333333333333334;0.8260869565217391;0.6666666666666667;0.861111111111111
46;4;144;48;0.7291666666666666;0.7450980392156863;0.45833333333333337;0.8645833333333334
