genotipo;dia;posicao;banda_nm;vip
todos;D02;1;1365;2.184791190610979
todos;D02;2;1375;2.181498620556293
todos;D02;3;1355;2.0975008905771793
todos;D02;4;1945;2.047088438770885
todos;D02;5;1935;2.017411141712983
todos;D03;1;1375;1.8231549731643284
todos;D03;2;1935;1.7448155178724443
todos;D03;3;1945;1.738444723522674
todos;D03;4;1365;1.7278261681309912
todos;D03;5;1955;1.6762933609819584
todos;D04;1;405;2.2302199772784266
todos;D04;2;415;2.103939608726202
todos;D04;3;1935;2.098278803499675
todos;D04;4;1945;2.0835620344643724
todos;D04;5;1925;2.0613167073206577
todos;D05;1;1935;1.8148156691780013
todos;D05;2;1925;1.8018037657734578
todos;D05;3;1945;1.7705028138487977
todos;D05;4;1915;1.7046473743196007
todos;D05;5;1955;1.6938939262243158
todos;D06;1;1925;1.7162296257301022
todos;D06;2;1935;1.692871961283131
todos;D06;3;1915;1.6777117210225228
todos;D06;4;1945;1.6312687296278268
todos;D06;5;1955;1.5542415375130623
todos;D09;1;1945;1.7774326593762202
todos;D09;2;1935;1.7431898773899441
todos;D09;3;1955;1.7422644625904167
todos;D09;4;1375;1.725790187631715
todos;D09;5;1965;1.6654030580356238
todos;D10;1;1355;2.463782908363714
todos;D10;2;1365;2.4414582555487736
todos;D10;3;1375;2.2517194567535848
todos;D10;4;405;2.215140262931915
todos;D10;5;1345;2.1817874206400165
