seed;fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
42;1;144;48;0.9375;0.9387755102040817;0.875;0.9826388888888888
42;2;144;48;0.8541666666666666;0.8444444444444444;0.7083333333333333;0.9600694444444444
42;3;144;48;0.9375;0.9333333333333333;0.875;1.0
42;4;144;48;0.7916666666666666;0.7727272727272727;0.5833333333333333;0.875
43;1;144;48;0.9166666666666666;0.9230769230769231;0.8333333333333334;0.9861111111111112
43;2;144;48;0.8541666666666666;0.8372093023255814;0.7083333333333333;0.9565972222222223
43;3;144;48;1.0;1.0;1.0;1.0
43;4;144;48;0.875;0.8695652173913043;0.75;0.9722222222222222
44;1;144;48;0.875;0.8636363636363636;0.75;0.9913194444444444
44;2;144;48;0.8125;0.8163265306122449;0.625;0.9479166666666667
44;3;144;48;0.8958333333333334;0.8936170212765957;0.7916666666666666;0.982638888888889
44;4;144;48;0.9375;0.9361702127659575;0.875;0.9878472222222222
45;1;144;48;0.8333333333333334;0.8260869565217391;0.6666666666666667;0.953125
45;2;144;48;0.9166666666666666;0.92;0.8333333333333334;0.9913194444444444
45;3;144;48;0.8958333333333334;0.8936170212765957;0.7916666666666666;0.9809027777777778
45;4;144;48;0.8958333333333334;0.8837209302325582;0.7916666666666666;0.984375
46;1;144;48;0.8958333333333334;0.8936170212765957;0.7916666666666666;0.984375
46;2;144;48;0.8541666666666666;0.851063829787234;0.7083333333333333;0.9635416666666666
46;3;144;48;0.8958333333333334;0.8936170212765957;0.7916666666666666;0.9809027777777778
46;4;144;48;0.8125;0.8;0.625;0.9548611111111112
