posicao;banda_nm;vip
1;1360;2.5026858093904476
2;1350;2.38524128025149
3;1370;2.3756545310060626
4;405;2.233155218908708
5;710;2.1555192972414945
6;720;2.142192937438588
7;415;2.1317008333493255
8;1380;2.1254008924423773
9;425;2.0097062000459234
10;1950;1.9335008269661025
11;2448;1.930982820966301
12;435;1.9286711037044972
13;1940;1.9265461725018103
14;1340;1.91531934207386
15;1960;1.8787602669357728
16;1930;1.8711010005024955
17;445;1.8319507438668259
18;1390;1.8095551721464587
19;1970;1.7802899342945377
20;730;1.7620576612911227
21;1920;1.748564632967902
22;2440;1.7321195605098474
23;455;1.7226247813050386
24;1980;1.6471540833667908
25;701;1.6386167161876657
26;465;1.6137458175844432
27;1400;1.6047802729577616
28;475;1.512465752888116
29;1850;1.507586141295561
30;1910;1.505388934536592
31;1840;1.4911524216884955
32;1990;1.489675051703942
33;2430;1.4882970936083455
34;1830;1.483891080310487
35;1860;1.465472712710037
36;1410;1.445459959125587
37;485;1.4075182965234059
38;1820;1.3772243008438156
39;1870;1.3649068202489762
40;2000;1.3386294122573326
41;495;1.2846415385013734
42;2420;1.2763062234595357
43;1330;1.2689503344232147
44;1810;1.2679230823642773
45;1420;1.2203300821495071
46;2010;1.2136463849430148
47;1800;1.1447488784838795
48;1880;1.1438453863438085
49;2020;1.1204769099576353
50;555;1.112185845970071
51;505;1.1021507162668258
52;2410;1.0801418998208765
53;2030;1.060644852466541
54;2040;1.0384220826990092
55;2050;1.0292901216063322
56;565;1.0068664451800127
57;1790;1.0016927281042516
58;545;0.997830554388614
59;2060;0.9970943524066581
60;2070;0.9350467403061583
61;1430;0.9281170620389617
62;2400;0.919966698214593
63;1900;0.9001226738257674
64;1320;0.8852348734258902
65;1780;0.8816293764220361
66;2080;0.8756261565732658
67;2090;0.8264249182342582
68;2390;0.814260874409361
69;535;0.8000826066339362
70;1770;0.7984277493844042
71;575;0.7945194380859208
72;2100;0.7835132959696282
73;2380;0.7509982465004307
74;1760;0.7426706957143749
75;2110;0.7418977169261268
76;515;0.7416434631864395
77;1310;0.7390098079922733
78;740;0.7323447650120649
79;2370;0.7190104448648139
80;2120;0.7053477562864974
81;685;0.7017313549324535
82;2360;0.6884578504694434
83;1300;0.6882297742552297
84;585;0.6811920089105689
85;2130;0.6707856142416505
86;1440;0.6671290122965058
87;1290;0.6593809592095285
88;2350;0.6574257010700846
89;2330;0.6573493404835656
90;2340;0.6548424616671183
91;675;0.6509071983243949
92;1750;0.6503704232841226
93;2320;0.6469491861767832
94;2140;0.6428970137859387
95;1160;0.6294656697597826
96;595;0.6283045958530201
97;2150;0.625154714227089
98;1280;0.6234856882793945
99;1540;0.6221380642664999
100;1530;0.6176914475485723
101;1020;0.6171273164347635
102;1550;0.6144577243013556
103;1030;0.6094220447226464
104;1520;0.6092318279481431
105;2160;0.6087172106623115
106;1010;0.6079049889545661
107;1560;0.6064628489882927
108;1050;0.605880941842041
109;1080;0.6045188618873233
110;1170;0.6041288462602132
111;665;0.6028474593097976
112;760;0.6016305159935668
113;1730;0.6016023645362734
114;2310;0.6008646339106842
115;1570;0.6007235711224032
116;1040;0.5979986362167476
117;605;0.5978267364899135
118;1740;0.5962540685103098
119;1090;0.594810105287959
120;1270;0.594674422594975
121;1070;0.5943264592588556
122;2290;0.5936596538184609
123;1510;0.5916405995160674
124;2170;0.5906626244972152
125;1060;0.5864740504265754
126;1100;0.5854102802402739
127;770;0.5844397593911439
128;1890;0.5843560030790796
129;2280;0.5826019364709194
130;1000;0.5804503501044455
131;2300;0.5789005336778231
132;655;0.577734939312084
133;2240;0.5769759848688353
134;1150;0.5763142679737213
135;1260;0.5762878068674744
136;1580;0.5759230386577039
137;1180;0.5733837665617507
138;1250;0.5669750299228891
139;1720;0.5647593047849224
140;2230;0.5647525097219885
141;1500;0.5636359327468237
142;2180;0.5625874980253615
143;2250;0.5608264247015162
144;1240;0.5599056395538018
145;1190;0.5589547809308023
146;1220;0.5560819428990564
147;1230;0.5555656348585545
148;645;0.5555349041503392
149;615;0.5555210767875478
150;1200;0.5512368043578296
151;1210;0.5493524836854384
152;1110;0.5479523396360714
153;625;0.5445012398513849
154;635;0.5414065170705569
155;2270;0.5402096540140834
156;2220;0.5394573612500931
157;990;0.5384260924389906
158;780;0.5379070165243994
159;2260;0.5359380438378669
160;2190;0.5308586554184468
161;1490;0.5287015063136364
162;694;0.5269036938187609
163;525;0.5236425665288414
164;2210;0.5211656289853069
165;1590;0.5198099702416487
166;1450;0.5187131325776579
167;1120;0.5180239530165575
168;790;0.5180009244123822
169;2200;0.5159760281855246
170;800;0.5063026806874912
171;980;0.49315241762671747
172;810;0.4923967707069206
173;1480;0.4892857514146671
174;1130;0.4848364929137952
175;1140;0.48218871909573463
176;820;0.47550135068689514
177;970;0.4670107549226224
178;1460;0.4639940809189135
179;1470;0.4604901029188488
180;940;0.4540696697197094
181;960;0.45037619316906663
182;920;0.45029559781664713
183;930;0.4490849318302237
184;950;0.4481412580608612
185;910;0.44698449533501633
186;830;0.442872871393963
187;1710;0.44148596146566865
188;900;0.4398488240680537
189;890;0.43483121814985687
190;880;0.4268523264509757
