genotipo;dia;posicao;banda_nm;vip
todos;D02;1;1373;2.1851814566192864
todos;D02;2;1363;2.179740224522442
todos;D02;3;1353;2.0702507336749956
todos;D02;4;1943;2.06526412889481
todos;D02;5;1383;2.0616056679114174
todos;D03;1;1370;1.8554832532496683
todos;D03;2;1940;1.7538565233859837
todos;D03;3;1930;1.71762529665223
todos;D03;4;1950;1.7145596222351385
todos;D03;5;1960;1.637072545623287
todos;D04;1;405;2.234770143390005
todos;D04;2;415;2.1083003560493823
todos;D04;3;1933;2.0997643686932737
todos;D04;4;1943;2.0945418122502084
todos;D04;5;1923;2.0502571626742583
todos;D05;1;1936;1.8186798669904862
todos;D05;2;1926;1.8131814211518655
todos;D05;3;1946;1.7702050336628705
todos;D05;4;1916;1.7251227497055062
todos;D05;5;1956;1.6916978106301828
todos;D06;1;1927;1.7237471987954949
todos;D06;2;1917;1.700778849880794
todos;D06;3;1937;1.690798440086017
todos;D06;4;1947;1.6235136871195646
todos;D06;5;1907;1.577452927268313
todos;D09;1;1948;1.7795820459602008
todos;D09;2;1938;1.7697672433801985
todos;D09;3;1958;1.7257329668377415
todos;D09;4;1370;1.690541730132925
todos;D09;5;1380;1.6814001108714527
todos;D10;1;1360;2.5026858093904476
todos;D10;2;1350;2.38524128025149
todos;D10;3;1370;2.3756545310060626
todos;D10;4;405;2.233155218908708
todos;D10;5;710;2.1555192972414945
