posicao;banda_nm;importancia_gini
1;405;0.07849094959771385
2;415;0.07261925907343181
3;1960;0.0550589296418481
4;1530;0.04705157579187852
5;1950;0.04695360728502655
6;1540;0.04197097121825839
7;425;0.039527066471121856
8;1520;0.03320518625585427
9;1940;0.030090026029535196
10;2010;0.027714387319851496
11;1970;0.024700203360764925
12;445;0.02444488335642086
13;435;0.021764050834746043
14;1510;0.019413644397951537
15;2050;0.018881730317539057
16;1500;0.016267984891971534
17;1360;0.015923247800312724
18;1980;0.015791436737101098
19;1990;0.015508514666694976
20;1370;0.01498355163932983
21;1930;0.014694311507530146
22;2080;0.012893341887260778
23;1570;0.012399411950704613
24;1350;0.012188264935822514
25;1450;0.011023345027567088
26;1580;0.009726827184702304
27;710;0.009188637735246596
28;2000;0.00883699338764437
29;1910;0.008265554276449708
30;1840;0.007700963395086728
31;1490;0.007523151917305358
32;455;0.007481127124963818
33;1550;0.007439853949013521
34;2030;0.007334456834009356
35;2020;0.007253076357738675
36;1460;0.006861275874070641
37;465;0.006490836468374344
38;475;0.006309950108913549
39;505;0.006285298212485398
40;770;0.0060162043502654545
41;1380;0.005745488826758567
42;1860;0.00515779421878414
43;720;0.005078539868905445
44;1920;0.004690452850911218
45;1890;0.004596199587475582
46;1740;0.004180430804209132
47;1850;0.004132422643661501
48;2250;0.0040737744596973935
49;1390;0.003858643135759476
50;2210;0.0037030234417342093
51;1010;0.0034949173456736943
52;545;0.003333628907129817
53;1790;0.003268567447405274
54;1090;0.0028961852086200755
55;1820;0.0028780629234278314
56;1900;0.002876480580235944
57;605;0.002792391055860284
58;1330;0.0027869373539715693
59;2100;0.0025789380808601595
60;1770;0.002538481286195779
61;2300;0.0023351447306249906
62;585;0.002240788874810122
63;1830;0.002216103147337315
64;2070;0.0022021506307411402
65;2400;0.0021651893234077794
66;2370;0.0021399980826815393
67;595;0.002125536807297235
68;1720;0.002092639588605456
69;495;0.001988593595163563
70;1200;0.0019071968052408704
71;1120;0.0018964304926706384
72;2150;0.0018139805863209354
73;1810;0.0017897864410017466
74;860;0.0017747572982188195
75;625;0.0016836458829578385
76;1340;0.0016741544912587346
77;2390;0.0016733472289027847
78;555;0.0015872888078620425
79;1030;0.001512604999358583
80;1730;0.0014429831501793055
81;1430;0.0014285908807967632
82;701;0.0013991313213069544
83;1780;0.001384967819736689
84;694;0.0013632580500387956
85;2420;0.0013579937299345911
86;2410;0.0013175230566534917
87;1800;0.00131441383044988
88;2230;0.0012991688667608966
89;1870;0.0012903185799550423
90;920;0.0011583326583067908
91;970;0.001126750483222471
92;2320;0.0011265982812975084
93;2190;0.0011241646431162833
94;1420;0.0009774190029453475
95;890;0.0009750233942623872
96;790;0.0009301088506728701
97;1410;0.0009144701452393757
98;840;0.0009053934571175951
99;535;0.0008596604341285193
100;2430;0.0008560991922621804
101;830;0.0008474284336353302
102;2110;0.000822933713328212
103;1110;0.0007813347802495933
104;960;0.0007692691919681619
105;950;0.0007675549479343631
106;615;0.0007500665684079458
107;2350;0.0007388167388167389
108;1710;0.0007267238557964873
109;1470;0.000715823560563485
110;1000;0.0006739798157086442
111;1660;0.0006701843588744163
112;1210;0.0006686274509803921
113;2310;0.0006569497771583139
114;820;0.000642140468227425
115;2170;0.0006260869565217392
116;810;0.0006061054579093438
117;1140;0.0006057692307692305
118;1600;0.0005972082663987148
119;870;0.0005784923378221171
120;1640;0.0005505947544293186
121;2200;0.0005472788081483733
122;1190;0.000542274014791023
123;1750;0.000536076898299984
124;1280;0.000531745482240532
125;2330;0.0005277473959078964
126;1560;0.0005105915306971313
127;2240;0.0004995233573336393
128;1590;0.0004692607717140034
129;2130;0.00046706805327494983
130;2448;0.00045213567914687854
131;2270;0.0004188938584051489
132;1240;0.00041889385840514887
133;1170;0.0004170739654610623
134;525;0.0004147934699405287
135;2340;0.0003859645142757793
136;1400;0.0003846571225844149
137;1080;0.00036613185128036614
138;685;0.00036189429042645104
139;645;0.0003581143043660725
140;1610;0.00035776397515527953
141;900;0.0003246376811594204
142;2440;0.00030525109831481867
143;1880;0.0002987861811391224
144;2180;0.00029794924176946674
145;2090;0.00027886710239651425
146;1230;0.00027319164678596663
147;575;0.0002083559413998915
148;2220;0.00020591572501049178
149;2160;0.0001966763813715582
150;740;0.00019239119543070903
151;1050;0.00019130434782608697
152;2120;0.00019097222222222226
153;1300;0.00018823529411764715
154;910;0.00018721661547462337
155;1760;0.00018678160919540185
156;1290;0.00018569691610478617
157;675;0.00017927170868347348
158;1160;0.00017362995116657623
159;1320;0.00016695652173913042
160;2280;0.0001641025641025641
161;1130;0.00013943355119825713
162;1650;0.00013926667392013932
163;2040;8.231884057970988e-05
164;1440;5.954288484803716e-05
165;565;5.45476952562161e-05
166;2290;3.92720306513406e-05
167;665;1.829766815078829e-05
168;515;0.0
169;2260;0.0
170;2380;0.0
171;2360;0.0
172;1250;0.0
173;1270;0.0
174;1260;0.0
175;485;0.0
176;1040;0.0
177;1310;0.0
178;2140;0.0
179;990;0.0
180;980;0.0
181;1060;0.0
182;1620;0.0
183;1630;0.0
184;1070;0.0
185;1670;0.0
186;1680;0.0
187;1690;0.0
188;1700;0.0
189;1480;0.0
190;1100;0.0
191;940;0.0
192;930;0.0
193;1220;0.0
194;880;0.0
195;850;0.0
196;1150;0.0
197;800;0.0
198;780;0.0
199;760;0.0
200;750;0.0
201;1020;0.0
202;1180;0.0
203;2060;0.0
204;655;0.0
205;635;0.0
206;730;0.0
