posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
1;1458;0.0;0.0;0.05;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;1.0
2;821;0.0;0.0;0.04;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
3;1121;0.0;0.0;0.04;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
4;515;0.0;0.0;0.03;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
5;605;0.0;0.0;0.03;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
6;685;0.0;0.0;0.03;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
7;695;0.0;0.0;0.03;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
8;851;0.0;0.0;0.03;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
9;951;0.0;0.0;0.03;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
10;971;0.0;0.0;0.03;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
11;1091;0.0;0.0;0.03;7.496890411186199e-12;1.674958848948028e-11;0.7402101426799007;-0.99609375;True;0.99609375
12;1131;0.0;0.0;0.03;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
13;1578;0.0;0.0;0.03;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;1.0
14;2447;0.0;0.0;0.03;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;1.0
15;425;0.0;0.0;0.02;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
16;465;0.0;0.0;0.02;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
17;495;0.0;0.0;0.02;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
18;575;0.0;0.0;0.02;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
19;615;0.0;0.0;0.02;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
20;761;0.0;0.0;0.02;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
21;791;0.0;0.0;0.02;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
22;1081;0.0;0.0;0.02;6.824833029737679e-12;1.62575290870987e-11;0.7431790865384615;-0.998046875;True;0.998046875
23;1478;0.0;0.0;0.02;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;1.0
24;1528;0.0;0.0;0.02;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;1.0
25;2408;0.0;0.0;0.02;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;1.0;True;1.0
26;405;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
27;445;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
28;475;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
29;505;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
30;525;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
31;585;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
32;625;0.0;0.0;0.01;6.211923275036763e-12;1.5350186309759518e-11;0.7461538461538462;-1.0;True;1.0
