posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
1;2033;0.036458333333333336;0.06314768569261532;0.01401062145889732;6.749464436755784e-08;6.853045326626787e-07;0.4537957506203474;0.78515625;True;0.78515625
2;2083;0.036458333333333336;0.06314768569261532;0.010890029499248333;3.148956441844384e-05;0.0001268862409081;0.2633180831265508;0.60546875;True;0.60546875
3;2053;0.036458333333333336;0.06314768569261532;0.0029072508768903456;5.49047958631088e-07;3.830263139974018e-06;0.3884411833126551;0.728515625;True;0.728515625
4;2043;0.036458333333333336;0.06314768569261532;0.0;1.635704831930318e-07;1.4155403418941275e-06;0.4261592741935484;0.76171875;True;0.76171875
5;2073;0.026041666666666668;0.04510548978043952;0.005163168688785388;1.0622076677453249e-05;4.940108676974288e-05;0.296712158808933;0.640625;True;0.640625
6;1493;0.020833333333333332;0.036084391824351615;0.01315047560251394;9.093644292926818e-09;1.5041181003865245e-07;0.5165477667493796;0.8359375;True;0.8359375
7;2023;0.020833333333333332;0.036084391824351615;0.005024227234753551;2.1543869097921124e-08;2.832466379476681e-07;0.48951903691067;0.814453125;True;0.814453125
8;1503;0.015625;0.027063293868263706;0.017096882863604876;8.398993224157852e-09;1.4850288881679097e-07;0.5190398185483871;0.837890625;True;0.837890625
9;2333;0.010416666666666666;0.018042195912175808;0.0013932980599647268;0.5546579389558763;0.582192135516122;0.0;0.0859375;False;0.0859375
10;1993;0.005208333333333333;0.009021097956087904;0.022312207488648608;1.000345813900976e-09;5.937376722162505e-08;0.5858744959677419;0.888671875;True;0.888671875
