fold;bloco;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;B4;IRRIG;0;1;0.94
1;B4;IRRIG;0;1;0.95
1;B4;IRRIG;0;1;0.93
1;B4;IRRIG;0;1;0.93
1;B4;IRRIG;0;0;0.42
1;B4;IRRIG;0;0;0.44
1;B4;IRRIG;0;0;0.43
1;B4;IRRIG;0;0;0.43
1;B4;NIRRIG;1;1;0.95
1;B4;NIRRIG;1;1;0.93
1;B4;NIRRIG;1;1;0.91
1;B4;NIRRIG;1;1;0.89
1;B4;NIRRIG;1;1;0.87
1;B4;NIRRIG;1;1;0.85
1;B4;NIRRIG;1;1;0.83
1;B4;NIRRIG;1;1;0.84
2;B3;IRRIG;0;0;0.39
2;B3;IRRIG;0;0;0.41
2;B3;IRRIG;0;0;0.46
2;B3;IRRIG;0;0;0.43
2;B3;IRRIG;0;1;0.62
2;B3;IRRIG;0;0;0.5
2;B3;IRRIG;0;0;0.49
2;B3;IRRIG;0;0;0.49
2;B3;NIRRIG;1;1;0.51
2;B3;NIRRIG;1;1;0.59
2;B3;NIRRIG;1;1;0.59
2;B3;NIRRIG;1;1;0.62
2;B3;NIRRIG;1;1;0.54
2;B3;NIRRIG;1;1;0.57
2;B3;NIRRIG;1;1;0.59
2;B3;NIRRIG;1;1;0.66
3;B2;IRRIG;0;0;0.34
3;B2;IRRIG;0;0;0.36
3;B2;IRRIG;0;0;0.38
3;B2;IRRIG;0;0;0.38
3;B2;IRRIG;0;0;0.05
3;B2;IRRIG;0;0;0.09
3;B2;IRRIG;0;0;0.1
3;B2;IRRIG;0;0;0.03
3;B2;NIRRIG;1;0;0.46
3;B2;NIRRIG;1;0;0.46
3;B2;NIRRIG;1;0;0.47
3;B2;NIRRIG;1;0;0.46
3;B2;NIRRIG;1;0;0.29
3;B2;NIRRIG;1;0;0.3
3;B2;NIRRIG;1;0;0.26
3;B2;NIRRIG;1;0;0.26
4;B1;IRRIG;0;1;0.99
4;B1;IRRIG;0;1;0.99
4;B1;IRRIG;0;1;0.99
4;B1;IRRIG;0;1;1.0
4;B1;IRRIG;0;1;0.51
4;B1;IRRIG;0;1;0.52
4;B1;IRRIG;0;1;0.54
4;B1;IRRIG;0;1;0.55
4;B1;NIRRIG;1;0;0.23
4;B1;NIRRIG;1;0;0.23
4;B1;NIRRIG;1;0;0.21
4;B1;NIRRIG;1;0;0.19
4;B1;NIRRIG;1;0;0.48
4;B1;NIRRIG;1;1;0.53
4;B1;NIRRIG;1;0;0.5
4;B1;NIRRIG;1;1;0.51
