posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
1;1325;0.026041666666666664;0.027063293868263706;0.02411107355593477;1.201848975466066e-05;0.0001304228703005;0.2929086538461539;-0.63671875;True;0.63671875
2;1335;0.020833333333333332;0.020833333333333332;0.05059362317602587;2.285823180339581e-06;5.2676666773893045e-05;0.3441687344913152;-0.6875;True;0.6875
3;1315;0.015625;0.027063293868263706;0.04443963485550645;4.467771099432264e-05;0.0003127439769602;0.252605459057072;-0.59375;True;0.59375
4;1305;0.015625;0.027063293868263706;0.03970039261703031;7.894407298562638e-05;0.0004833262498314;0.2352163461538461;-0.57421875;True;0.57421875
5;1235;0.010416666666666666;0.018042195912175808;0.011899045863964642;0.000288590960955;0.0011767396837353;0.1958553039702233;-0.52734375;True;0.52734375
6;1295;0.010416666666666666;0.018042195912175808;0.009280757479076807;0.0001528102811647;0.0007588713962925;0.2151170905707196;-0.55078125;True;0.55078125
7;1945;0.010416666666666666;0.018042195912175808;0.008404844968462413;2.485345772413224e-05;0.0001991189132507;0.2705761476426799;0.61328125;True;0.61328125
8;2015;0.010416666666666666;0.018042195912175808;0.001448173491184244;0.0005317996813093;0.0015739121881174;0.1774309863523573;0.50390625;True;0.50390625
9;2045;0.005208333333333333;0.009021097956087904;0.013940229037713752;0.0030032897388181;0.0038570740477871;0.1258946572580645;0.431640625;True;0.431640625
10;485;0.005208333333333333;0.009021097956087904;0.0070093644042857894;0.0103298859694399;0.0110174706829544;0.0899532800868486;-0.373046875;True;0.373046875
11;455;0.005208333333333333;0.009021097956087904;0.004597493806054825;0.0035718166674686;0.0044533714194395;0.120800054280397;-0.423828125;True;0.423828125
12;435;0.005208333333333333;0.009021097956087904;0.0025940933391913794;0.0020134213752702;0.0029644847384632;0.1376977357320099;-0.44921875;True;0.44921875
13;465;0.005208333333333333;0.009021097956087904;0.002289201036627898;0.0046094712250839;0.0055029251936247;0.1133326225186104;-0.412109375;True;0.412109375
14;475;0.005208333333333333;0.009021097956087904;0.0;0.0081654876347691;0.0088704529337454;0.0967228210297766;-0.384765625;True;0.384765625
15;1585;0.0;0.0;0.04669098440020697;1.5208503355036298e-07;8.19899178129774e-06;0.4284303272332506;0.763671875;True;0.763671875
16;1575;0.0;0.0;0.04077194271147098;1.054034701684782e-07;8.19899178129774e-06;0.4398728287841191;0.7734375;True;0.7734375
