posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
1;1325;0.026041666666666664;0.027063293868263706;0.02411107355593477;1.201848975466066e-05;0.0001304228703005;0.2929086538461539;-0.63671875;True;0.63671875
2;1335;0.020833333333333332;0.020833333333333332;0.05059362317602587;2.285823180339581e-06;5.2676666773893045e-05;0.3441687344913152;-0.6875;True;0.6875
3;1315;0.015625;0.027063293868263706;0.04443963485550645;4.467771099432264e-05;0.0003127439769602;0.252605459057072;-0.59375;True;0.59375
4;1305;0.015625;0.027063293868263706;0.03970039261703031;7.894407298562638e-05;0.0004833262498314;0.2352163461538461;-0.57421875;True;0.57421875
5;1235;0.010416666666666666;0.018042195912175808;0.011899045863964642;0.000288590960955;0.0011767396837353;0.1958553039702233;-0.52734375;True;0.52734375
6;1295;0.010416666666666666;0.018042195912175808;0.009280757479076807;0.0001528102811647;0.0007588713962925;0.2151170905707196;-0.55078125;True;0.55078125
7;1945;0.010416666666666666;0.018042195912175808;0.008404844968462413;2.485345772413224e-05;0.0001991189132507;0.2705761476426799;0.61328125;True;0.61328125
8;2015;0.010416666666666666;0.018042195912175808;0.001448173491184244;0.0005317996813093;0.0015739121881174;0.1774309863523573;0.50390625;True;0.50390625
9;2045;0.005208333333333333;0.009021097956087904;0.013940229037713752;0.0030032897388181;0.0038570740477871;0.1258946572580645;0.431640625;True;0.431640625
10;485;0.005208333333333333;0.009021097956087904;0.0070093644042857894;0.0103298859694399;0.0110174706829544;0.0899532800868486;-0.373046875;True;0.373046875
