dia;banda_nm;p_valor;q_fdr;epsilon2;delta_cliff;significativa;grupo_spearman;vip_pls_da;vip_acima_de_1;abs_delta_cliff
D09;1837;6.655911630240959e-09;8.154883365366909e-09;0.4944371248719075;0.8194444444444444;True;145;1.2678761494689972;True;0.8194444444444444
D09;1847;3.686519414632797e-09;4.552107958706723e-09;0.5118577075098815;0.8333333333333333;True;146;1.2139184544004322;True;0.8333333333333333
D09;1499;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;111;1.163700470476662;True;1.0
D09;1488;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;110;1.1636696266873132;True;1.0
D09;1478;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;109;1.1601786512882266;True;1.0
D09;1509;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;112;1.1588163553863025;True;1.0
D09;1519;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;113;1.1530447004956224;True;1.0
D09;1469;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;108;1.1498754584764976;True;1.0
D09;1902;3.969285585861657e-08;4.8143138596110356e-08;0.4418848814229249;0.7760416666666667;True;152;1.1475763759878517;True;0.7760416666666667
D09;1461;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;107;1.1431455820893905;True;1.0
D09;1912;0.0001466762402418;0.0001619122544327;0.2032485177865612;0.5364583333333333;True;153;1.1421376005631343;True;0.5364583333333333
D09;1529;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;114;1.1415707449399153;True;1.0
D09;1966;1.6070037520227164e-12;4.986330855368519e-12;0.7411090067340068;0.9982638888888888;True;158;1.1362196508270117;True;0.9982638888888888
D09;1957;2.7253307263052725e-12;5.9212429233602905e-12;0.7254085236422194;0.9878472222222224;True;157;1.135798198305471;True;0.9878472222222224
D09;1976;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;159;1.1356956351420597;True;1.0
D09;1987;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;160;1.1340083475048812;True;1.0
D09;1997;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;161;1.1265140043845399;True;1.0
D09;1449;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;106;1.1264053504161435;True;1.0
D09;1857;1.6110951847707863e-09;2.006287931976265e-09;0.5362890682184162;0.8524305555555556;True;147;1.1261368336654887;True;0.8524305555555556
D09;1539;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;115;1.120294891314397;True;1.0
D09;1946;1.6599145595354396e-11;2.519973916807688e-11;0.6717537695798566;0.9513888888888888;True;156;1.1202709403200373;True;0.9513888888888888
D09;2007;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;162;1.1185288468898045;True;1.0
D09;1896;1.0273391096197719e-10;1.3144557166750795e-10;0.6177078758600499;0.9131944444444444;True;151;1.115259514142712;True;0.9131944444444444
D09;2016;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;163;1.1094291645458296;True;1.0
D09;1440;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;105;1.1042807735831093;True;1.0
D09;1937;4.27708442680175e-09;5.259172757416301e-09;0.5074751134533744;0.8298611111111112;True;155;1.10166697437526;True;0.8298611111111112
D09;403;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;0;1.0970047198212651;True;1.0
D09;2026;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;164;1.0961742220100148;True;1.0
D09;1931;5.026112227649704e-07;5.986385702038062e-07;0.3674814265846874;0.7100694444444444;True;154;1.0947392508896918;True;0.7100694444444444
D09;685;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;28;1.0921403206326397;True;1.0
D09;1550;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;116;1.0861404752575472;True;1.0
D09;415;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;1;1.07957602105308;True;1.0
D09;2037;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;165;1.0794897714030363;True;1.0
D09;1831;4.420714921343037e-07;5.283733277199633e-07;0.3712327075098814;0.7135416666666667;True;144;1.0785393649281467;True;0.7135416666666667
D09;675;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;27;1.0736407158088603;True;1.0
D09;425;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;2;1.071256548860014;True;1.0
D09;694;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;29;1.0711572140205303;True;1.0
D09;1887;1.8061067916717084e-11;2.7237684042049072e-11;0.6692491033523642;0.9496527777777776;True;150;1.0695267864119289;True;0.9496527777777776
D09;1429;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;104;1.0690285627679432;True;1.0
D09;554;3.697677398571035e-10;4.6470198189149466e-10;0.5797924901185769;-0.8854166666666666;True;15;1.065152042500281;True;0.8854166666666666
D09;2046;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;166;1.064062711216009;True;1.0
D09;545;1.8075012130224896e-10;2.2954705807486847e-10;0.600975790513834;-0.9010416666666666;True;14;1.0600505577936263;True;0.9010416666666666
D09;1867;6.831685480462447e-11;8.790330564886121e-11;0.6297966073781291;0.921875;True;148;1.0586409564622519;True;0.921875
D09;1560;4.597316899168834e-12;9.049037389822792e-12;0.7098727309325137;0.9774305555555556;True;117;1.0536340623082947;True;0.9774305555555556
D09;664;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;26;1.0513427818131622;True;1.0
D09;435;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;3;1.051136328719764;True;1.0
D09;2057;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;167;1.050214096733819;True;1.0
D09;564;1.6599145595354396e-11;2.519973916807688e-11;0.6717537695798566;-0.9513888888888888;True;16;1.0496676324229388;True;0.9513888888888888
D09;1341;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;95;1.049238708871626;True;1.0
D09;534;1.9648836607996017e-11;2.943737317969309e-11;0.6667490118577076;-0.9479166666666666;True;13;1.0427790816996385;True;0.9479166666666666
D09;1420;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;103;1.0417859114090982;True;1.0
D09;1877;1.4014496730133406e-11;2.1450546860823592e-11;0.676776826233348;0.9548611111111112;True;149;1.040831935446491;True;0.9548611111111112
D09;446;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;4;1.0402883151048188;True;1.0
D09;2065;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;168;1.0402367891308355;True;1.0
D09;2437;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;205;1.0400324116811466;True;1.0
D09;655;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;25;1.0352259951497722;True;1.0
D09;453;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;5;1.0341889137668834;True;1.0
D09;2447;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;206;1.0338777787706432;True;1.0
D09;2427;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;204;1.0306362302182637;True;1.0
D09;700;1.6110951847707991e-09;2.006287931976265e-09;0.5362890682184159;-0.8524305555555556;True;30;1.0301403947565388;True;0.8524305555555556
D09;575;5.959068862214356e-12;9.824799225403252e-12;0.7021665934709415;-0.9722222222222222;True;17;1.0298504456524211;True;0.9722222222222222
D09;2077;1.6070037520227164e-12;4.986330855368519e-12;0.7411090067340068;0.9982638888888888;True;169;1.0296504152098065;True;0.9982638888888888
D09;524;5.959068862214356e-12;9.824799225403252e-12;0.7021665934709415;-0.9722222222222222;True;12;1.0294520660910786;True;0.9722222222222222
D09;2415;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;1.0;True;203;1.0276581754279897;True;1.0
D09;2237;3.24748964833768e-11;4.215570423253532e-11;0.6518445322793149;0.9375;True;185;1.027324904843231;True;0.9375
D09;465;1.470814289237567e-12;4.986330855368519e-12;0.743741765480896;-1.0;True;6;1.027274150652875;True;1.0
D09;2408;1.6070037520227164e-12;4.986330855368519e-12;0.7411090067340068;0.9982638888888888;True;202;1.0266985847317895;True;0.9982638888888888
D09;2226;3.24748964833768e-11;4.215570423253532e-11;0.6518445322793149;0.9375;True;184;1.026305332881449;True;0.9375
