fold;bloco;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;B1;IRRIG;0;0;0.0
1;B1;IRRIG;0;0;0.0
1;B1;IRRIG;0;0;0.0
1;B1;IRRIG;0;0;0.0
1;B1;IRRIG;0;0;0.02
1;B1;IRRIG;0;0;0.02
1;B1;IRRIG;0;0;0.02
1;B1;IRRIG;0;0;0.02
1;B1;IRRIG;0;0;0.02
1;B1;IRRIG;0;0;0.02
1;B1;IRRIG;0;0;0.02
1;B1;IRRIG;0;0;0.02
1;B1;NIRRIG;1;1;0.98
1;B1;NIRRIG;1;1;0.98
1;B1;NIRRIG;1;1;0.98
1;B1;NIRRIG;1;1;0.98
1;B1;NIRRIG;1;1;0.99
1;B1;NIRRIG;1;1;0.99
1;B1;NIRRIG;1;1;0.99
1;B1;NIRRIG;1;1;0.99
2;B4;IRRIG;0;0;0.01
2;B4;IRRIG;0;0;0.0
2;B4;IRRIG;0;0;0.0
2;B4;IRRIG;0;0;0.0
2;B4;IRRIG;0;0;0.04
2;B4;IRRIG;0;0;0.02
2;B4;IRRIG;0;0;0.02
2;B4;IRRIG;0;0;0.02
2;B4;NIRRIG;1;0;0.34
2;B4;NIRRIG;1;0;0.41
2;B4;NIRRIG;1;0;0.43
2;B4;NIRRIG;1;0;0.49
2;B4;NIRRIG;1;1;1.0
2;B4;NIRRIG;1;1;1.0
2;B4;NIRRIG;1;1;1.0
2;B4;NIRRIG;1;1;1.0
3;B3;IRRIG;0;0;0.0
3;B3;IRRIG;0;0;0.0
3;B3;IRRIG;0;0;0.0
3;B3;IRRIG;0;0;0.0
3;B3;IRRIG;0;0;0.0
3;B3;IRRIG;0;0;0.0
3;B3;IRRIG;0;0;0.0
3;B3;IRRIG;0;0;0.0
3;B3;NIRRIG;1;1;0.61
3;B3;NIRRIG;1;1;0.76
3;B3;NIRRIG;1;1;0.82
3;B3;NIRRIG;1;1;0.92
3;B3;NIRRIG;1;1;1.0
3;B3;NIRRIG;1;1;1.0
3;B3;NIRRIG;1;1;1.0
3;B3;NIRRIG;1;1;1.0
4;B2;IRRIG;0;0;0.21
4;B2;IRRIG;0;0;0.32
4;B2;IRRIG;0;0;0.27
4;B2;IRRIG;0;0;0.25
4;B2;IRRIG;0;1;0.77
4;B2;IRRIG;0;1;0.66
4;B2;IRRIG;0;1;0.69
4;B2;IRRIG;0;1;0.62
4;B2;NIRRIG;1;1;1.0
4;B2;NIRRIG;1;1;1.0
4;B2;NIRRIG;1;1;1.0
4;B2;NIRRIG;1;1;1.0
4;B2;NIRRIG;1;1;0.99
4;B2;NIRRIG;1;1;0.99
4;B2;NIRRIG;1;1;0.99
4;B2;NIRRIG;1;1;0.99
