dia;metrica;media;desvio
D02;accuracy;0.6875;0.125
D02;balanced_accuracy;0.6875;0.125
D02;precision;0.5833333333333333;0.4194352464039305
D02;recall;0.625;0.478713553878169
D02;f1;0.5666666666666667;0.3829708431025352
D02;auc_roc;0.798828125;0.3521912779855039
D03;accuracy;0.9375;0.125
D03;balanced_accuracy;0.9375;0.125
D03;precision;1.0;0.0
D03;recall;0.875;0.25
D03;f1;0.9166666666666666;0.1666666666666666
D03;auc_roc;0.875;0.25
D04;accuracy;0.8125;0.2393567769390845
D04;balanced_accuracy;0.8125;0.2393567769390845
D04;precision;0.7916666666666666;0.25
D04;recall;0.875;0.25
D04;f1;0.825;0.2362907813126304
D04;auc_roc;0.841796875;0.217479102055184
D05;accuracy;0.875;0.25
D05;balanced_accuracy;0.875;0.25
D05;precision;0.875;0.25
D05;recall;0.875;0.25
D05;f1;0.875;0.25
D05;auc_roc;0.9375;0.125
D06;accuracy;0.875;0.1443375672974064
D06;balanced_accuracy;0.875;0.1443375672974064
D06;precision;0.9166666666666666;0.1666666666666666
D06;recall;0.875;0.25
D06;f1;0.8666666666666666;0.1632993161855452
D06;auc_roc;1.0;0.0
D09;accuracy;0.875;0.1443375672974064
D09;balanced_accuracy;0.875;0.1443375672974064
D09;precision;0.9166666666666666;0.1666666666666666
D09;recall;0.875;0.25
D09;f1;0.8666666666666667;0.1632993161855452
D09;auc_roc;1.0;0.0
D10;accuracy;0.8125;0.2393567769390845
D10;balanced_accuracy;0.8125;0.2393567769390845
D10;precision;0.875;0.25
D10;recall;0.875;0.25
D10;f1;0.8333333333333333;0.1924500897298752
D10;auc_roc;0.984375;0.03125
