posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
1;1958;0.0;0.0;0.10646839570310095;6.211923275036763e-12;2.0886319077213767e-10;0.7461538461538462;1.0;True;1.0
2;1918;0.0;0.0;0.09056186017093565;6.211923275036763e-12;2.0886319077213767e-10;0.7461538461538462;1.0;True;1.0
3;1948;0.0;0.0;0.08413752044728291;6.211923275036763e-12;2.0886319077213767e-10;0.7461538461538462;1.0;True;1.0
4;1938;0.0;0.0;0.07469806996122787;6.211923275036763e-12;2.0886319077213767e-10;0.7461538461538462;1.0;True;1.0
5;415;0.0;0.0;0.05121562613468014;2.7407301401734218e-11;5.006847391212819e-10;0.6992555831265509;-0.96875;True;0.96875
6;1908;0.0;0.0;0.03683293891031486;6.211923275036763e-12;2.0886319077213767e-10;0.7461538461538462;1.0;True;1.0
7;1968;0.0;0.0;0.034080050314488915;7.496890411186199e-12;2.365557266668138e-10;0.7402101426799007;0.99609375;True;0.99609375
8;1898;0.0;0.0;0.033889665012162506;2.5144297021468853e-08;1.3155855405875665e-07;0.4846803272332506;0.810546875;True;0.810546875
9;2008;0.0;0.0;0.030046736288387447;8.854639676881703e-11;1.2270855390057011e-09;0.6622470145781638;0.943359375;True;0.943359375
10;1988;0.0;0.0;0.02977867751744439;2.7407301401734218e-11;5.006847391212819e-10;0.6992555831265509;0.96875;True;0.96875
11;445;0.0;0.0;0.028451184477578155;2.7766432995606736e-10;3.310985701976129e-09;0.6262213089330024;-0.91796875;True;0.91796875
12;405;0.0;0.0;0.02776193260398563;1.3122092862393549e-11;3.7379739528846065e-10;0.7225186104218363;-0.984375;True;0.984375
13;425;0.0;0.0;0.02169503784849464;2.7407301401734218e-11;5.006847391212819e-10;0.6992555831265509;-0.96875;True;0.96875
14;435;0.0;0.0;0.017472797472797473;3.944173759049681e-11;6.222692599854535e-10;0.6877636476426799;-0.9609375;True;0.9609375
15;2018;0.0;0.0;0.01595663064876841;1.6445415191184615e-10;2.0692973347926164e-09;0.6427264267990075;0.9296875;True;0.9296875
16;2028;0.0;0.0;0.015613573106010081;4.2754006933689625e-10;4.8715815678331905e-09;0.6126269773573201;0.908203125;True;0.908203125
17;1978;0.0;0.0;0.01461325863678805;2.7407301401734218e-11;5.006847391212819e-10;0.6992555831265509;0.96875;True;0.96875
18;465;0.0;0.0;0.013963808857979779;1.5782574683370118e-08;9.301741573446009e-08;0.4992662453473945;-0.822265625;True;0.822265625
19;1508;0.0;0.0;0.013733775587434126;6.554203169988431e-10;6.370933981822879e-09;0.5991780397022334;0.8984375;True;0.8984375
20;1498;0.0;0.0;0.013605975723622783;5.527544589706613e-10;5.754819265730084e-09;0.6045401674937965;0.90234375;True;0.90234375
21;1538;0.0;0.0;0.013540524935003649;4.419717681131232e-09;2.9053977448718453e-08;0.5391856001861043;0.853515625;True;0.853515625
22;2447;0.0;0.0;0.01327807315218802;3.9231832642757387e-10;4.520476896084012e-09;0.615334212158809;0.91015625;True;0.91015625
23;1928;0.0;0.0;0.01313481845134408;6.211923275036763e-12;2.0886319077213767e-10;0.7461538461538462;1.0;True;1.0
