posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini;p_valor;q_fdr;epsilon2;delta_cliff;significativa;abs_delta_cliff
1;1923;0.03125;0.05412658773652741;0.07286786722786084;8.854639676881703e-11;1.2475974605404349e-08;0.6622470145781638;0.943359375;True;0.943359375
2;1943;0.020833333333333336;0.06073908223797188;0.05499600133828224;2.5456520062152733e-10;1.83706303464482e-08;0.6289576225186104;0.919921875;True;0.919921875
3;1375;0.015625;0.017274087449767706;0.07814489351509578;5.194701821703936e-09;1.6911640375102816e-07;0.534114260235732;-0.849609375;True;0.849609375
4;1933;0.010416666666666666;0.04294901693351729;0.012882296988824073;1.0577309909764451e-10;1.2475974605404349e-08;0.6566406250000001;0.939453125;True;0.939453125
5;705;0.005208333333333333;0.009021097956087904;0.014295543910277311;2.4417887923868625e-06;3.2948084297272725e-05;0.3421244959677419;0.685546875;True;0.685546875
6;1903;0.0;0.0;0.04506162882523554;1.2211680465352746e-07;2.319088577262821e-06;0.4352783808933002;0.76953125;True;0.76953125
7;1963;0.0;0.0;0.03784227521609672;2.1543869097921124e-08;5.078905232165083e-07;0.48951903691067;0.814453125;True;0.814453125
8;1365;0.0;0.0;0.03763786347452777;2.327660767544184e-08;5.425036629810365e-07;0.4870967741935484;-0.8125;True;0.8125
9;725;0.0;0.0;0.03672580216996399;3.174061275680906e-06;3.969511997818011e-05;0.3340056994416874;0.677734375;True;0.677734375
10;1953;0.0;0.0;0.03329289317684251;8.45137823729546e-10;4.031110875509997e-08;0.5911784661910671;0.892578125;True;0.892578125
