dia;banda_nm;p_valor;q_fdr;epsilon2;delta_cliff;significativa;grupo_spearman;vip_pls_da;vip_acima_de_1;abs_delta_cliff
D06;748;6.211923275036763e-12;6.328882578377402e-11;0.7461538461538462;-1.0;True;36;1.4958189844235514;True;1.0
D06;738;5.6600257038351806e-11;2.1658046116727527e-10;0.6763647642679901;-0.953125;True;35;1.4738484490501635;True;0.953125
D06;1928;1.3122092862393549e-11;6.796316277972011e-11;0.7225186104218363;0.984375;True;155;1.468338237887913;True;0.984375
D06;1939;9.041260826253434e-12;6.328882578377402e-11;0.7342897022332507;0.9921875;True;156;1.4522233651626026;True;0.9921875
D06;1917;1.5791721092992038e-11;7.620898814523923e-11;0.716667959057072;0.98046875;True;154;1.4397335562923597;True;0.98046875
D06;1949;7.496890411186199e-12;6.328882578377402e-11;0.7402101426799007;0.99609375;True;157;1.4148419226870332;True;0.99609375
D06;1958;7.496890411186199e-12;6.328882578377402e-11;0.7402101426799007;0.99609375;True;158;1.3702629153440113;True;0.99609375
D06;2271;0.0001229511388042;0.0001513642170993;0.2217237903225806;0.55859375;True;189;1.3660631166805117;True;0.55859375
D06;759;6.211923275036763e-12;6.328882578377402e-11;0.7461538461538462;-1.0;True;37;1.365901206676599;True;1.0
D06;1908;2.0820600627050864e-11;9.303497142937107e-11;0.7079356001861042;0.974609375;True;153;1.3620962206714633;True;0.974609375
D06;2283;6.299759613993148e-05;7.868944560474998e-05;0.2421022022332506;0.58203125;True;190;1.3267919283750118;True;0.58203125
D06;1967;7.496890411186199e-12;6.328882578377402e-11;0.7402101426799007;0.99609375;True;159;1.3261099960349898;True;0.99609375
D06;406;6.211923275036763e-12;6.328882578377402e-11;0.7461538461538462;-1.0;True;0;1.3174116608026747;True;1.0
D06;2290;3.339445926144025e-05;4.225295246466006e-05;0.2615181063895782;0.603515625;True;191;1.2978016958060288;True;0.603515625
D06;2254;0.0001298521440108;0.0001595726467144;0.2200633917493796;0.556640625;True;188;1.2878773662847351;True;0.556640625
D06;1978;7.496890411186199e-12;6.328882578377402e-11;0.7402101426799007;0.99609375;True;160;1.277147291160496;True;0.99609375
