fold;bloco;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;B4;IRRIG;0;0;0.46
1;B4;IRRIG;0;0;0.45
1;B4;IRRIG;0;0;0.42
1;B4;IRRIG;0;0;0.38
1;B4;IRRIG;0;0;0.03
1;B4;IRRIG;0;0;0.01
1;B4;IRRIG;0;0;0.09
1;B4;IRRIG;0;0;0.05
1;B4;NIRRIG;1;1;0.7
1;B4;NIRRIG;1;1;0.67
1;B4;NIRRIG;1;1;0.66
1;B4;NIRRIG;1;1;0.67
1;B4;NIRRIG;1;1;0.61
1;B4;NIRRIG;1;1;0.66
1;B4;NIRRIG;1;1;0.67
1;B4;NIRRIG;1;1;0.61
2;B3;IRRIG;0;0;0.01
2;B3;IRRIG;0;0;0.02
2;B3;IRRIG;0;0;0.02
2;B3;IRRIG;0;0;0.04
2;B3;IRRIG;0;0;0.05
2;B3;IRRIG;0;0;0.05
2;B3;IRRIG;0;0;0.06
2;B3;IRRIG;0;0;0.06
2;B3;NIRRIG;1;0;0.08
2;B3;NIRRIG;1;0;0.08
2;B3;NIRRIG;1;0;0.08
2;B3;NIRRIG;1;0;0.09
2;B3;NIRRIG;1;1;0.97
2;B3;NIRRIG;1;1;0.98
2;B3;NIRRIG;1;1;0.98
2;B3;NIRRIG;1;1;0.98
3;B2;IRRIG;0;0;0.05
3;B2;IRRIG;0;0;0.02
3;B2;IRRIG;0;0;0.02
3;B2;IRRIG;0;0;0.01
3;B2;IRRIG;0;0;0.45
3;B2;IRRIG;0;0;0.45
3;B2;IRRIG;0;0;0.45
3;B2;IRRIG;0;0;0.45
3;B2;NIRRIG;1;1;0.84
3;B2;NIRRIG;1;1;0.84
3;B2;NIRRIG;1;1;0.79
3;B2;NIRRIG;1;1;0.8
3;B2;NIRRIG;1;1;0.96
3;B2;NIRRIG;1;1;0.94
3;B2;NIRRIG;1;1;0.97
3;B2;NIRRIG;1;1;0.97
4;B1;IRRIG;0;0;0.29
4;B1;IRRIG;0;0;0.29
4;B1;IRRIG;0;0;0.32
4;B1;IRRIG;0;0;0.37
4;B1;IRRIG;0;1;0.97
4;B1;IRRIG;0;1;0.96
4;B1;IRRIG;0;1;0.96
4;B1;IRRIG;0;1;0.96
4;B1;NIRRIG;1;1;0.59
4;B1;NIRRIG;1;1;0.56
4;B1;NIRRIG;1;0;0.43
4;B1;NIRRIG;1;0;0.44
4;B1;NIRRIG;1;1;0.76
4;B1;NIRRIG;1;1;0.81
4;B1;NIRRIG;1;1;0.94
4;B1;NIRRIG;1;1;0.96
