posicao;banda_nm;vip
1;1921;1.2855880656538832
2;1931;1.2775106438945865
3;1651;1.2486175101690884
4;1641;1.245426895799074
5;1941;1.238269753366431
6;1661;1.2366870015495106
7;1631;1.2260325307590243
8;1911;1.225132180633294
9;1671;1.2049171017814024
10;1621;1.2024403280432203
11;1951;1.1894363478225791
12;405;1.1778168426191677
13;1611;1.1720553754139584
14;1961;1.149051750190706
15;415;1.1458071091543316
16;1601;1.1437330723529646
17;1591;1.120266884549459
18;425;1.1180880337567793
19;1971;1.1171740919958661
20;1681;1.1124760922533958
21;435;1.1020023458333428
22;1581;1.1014631450766337
23;1901;1.0948604397995982
24;1981;1.0942291592645796
25;1571;1.086907991368357
26;445;1.0813571388940644
27;1991;1.0773702048191847
28;1561;1.07703757001316
29;1551;1.0704214442938118
30;455;1.068979245282712
31;1541;1.065925787884043
32;2001;1.064288811300187
33;1531;1.0597270857395935
34;465;1.0555413968898342
35;1521;1.0553917353487887
36;758;1.054940275825579
37;2011;1.0527030447883061
38;748;1.0509779157422485
39;1511;1.046738640013822
40;768;1.0466878432976123
41;475;1.0435665014624658
42;2021;1.0429622890673371
43;778;1.0376394948604197
44;1501;1.037536094901298
45;525;1.033241470955556
46;485;1.0331934343958475
47;2031;1.0329361762923006
48;788;1.0320457468206263
49;535;1.0315189480821327
50;1491;1.0307020162762583
51;798;1.0271279674820362
52;808;1.023612961949784
53;2041;1.0226315605685234
54;495;1.022446184427748
55;1481;1.0220939837566547
56;515;1.021861424237821
57;2271;1.0204786310367535
58;545;1.0188521659509984
59;2261;1.0185463155837764
60;818;1.0177720397134213
61;505;1.017334686858254
62;2051;1.0132385717134154
63;1471;1.0125382866982067
64;2281;1.0123806388398822
65;2251;1.0120786242449724
66;2301;1.011122061759055
67;2291;1.010432263772974
68;828;1.009599809744109
69;555;1.008436375014453
70;1461;1.004865855773072
71;2241;1.0026347050871225
72;2061;1.002609366801915
73;2311;1.0022062947528987
74;838;1.0018821696246374
75;565;1.0011364906352203
76;2231;0.9976337879597409
77;1891;0.9969414663600337
78;1451;0.9957258545721418
79;2221;0.9955979973675999
80;848;0.9937019868748036
81;575;0.993512334684922
82;2071;0.9929265162318041
83;2211;0.9924825458028316
84;1691;0.99060912137405
85;2201;0.9904131650130222
86;2321;0.9901557981114157
87;858;0.9887374992465092
88;2191;0.9870711715503196
89;585;0.9866975983784259
