posicao;banda_nm;vip
1;1367;1.9063947608234058
2;710;1.901098595378633
3;1377;1.8489777597286674
4;720;1.8336624223364946
5;1357;1.8319037395733966
6;703;1.796256428857067
7;730;1.6436082768062814
8;1347;1.6125406734624321
9;1387;1.5827079461875293
10;1847;1.4583839104880505
11;1837;1.4479363027249916
12;1857;1.4141478954839257
13;1397;1.352791877887863
14;555;1.326002236976178
15;1867;1.3140217389191016
16;1337;1.305470249277891
17;545;1.2563028123480928
18;405;1.2325219925408197
19;415;1.2227386184894342
20;1407;1.2150802228096989
21;1827;1.2127976433146512
22;2446;1.19070626617505
23;1817;1.1772454875368747
24;425;1.1769755166641274
25;699;1.161016453939883
26;435;1.1598032977975665
27;1877;1.1591048269300008
28;565;1.1501193901484026
29;445;1.1496639265486088
30;455;1.1281296062871244
31;2436;1.1186919164165554
32;1807;1.1171298816933002
33;535;1.1115640500726396
34;465;1.1030180599719293
35;1327;1.0992022541127366
36;475;1.0862645422116417
37;1956;1.072667312348149
38;2426;1.0710448448146894
39;1417;1.0683774916173496
40;1966;1.0664173847241885
41;485;1.0647579675090497
42;1946;1.064297860098425
43;685;1.0565151214195376
44;1976;1.0511629286860447
45;1797;1.046479928440547
46;495;1.037436505047611
47;2416;1.0287202583649266
48;1936;1.0256538447440837
49;1986;1.0237527427912154
50;2056;1.016196343008554
51;675;1.0150093950722612
52;2046;1.0106898407610707
53;1317;1.0033294749827704
54;2066;1.0023586046739708
55;2036;0.9992402831756255
56;1996;0.9987637559668504
57;738;0.9922945585562706
58;505;0.9912276256842603
59;2006;0.9891465821195645
60;2026;0.9861364027519187
61;2076;0.9850047216260324
62;2016;0.9842501423808544
63;2406;0.983456528202943
64;1787;0.9788604152309596
65;1307;0.9770621590228875
66;665;0.9751704892107598
67;2086;0.9687454845058519
68;1297;0.9645517719047573
69;2396;0.9535943614661467
70;2096;0.9513685367875464
71;1287;0.9510231934702047
72;655;0.9488105107040915
73;575;0.9472634094482819
74;1157;0.9416312291839044
75;1926;0.9406278581428423
76;1167;0.9397601879977459
77;2386;0.9390868884439322
78;1777;0.9383843977700506
79;1277;0.9375399391865874
80;2106;0.936104824727425
81;2376;0.9334884263476475
82;1517;0.930701386180103
83;2366;0.9301819375321175
84;1507;0.9286963367896949
85;2356;0.9275980055366279
86;1267;0.9273837564229743
87;1177;0.9258837177363045
88;2116;0.9250736146337599
89;1527;0.9248326006412502
90;645;0.9243486563307892
91;1257;0.9228955091947422
92;2336;0.9214351332912176
93;2346;0.9211798305004745
94;1497;0.9211073120560602
95;1537;0.9187045935664583
96;2326;0.9173596140572156
97;1217;0.9172231183688468
98;1247;0.9166148913748459
99;1187;0.9156255178605247
100;1237;0.9154257570020053
101;1147;0.9149192051424555
102;1427;0.9135722565033336
103;1227;0.913442214345189
104;2126;0.9131942546984578
105;2316;0.9119851507901113
106;1207;0.9091596286216694
107;1197;0.9091146878133342
108;1487;0.908703609545586
109;1547;0.9057864087485795
110;1767;0.9055172603896116
111;693;0.904963439924747
112;2136;0.9045543699798401
113;767;0.9009188099007133
114;2306;0.8997807733410013
115;2146;0.8993424092583059
116;525;0.896039538255536
117;2156;0.8957653893780322
118;2286;0.8939758390850732
119;2296;0.8937208191037138
120;2166;0.8922966658682653
121;1557;0.8917030286503024
122;515;0.8915747880997094
123;777;0.8906144594950243
124;635;0.8899476957009262
125;1477;0.8893593429403532
126;787;0.8874479597400288
127;797;0.8870137701970937
128;2176;0.8857155057881112
129;807;0.885016459705329
130;625;0.8842324919486038
131;817;0.883676025971674
132;585;0.8834637831920036
133;2276;0.8831762673649013
134;1137;0.881314183732654
135;827;0.877599865906988
136;1017;0.8757900966871125
137;2186;0.875094098397211
138;615;0.8750573660395782
139;1567;0.8749255833954046
140;757;0.8748760630454692
141;1027;0.873813280101839
142;1037;0.8721311374236443
143;1067;0.8705010908983768
144;1757;0.8704901255507953
145;1077;0.8704345791832997
146;1047;0.8698571151203638
147;595;0.8697525797815456
148;1057;0.8695918297488417
149;997;0.8693027111201547
150;1087;0.8690210666419413
151;837;0.868681962323831
152;1007;0.8677681171264037
153;605;0.8664252504715823
154;1127;0.865688039678016
155;2196;0.8656149178060248
156;2266;0.8652957785563995
157;1097;0.8641949024927532
158;1467;0.864032200837512
159;987;0.8639556880987369
160;847;0.8623452273151084
161;1107;0.8616167681858174
162;1117;0.8616056588810529
163;2206;0.8596915110287839
164;977;0.858640648966143
165;857;0.8579558776999016
166;937;0.857734807205899
167;927;0.8573330968700594
168;907;0.8572189414669098
169;917;0.8572074449565376
170;967;0.8571130501538908
171;957;0.8568412780287543
172;2216;0.8567902882479195
173;887;0.8564009262128867
174;947;0.8562425527743729
175;897;0.8561761804327774
176;867;0.8560280208649562
177;877;0.855989321687705
178;2256;0.8559221301921849
179;2226;0.8550522300828907
180;1577;0.8550464204743955
181;2236;0.8546068620574847
182;2246;0.853742913971255
183;1457;0.8411310406378594
184;1747;0.8333294407849001
185;1587;0.8317952242720787
186;1437;0.831183245706722
187;1447;0.8253156813747489
188;1887;0.825007044902571
189;1737;0.8145357177658368
190;1727;0.8029462869217701
191;1597;0.8012390503546927
192;1916;0.7928844799513833
193;1717;0.7838267489396439
194;1607;0.774380676427924
195;1677;0.7649231599383101
196;1667;0.7626499947384882
197;1707;0.7561275609740286
198;1617;0.7548828891127031
199;1687;0.7503314557031964
200;1697;0.7443209071670989
201;1657;0.7409235586898867
202;1627;0.7405257634089208
203;1647;0.7343989471740255
204;1637;0.7277071535266313
205;747;0.7229452830919744
206;1906;0.5191109139725243
207;1896;0.1437679450721279
