seed;fold;classe_real_nirrig;classe_predita_nirrig;score_plsda
42;1;0;0;0.18048911759337755
42;1;0;0;0.16769278403414495
42;1;1;1;0.9293622753951081
42;1;1;1;0.9490376465914695
42;1;0;0;0.282765879967013
42;1;1;1;0.7361291671834902
42;1;1;1;0.5416533825026921
42;1;1;1;0.5396983491774352
42;1;0;1;0.6720572727024012
42;1;0;1;0.6593808871457554
42;1;0;1;0.6274468049721623
42;1;1;1;0.6544827005107199
42;1;1;1;0.6728078532283357
42;1;1;1;0.6779878442854449
42;1;0;0;0.15145847698029336
42;1;0;1;0.5108691091399822
42;2;0;1;0.6917073081109593
42;2;0;1;0.7065329283389156
42;2;0;0;-0.0461155317937727
42;2;0;0;-0.030456750918674835
42;2;1;1;1.0963516746127364
42;2;0;0;0.3542908022943204
42;2;0;0;0.3581125557219985
42;2;1;1;0.733101614284365
42;2;1;1;0.7342113718237777
42;2;1;1;0.5375048728479186
42;2;0;0;0.2261235560188628
42;2;0;1;0.5077728467239865
42;2;1;0;0.04512909335929116
42;2;1;0;0.056273451092845206
42;2;1;1;0.6812269461824935
42;2;1;1;0.6863318339714164
42;3;0;1;0.557330698544159
42;3;0;0;0.21043506845279863
42;3;1;1;1.0534294374047346
42;3;1;0;0.45733006955021843
42;3;0;0;0.3313820127096564
42;3;1;0;0.43610899792182634
42;3;1;1;0.5957886978585123
42;3;0;0;0.478747377663506
42;3;0;1;0.5005524422291913
42;3;0;0;0.49365625605864344
42;3;1;1;0.6240283623011788
42;3;1;1;0.76091200702611
42;3;1;1;0.7524885609377464
42;3;0;0;0.21480485039101055
42;3;0;1;0.6158640525839874
42;3;1;0;0.053491876390315496
42;4;0;0;0.29586221267145485
42;4;0;1;0.6277497749429718
42;4;0;0;0.08338034343393808
42;4;0;0;0.08690598777738279
42;4;1;0;0.3729189393034934
42;4;1;1;0.7033138438689162
42;4;1;1;0.7019400542785067
42;4;1;1;0.6244687043853403
42;4;0;0;0.4941257099774271
42;4;0;0;0.4635784000969866
42;4;1;1;0.5290645114640774
42;4;0;0;0.254141003184509
42;4;0;0;0.44479035715639237
42;4;1;0;0.12957385748414008
42;4;1;1;0.7256387442414955
42;4;1;1;0.7264034771645844
43;1;0;1;0.6384245835934328
43;1;0;1;0.6433792813835251
43;1;0;0;0.28512119188182056
43;1;1;1;1.179169448159874
43;1;1;1;0.797802555521483
43;1;1;1;0.8028477934343359
43;1;0;0;0.4997543499347874
43;1;0;0;0.4496229420640833
43;1;0;0;0.4459430387811847
43;1;1;1;0.5328298380499017
43;1;1;1;0.5359363333936799
43;1;1;1;0.7152895908144794
43;1;0;1;0.5427371617994567
43;1;0;1;0.5423675774368694
43;1;1;0;0.11534180211356759
43;1;1;1;0.6947047611408816
43;2;0;1;0.5858041057960819
43;2;0;1;0.5926854329078726
43;2;0;0;0.1882387103024869
43;2;0;0;0.18612320272086708
43;2;0;0;0.2463714832576444
43;2;1;1;1.0594784340862966
43;2;1;1;0.5283744976572752
43;2;1;1;0.5352921945055571
43;2;1;1;0.7554474774490048
43;2;1;1;0.6559180065444103
43;2;0;1;0.5520162705440054
43;2;0;1;0.5486761669161913
43;2;0;0;0.4663478245551974
43;2;1;1;0.6185625132193158
43;2;1;1;0.7690111277043872
43;2;1;1;0.8065941979486683
43;3;0;0;0.14930890015329185
43;3;0;0;0.325357023814287
43;3;1;1;0.8166512676123991
43;3;1;0;0.3238460407926379
43;3;0;0;0.3994081013571349
43;3;1;1;0.7542132736054781
43;3;1;1;0.540857818919331
43;3;1;1;0.5360649845202975
43;3;1;1;0.5515907263681412
43;3;0;0;0.4715736990628471
43;3;0;0;0.27989127184033
43;3;0;0;0.2619434943530491
43;3;0;1;0.7223412645797841
43;3;0;1;0.7157091911755419
43;3;1;0;0.15748673115083495
43;3;1;1;0.8870988035503758
43;4;0;0;0.08130838564451781
43;4;0;0;0.05611854795248966
43;4;0;0;0.08252254642851414
43;4;1;1;1.0897395873346944
43;4;0;0;0.2227253785842973
43;4;0;0;0.2247268474779433
43;4;1;1;0.7440862761491203
43;4;0;0;0.44768260809752974
43;4;1;1;0.5660800941392183
43;4;1;1;0.805903029188964
43;4;1;1;0.8275338034403713
43;4;0;0;0.09144566888691746
43;4;0;0;0.07961509852400772
43;4;1;0;-0.06706267728135862
43;4;1;0;-0.08104185970659661
43;4;1;1;0.6914434888625
44;1;0;1;0.5429499966752491
44;1;1;1;0.9831038003514831
44;1;0;0;0.20185634609791597
44;1;1;1;0.9878500218173263
44;1;1;1;0.9941686981747431
44;1;1;1;0.9985392630501235
44;1;0;0;0.28279111679065966
44;1;1;1;0.6560881805603774
44;1;0;0;0.2786175431726093
44;1;1;1;0.6724196098236632
44;1;1;1;0.6171349351083487
44;1;0;1;0.6095804944504891
44;1;0;1;0.5818403948182648
44;1;1;1;0.6680350019316045
44;1;0;0;0.17095431038771375
44;1;0;0;0.49720662516689884
44;2;0;0;0.431189332651552
44;2;0;0;0.09860379790274848
44;2;0;0;0.20775270616851416
44;2;0;0;0.21379708353689686
44;2;0;0;0.31427668460264796
44;2;1;1;0.8114316305621199
44;2;1;0;0.4970296902285294
44;2;1;0;0.49733930287740047
44;2;1;0;0.4898431683794821
44;2;0;0;0.4377849284584568
44;2;0;0;0.44467155489049737
44;2;1;1;0.5308726213022281
44;2;0;1;0.7039931133744264
44;2;1;0;0.09517994964169779
44;2;1;1;0.7034638391958197
44;2;1;1;0.6877220951712792
44;3;0;0;0.009845572837894112
44;3;0;0;0.19962825715133908
44;3;0;0;0.14342836189762187
44;3;0;0;0.13132647522141672
44;3;1;1;0.8785089494958656
44;3;1;1;0.8776824454215557
44;3;0;1;0.5104727219421747
44;3;0;0;0.4530021066899451
44;3;1;1;0.5576797995560896
44;3;1;1;0.6030753362255049
44;3;1;1;0.601847261629282
44;3;0;1;0.7239814102135365
44;3;0;1;0.7037984156903013
44;3;1;0;-0.07304967798197204
44;3;1;0;-0.06752364785807341
44;3;1;1;0.9412134455647915
44;4;0;1;0.6267099399301137
44;4;0;1;0.6291927005993309
44;4;1;0;0.36650553200917596
44;4;0;0;0.2725662625225247
44;4;1;0;0.3558695740271039
44;4;1;1;0.7060836626714526
44;4;0;0;0.4625852585754736
44;4;0;0;0.44855529453433907
44;4;1;1;0.5987101515860391
44;4;1;1;0.5807668569404146
44;4;1;1;0.8034495005434076
44;4;0;0;0.19533083487995162
44;4;0;0;0.17704625097039095
44;4;0;0;0.17546604455813591
44;4;1;0;0.05857357593911772
44;4;1;1;0.7608157209915016
45;1;0;0;0.32791248302113396
45;1;0;1;0.5579395606527335
45;1;1;0;0.33084623644175437
45;1;0;0;0.326406560578526
45;1;1;0;0.38108630103924085
45;1;1;0;0.38978221883737757
45;1;1;1;0.902672411472873
45;1;1;0;0.3614472937355202
45;1;1;0;0.33337363203141773
45;1;1;0;0.3263096662517239
45;1;0;1;0.5475634400538729
45;1;0;0;0.46112510113875943
45;1;1;1;0.5718903820133721
45;1;0;0;0.40209203591549303
45;1;0;0;0.4004085346925482
45;1;0;1;0.5916773360352804
45;2;0;1;0.666844585121786
45;2;0;0;0.03787735397410047
45;2;0;0;0.05030395232671958
45;2;1;0;0.4397681770720448
45;2;0;0;0.43034740674656585
45;2;0;0;0.4799549630163368
45;2;0;0;0.48738699627208615
45;2;0;0;0.4957829124530042
45;2;1;1;0.5333250565889939
45;2;1;1;0.5304425604891266
45;2;0;0;0.48576318639574173
45;2;1;0;0.10939554186606631
45;2;1;1;0.6889346387436259
45;2;1;1;0.6921932594777778
45;2;1;1;0.6933461599172309
45;2;1;1;0.6909525084771371
45;3;0;0;0.11375828964511991
45;3;0;0;0.11108247024839357
45;3;0;0;0.2665820827788302
45;3;0;0;0.25684691627593514
45;3;0;0;0.24767690842187956
45;3;0;0;0.24099331350306485
45;3;1;1;0.7186815468637945
45;3;1;1;0.7351509825406992
45;3;1;1;0.7337533958439255
45;3;0;0;0.4463682005084579
45;3;1;1;0.6274517844556085
45;3;1;1;0.6859679075762388
45;3;1;1;0.6985635323193021
45;3;1;1;0.7087036057163345
45;3;0;0;0.1192533886779713
45;3;1;0;-0.0028134455672277348
45;4;0;1;0.5482238005380978
45;4;0;1;0.5596273898750064
45;4;0;0;0.024493522125282885
45;4;0;0;0.12993984124463415
45;4;1;1;1.1707718512838505
45;4;1;0;0.4006347039600169
45;4;1;0;0.40846293931590616
45;4;1;1;0.7914564083957059
45;4;1;1;0.6119783536401489
45;4;0;0;0.38680818861977695
45;4;1;1;0.7921905694993797
45;4;0;0;0.13854274272244804
45;4;0;1;0.589207258648075
45;4;0;1;0.5840905109131914
45;4;1;0;-0.06604613589614627
45;4;1;0;-0.053958027419168775
46;1;0;0;0.3195004569727726
46;1;0;1;0.5810392934367477
46;1;0;0;0.16371561457754413
46;1;0;0;0.3318561241371403
46;1;0;0;0.36292820816647686
46;1;1;0;0.31389402204616285
46;1;1;1;0.6819844417882117
46;1;1;1;0.6385469930784486
46;1;1;1;0.6488701710696754
46;1;0;1;0.5369367460219832
46;1;0;1;0.5059545460627148
46;1;1;1;0.6301167030022782
46;1;1;1;0.722886071776734
46;1;1;1;0.7345452047336423
46;1;0;0;0.49546606144930017
46;1;1;1;0.7829709628575254
46;2;0;1;0.5082812463072897
46;2;0;1;0.5112886225317829
46;2;0;0;0.24733343288238524
46;2;0;0;0.2287466500988259
46;2;0;0;0.1717751636003535
46;2;1;1;0.9142248523213927
46;2;1;1;0.9425042142392428
46;2;1;1;0.9516255348411333
46;2;1;1;0.7653344170047082
46;2;1;1;0.7752796282449099
46;2;1;1;0.5707505671682611
46;2;1;1;0.5657422307425906
46;2;0;1;0.5422129636789674
46;2;1;1;0.6641779400840191
46;2;0;0;0.17920143709340042
46;2;0;1;0.5427902692585862
46;3;0;0;0.09309253675782775
46;3;1;0;0.3335575699291924
46;3;0;0;0.2232831281786143
46;3;1;0;0.3495492785003558
46;3;0;0;0.21555053425275922
46;3;1;1;0.7628249793460333
46;3;0;0;0.3805622845474487
46;3;0;0;0.4173682478989177
46;3;1;1;0.6653141983600741
46;3;1;1;0.7618225633395729
46;3;0;0;0.08568945440064685
46;3;0;0;0.07033328103804803
46;3;0;1;0.5266785487195781
46;3;1;0;-0.09827730235312404
46;3;1;0;-0.09844279606576989
46;3;1;0;-0.10322476604979836
46;4;0;0;0.4410027480895464
46;4;0;0;0.12780422587447393
46;4;1;1;1.027466217106732
46;4;0;0;0.24310396787480731
46;4;1;0;0.4042064594158615
46;4;0;1;0.5519525045644766
46;4;0;0;0.44914448147936625
46;4;0;0;0.45896642835938295
46;4;1;1;0.5975071569763247
46;4;1;1;0.565669795927366
46;4;0;0;0.26052545170302144
46;4;0;1;0.6420723809758863
46;4;1;0;0.07665815536138193
46;4;1;1;0.8226215562949505
46;4;1;1;0.8480953958269541
46;4;1;1;0.8490578413733574
