dia;posicao;banda_nm;vip
D02;1;712;2.122345834031683
D02;2;722;2.0807570324268614
D02;3;702;1.7224048307056736
D02;4;1372;1.6909142293451669
D02;5;405;1.6492098563287343
D03;1;1928;1.9399292705330544
D03;2;1938;1.910623011238864
D03;3;1918;1.853249988915046
D03;4;1948;1.8265233525189477
D03;5;1958;1.72069511251275
D04;1;405;2.061261552365368
D04;2;1943;2.0297987337453995
D04;3;1953;2.028577219428358
D04;4;1933;2.002490055102404
D04;5;1963;1.978823017012445
D05;1;1376;1.9731499301153037
D05;2;1719;1.7220630283707383
D05;3;1709;1.7166087602600588
D05;4;1369;1.715802121377254
D05;5;1381;1.7094061217188554
D06;1;749;1.5286552984774755
D06;2;739;1.522980218029404
D06;3;1929;1.5049601743420686
D06;4;1939;1.489057058906347
D06;5;1919;1.484417225818928
D09;1;721;2.629070568311983
D09;2;711;2.600692277462568
D09;3;731;2.250675544239837
D09;4;702;2.0740001477578653
D09;5;1381;2.0203894156838778
D10;1;1345;1.9903473879135989
D10;2;715;1.8460119567100373
D10;3;405;1.830753792218774
D10;4;1355;1.8015398398046945
D10;5;415;1.8005556962743443
