seed;fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
42;1;336;112;0.875;0.875;0.75;0.9416454081632653
42;2;336;112;0.7767857142857143;0.8;0.5535714285714286;0.8654336734693877
42;3;336;112;0.8392857142857143;0.8421052631578947;0.6785714285714286;0.9065688775510203
42;4;336;112;0.8571428571428571;0.8620689655172413;0.7142857142857143;0.9190051020408163
43;1;336;112;0.7767857142857143;0.7967479674796748;0.5535714285714286;0.9017857142857143
43;2;336;112;0.8392857142857143;0.8301886792452831;0.6785714285714286;0.9228316326530612
43;3;336;112;0.7589285714285714;0.784;0.5178571428571428;0.8606505102040816
43;4;336;112;0.8482142857142857;0.8411214953271028;0.6964285714285714;0.9359056122448981
44;1;336;112;0.8571428571428571;0.864406779661017;0.7142857142857143;0.9241071428571428
44;2;336;112;0.7857142857142857;0.7777777777777778;0.5714285714285714;0.8663903061224488
44;3;336;112;0.8660714285714286;0.8717948717948718;0.7321428571428572;0.9365433673469388
44;4;336;112;0.8035714285714286;0.8103448275862069;0.6071428571428572;0.9221938775510203
45;1;336;112;0.8214285714285714;0.8214285714285714;0.6428571428571428;0.887436224489796
45;2;336;112;0.8571428571428571;0.864406779661017;0.7142857142857143;0.9355867346938775
45;3;336;112;0.8482142857142857;0.8547008547008547;0.6964285714285714;0.9135841836734694
45;4;336;112;0.8035714285714286;0.8135593220338984;0.6071428571428572;0.9110331632653061
46;1;336;112;0.8125;0.8205128205128205;0.625;0.8804209183673469
46;2;336;112;0.8392857142857143;0.847457627118644;0.6785714285714286;0.9107142857142857
46;3;336;112;0.8571428571428571;0.8596491228070176;0.7142857142857143;0.9314413265306122
46;4;336;112;0.8571428571428571;0.8571428571428571;0.7142857142857143;0.9598214285714285
