seed;fold;dia;classe_real_nirrig;classe_predita_nirrig;score_plsda
42;1;D02;0;0;0.3922362054523092
42;1;D02;0;0;0.379433354838769
42;1;D02;1;0;0.46683369173689615
42;1;D02;0;0;0.3741776706943829
42;1;D02;1;0;0.4948312059168917
42;1;D02;0;0;0.49455331181649775
42;1;D02;0;0;0.49083242140290995
42;1;D02;0;0;0.4835784467196994
42;1;D02;0;1;0.519034394133771
42;1;D02;1;1;0.5705629405753592
42;1;D02;1;1;0.5193335485745159
42;1;D02;1;0;0.44688752782422336
42;1;D02;1;0;0.42899344374498277
42;1;D02;1;1;0.5087547093452196
42;1;D02;1;1;0.5094023766205066
42;1;D03;0;0;0.4451079213946295
42;1;D03;1;1;1.0572492039740762
42;1;D03;1;1;0.6473379907906736
42;1;D03;0;0;0.1591039485955713
42;1;D03;0;0;0.1649998402176287
42;1;D03;0;0;0.2426836864120348
42;1;D03;0;0;0.262288814580989
42;1;D03;0;0;0.2426307539658118
42;1;D03;1;1;1.1674389590649024
42;1;D03;1;1;1.203874187889639
42;1;D03;1;1;0.7996234974523415
42;1;D03;1;1;0.8188132229903988
42;1;D04;0;0;-0.13401164929513643
42;1;D04;1;0;0.4644522270705385
42;1;D04;1;0;0.470903451718141
42;1;D04;1;1;0.5048001814438087
42;1;D04;1;1;0.5018338174872993
42;1;D04;0;0;-0.13515504647882182
42;1;D04;0;0;0.26721777959132637
42;1;D04;0;0;0.21693298865977206
42;1;D04;0;0;0.16621384973329845
42;1;D04;0;0;0.1391959219740727
42;1;D04;1;1;0.5846729557768724
42;1;D04;1;1;0.65159645305136
42;1;D04;1;1;0.64226780790685
42;1;D04;0;0;-0.17160131124332922
42;1;D04;0;0;-0.02349851668045977
42;1;D04;1;0;0.13701567251305558
42;1;D04;0;0;-0.0823315510291508
42;1;D04;0;0;0.28959862158319566
42;1;D04;1;1;0.5722364944567591
42;1;D04;1;1;0.5791992205486569
42;1;D05;0;0;0.004724109017175571
42;1;D05;0;0;0.018659419104633757
42;1;D05;1;1;0.7513431766471276
42;1;D05;1;1;0.777322115147679
42;1;D05;1;1;0.7974552377675239
42;1;D05;0;0;0.1466033122258572
42;1;D05;0;0;0.22244822004312859
42;1;D05;1;1;0.5070180280928722
42;1;D05;0;0;-0.06816053507424824
42;1;D05;0;0;-0.10584480468942481
42;1;D05;0;0;0.14532271973604277
42;1;D05;0;0;0.11691699460452298
42;1;D05;1;1;1.0577699417288307
42;1;D05;1;1;1.1600174962877445
42;1;D05;1;1;1.179072633482623
42;1;D05;0;0;-0.06405460488391979
42;1;D05;0;0;-0.36978188836245707
42;1;D05;1;1;1.2315778545689966
42;1;D05;1;1;1.2174314034268312
42;1;D05;1;1;1.2509590193471294
42;1;D05;1;1;1.3600563299155333
42;1;D06;1;1;0.5960015777974496
42;1;D06;1;1;0.8180782269724578
42;1;D06;1;1;0.8443235594213112
42;1;D06;0;0;0.12468878652614312
42;1;D06;0;0;0.07082007841479077
42;1;D06;0;0;0.2829854221471528
42;1;D06;1;1;0.7315385851164258
42;1;D06;1;1;0.7419260286801166
