posicao;banda_nm;vip
1;1943;1.2534334001565228
2;1939;1.2532002042145833
3;1938;1.2524026277622438
4;1948;1.2469405596783287
5;1933;1.2434308780871843
6;1953;1.2329867199550577
7;1929;1.2307415360938592
8;1928;1.2269464579923346
9;405;1.2134541999606723
10;1958;1.2133600822421173
11;1963;1.1903439663117426
12;1919;1.1837034533231403
13;1918;1.1779720316893312
14;415;1.1558188055284653
15;715;1.0161941487307804
16;712;1.0062113588502868
17;711;0.9953564625884779
18;1355;0.9752532834488653
19;721;0.9378283793648702
20;1369;0.9307894537068361
21;722;0.9110214503911328
22;1372;0.874573953030111
23;1345;0.833900196193484
24;1376;0.7673532215955707
25;702;0.6747106076198324
26;1381;0.596794776901142
27;749;0.5691040152916097
28;731;0.47743059955828243
29;739;0.3179603309371221
30;1719;0.22218885024824342
31;1709;0.19130944427598015
