genotipo;fold;banda_nm;importancia_gini
BR16;1;1963;0.16016280936050856
BR16;1;1953;0.17635508105869935
BR16;1;1951;0.26163252292199785
BR16;1;405;0.16569267831418283
BR16;1;1943;0.2361569083446113
BR16;2;1963;0.19208654992941668
BR16;2;1953;0.1613931556581962
BR16;2;1951;0.22662291202430174
BR16;2;405;0.16986797643938914
BR16;2;1943;0.25002940594869627
BR16;3;1963;0.18451907656999586
BR16;3;1953;0.17050202925351313
BR16;3;1951;0.24453312698177093
BR16;3;405;0.16424806795693322
BR16;3;1943;0.23619769923778683
BR16;4;1963;0.21611166409434293
BR16;4;1953;0.18192936875591026
BR16;4;1951;0.22168877035092385
BR16;4;405;0.13598365899699136
BR16;4;1943;0.24428653780183165
BR16;5;1963;0.17789020212567516
BR16;5;1953;0.1712341059095688
BR16;5;1951;0.25782000530747384
BR16;5;405;0.151372110254346
BR16;5;1943;0.24168357640293614
