genotipo_avaliado;fold;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia;classe_real;classe_predita;score_nirrig;acerto
CD202;1;B1_CD202_IRRIG_REPROD00000.asd;B1;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.168;True
CD202;1;B1_CD202_IRRIG_REPROD00005.asd;B1;CD202;IRRIG;D02M;manha;D02;IRRIG;NIRRIG;0.53;False
CD202;1;B1_CD202_IRRIG_REPROD00007.asd;B1;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.486;True
CD202;1;B1_CD202_NIRRIG_REPROD00004.asd;B1;CD202;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.252;False
CD202;1;B2_CD202_IRRIG_REPROD00006.asd;B2;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.186;True
CD202;1;B2_CD202_NIRRIG_REPROD00000.asd;B2;CD202;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.008;False
CD202;1;B2_CD202_NIRRIG_REPROD00005.asd;B2;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.66;True
CD202;1;B3_CD202_IRRIG_REPROD00000.asd;B3;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.056;True
CD202;1;B3_CD202_IRRIG_REPROD00004.asd;B3;CD202;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.006;True
CD202;1;B3_CD202_NIRRIG_REPROD00004.asd;B3;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;1.0;True
CD202;1;B4_CD202_NIRRIG_REPROD00003.asd;B4;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;1.0;True
CD202;1;B4_CD202_NIRRIG_REPROD00007.asd;B4;CD202;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;1.0;True
CD202;1;B1_CD202_IRRIG_REPROD00000.asd;B1;CD202;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.3;True
CD202;1;B1_CD202_IRRIG_REPROD00005.asd;B1;CD202;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.326;True
CD202;1;B1_CD202_IRRIG_REPROD00007.asd;B1;CD202;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.236;True
CD202;1;B1_CD202_NIRRIG_REPROD00004.asd;B1;CD202;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;1.0;True
CD202;1;B2_CD202_IRRIG_REPROD00006.asd;B2;CD202;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.066;True
CD202;1;B2_CD202_NIRRIG_REPROD00000.asd;B2;CD202;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;1.0;True
CD202;1;B2_CD202_NIRRIG_REPROD00005.asd;B2;CD202;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;1.0;True
CD202;1;B3_CD202_IRRIG_REPROD00000.asd;B3;CD202;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.036;True
CD202;1;B3_CD202_IRRIG_REPROD00004.asd;B3;CD202;IRRIG;D03M;manha;D03;IRRIG;IRRIG;0.322;True
CD202;1;B3_CD202_NIRRIG_REPROD00004.asd;B3;CD202;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;1.0;True
CD202;1;B4_CD202_NIRRIG_REPROD00003.asd;B4;CD202;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;1.0;True
CD202;1;B4_CD202_NIRRIG_REPROD00007.asd;B4;CD202;NIRRIG;D03M;manha;D03;NIRRIG;NIRRIG;1.0;True
CD202;1;B1_CD202_IRRIG_REPROD00000.asd;B1;CD202;IRRIG;D04M;manha;D04;IRRIG;IRRIG;0.0;True
CD202;1;B1_CD202_IRRIG_REPROD00005.asd;B1;CD202;IRRIG;D04M;manha;D04;IRRIG;IRRIG;0.236;True
CD202;1;B1_CD202_IRRIG_REPROD00007.asd;B1;CD202;IRRIG;D04M;manha;D04;IRRIG;IRRIG;0.026;True
CD202;1;B1_CD202_NIRRIG_REPROD00004.asd;B1;CD202;NIRRIG;D04M;manha;D04;NIRRIG;NIRRIG;0.872;True
CD202;1;B2_CD202_IRRIG_REPROD00006.asd;B2;CD202;IRRIG;D04M;manha;D04;IRRIG;IRRIG;0.146;True
CD202;1;B2_CD202_NIRRIG_REPROD00000.asd;B2;CD202;NIRRIG;D04M;manha;D04;NIRRIG;NIRRIG;0.864;True
CD202;1;B2_CD202_NIRRIG_REPROD00005.asd;B2;CD202;NIRRIG;D04M;manha;D04;NIRRIG;NIRRIG;0.74;True
CD202;1;B3_CD202_IRRIG_REPROD00000.asd;B3;CD202;IRRIG;D04M;manha;D04;IRRIG;IRRIG;0.0;True
CD202;1;B3_CD202_IRRIG_REPROD00004.asd;B3;CD202;IRRIG;D04M;manha;D04;IRRIG;IRRIG;0.0;True
CD202;1;B3_CD202_NIRRIG_REPROD00004.asd;B3;CD202;NIRRIG;D04M;manha;D04;NIRRIG;IRRIG;0.308;False
CD202;1;B4_CD202_NIRRIG_REPROD00003.asd;B4;CD202;NIRRIG;D04M;manha;D04;NIRRIG;NIRRIG;0.992;True
CD202;1;B4_CD202_NIRRIG_REPROD00007.asd;B4;CD202;NIRRIG;D04M;manha;D04;NIRRIG;IRRIG;0.332;False
