genotipo;posicao;banda_nm;vip
BR16;1;1963;1.3028960071144393
BR16;2;1953;1.3009949076277223
BR16;3;1951;1.2981185835753994
BR16;4;405;1.282428421072112
BR16;5;1943;1.2777087234696334
CD202;1;1480;1.2738938957117383
CD202;2;1997;1.2736281070122375
CD202;3;2007;1.2732809116824768
CD202;4;1987;1.2732177214702367
CD202;5;1470;1.2405648088168015
EMB48;1;1943;1.2534334001565228
EMB48;2;1939;1.2532002042145833
EMB48;3;1938;1.2524026277622438
EMB48;4;1948;1.2469405596783287
EMB48;5;1933;1.2434308780871843
