fold;classe_real_nirrig;classe_predita_nirrig;score_plsda
1;1;1;1.0191890618949673
1;1;1;1.0208370867916454
1;1;1;0.5667902513458623
1;0;0;0.4269987304362599
1;0;0;0.3735266300255362
1;0;1;0.7111759962378466
1;1;1;1.0793769668195183
1;1;1;1.0583793890433268
1;0;1;0.5673806246052443
1;0;1;0.5171528621237719
1;0;0;0.4601832061474859
1;1;1;0.6796019340482833
1;1;1;0.6565943812154569
1;1;1;0.6176848406740607
1;0;0;0.26272510066404886
1;0;0;0.4841839128443664
2;0;0;-0.3117662001364885
2;0;1;0.5429222585320865
2;0;1;0.5357154255993017
2;1;1;1.0368993972857394
2;1;0;0.41220286786480864
2;0;0;0.2676218658092265
2;0;1;0.7543242841191873
2;0;1;0.7008263957440776
2;1;0;0.4144956521650409
2;1;1;0.8664597683131756
2;0;0;0.08954978036334255
2;0;0;0.28740557582343673
2;1;1;0.8643815463879125
2;1;1;0.8910198307472448
2;1;1;0.5409601617611607
2;1;1;0.6876628632431319
3;0;0;-0.23334968495623176
3;1;1;1.0615258655017525
3;1;0;0.4413359381256384
3;0;0;0.22910511607284273
3;0;1;0.6274850509539207
3;1;0;0.40621134099401146
3;1;1;0.8995948226356014
3;0;0;0.30250905935326367
3;0;0;0.159707414366542
3;0;0;0.16864093413256503
3;1;1;0.7814716516740416
3;1;1;0.8221406504167902
3;1;1;0.8764725689581081
3;0;0;0.10503501002511456
3;0;0;0.30369437282591294
3;1;1;0.8096630936944101
4;0;0;-0.2836306978710903
4;0;0;-0.3095292756815545
4;0;0;0.33125513026440323
4;0;0;0.3352195918056926
4;1;0;0.3829004887354765
4;1;0;0.3384579786588136
4;1;0;0.3674412257273621
4;1;1;0.7861114727482164
4;0;0;0.1945751859716806
4;0;0;0.12700113486429926
4;1;1;0.8908695017258819
4;0;0;0.04360606072778378
4;0;0;0.22072083386944996
4;1;1;0.778962827247827
4;1;1;0.5664456824963872
4;1;1;0.5984089771317915
