posicao;banda_nm;vip
1;721;2.629070568311983
2;711;2.6006922774625676
3;731;2.250675544239837
4;702;2.0740001477578653
5;1381;2.0203894156838778
6;1371;1.9158705014344264
7;1391;1.8464208073292447
8;1361;1.8275193360606148
9;1351;1.7982297203004134
10;1401;1.6455302512517467
11;1938;1.6049841947545294
12;1838;1.5946667644092314
13;1848;1.5928966667518216
14;1928;1.592732671307233
15;1948;1.5267486900727292
16;1858;1.5209101361129702
17;1411;1.4830107591726212
18;1829;1.477911751216306
19;555;1.4218699623562987
20;1918;1.4174801377460462
21;1821;1.410751396860793
22;1341;1.3933826377088656
23;1958;1.3883411105760581
24;405;1.3867855963757412
25;1868;1.3829207409578828
26;545;1.3727717459423054
27;1811;1.3499121131371314
28;565;1.3338431809319895
29;415;1.3004727869441053
30;1801;1.2766935952782283
31;1968;1.2584959779962612
32;535;1.2517081995402577
33;1421;1.2477251043250284
34;425;1.223787650673663
35;1878;1.209152485508903
36;1791;1.1846902690196235
37;575;1.1788959841477915
38;435;1.166225083177307
39;741;1.1596366227333166
40;1978;1.1495715967593358
41;1781;1.1174195622508891
42;445;1.1156087689660117
43;585;1.0777006531967357
44;1771;1.0723347043607396
45;1988;1.06253260602168
46;525;1.0314148601598858
47;455;1.0310508566425132
48;595;1.0308725958582037
49;2248;1.0243313959170164
50;1761;1.0180542687640353
51;2238;1.0138284110928073
52;2258;1.0066096907255433
53;1998;0.995848304569356
54;1908;0.9953735416885512
55;2228;0.987709403946188
56;694;0.9807017273224976
57;465;0.9802441673638381
58;605;0.978409934799343
59;1431;0.9765712397919557
60;1751;0.9706527500149161
61;1888;0.9568969629343542
62;2268;0.9557846657558422
63;2218;0.9557556896914632
64;2008;0.9444630549922424
65;475;0.9242909622974831
66;2208;0.9213034806762862
67;1741;0.9187401750724302
68;2278;0.9034994179520552
69;2298;0.9023098452036858
70;2018;0.9013220310615769
71;615;0.9011743769705419
72;2447;0.9010811271071186
73;1731;0.9005654289540445
74;1331;0.9002604586381577
75;1021;0.8988760639635948
76;2288;0.8922160083575852
77;2308;0.882318737222999
78;1011;0.8804458686484442
79;1041;0.8762044073726418
80;1051;0.8753199340418351
81;2198;0.8734819425605692
82;1031;0.8729585363449596
83;1721;0.8726780768776965
84;485;0.8695614701008796
85;1061;0.8680947798240087
86;625;0.8669709136366117
87;1001;0.861552815432335
88;635;0.860836026452642
89;2028;0.8601121521163819
90;991;0.8537657153161857
91;891;0.8499470437063232
92;921;0.8492211451105317
93;911;0.8482075296186771
94;2318;0.8472603953141938
95;2188;0.8452743300913557
96;901;0.8441809687657417
97;881;0.8420686088747623
98;941;0.8409020389484565
99;981;0.8390041900599664
100;931;0.8381510623254906
101;1071;0.8345325678594744
102;951;0.8315563601196552
103;871;0.8288986177831407
104;2328;0.826100362552047
105;2038;0.8248207979909766
106;971;0.8237432777200754
107;2178;0.8190196818862905
108;2338;0.8146422647078438
109;861;0.8137044345801993
110;961;0.8065758109657754
111;1081;0.8047572185488838
112;495;0.8045213407754189
113;2438;0.8022104886658122
114;2348;0.8010045061884747
115;2048;0.7983845419183929
116;2168;0.7945305499395806
117;1711;0.7931770231754137
118;645;0.7890981219674247
119;851;0.7870933190246321
120;1091;0.7844504169741713
121;2158;0.7813524024885704
122;1441;0.779456909893016
123;2358;0.7747586273119511
124;2058;0.7718722050567012
125;1511;0.771631130130401
126;1521;0.7708364147391551
127;2148;0.7678459182755109
128;1501;0.7673435455585974
129;1131;0.758577582296083
130;1121;0.7583734851309125
131;1111;0.7576297092756303
