posicao;banda_nm;vip
1;1924;2.1673959005527976
2;1934;2.1300826160752457
3;1914;2.054498949854899
4;1944;1.9970015945333945
5;1834;1.8491648084667378
6;1954;1.82354046297049
7;1844;1.7444558761284863
8;1964;1.652567082033236
9;1374;1.6399924124358773
10;1904;1.6220034130188297
11;1854;1.5125962357354998
12;1974;1.5108063166725465
13;1824;1.4216934800791772
14;1984;1.3995965109069886
15;1814;1.3289220182816466
16;1994;1.3123903446779743
17;2254;1.2701886420139585
18;2264;1.2657707499314181
19;2244;1.265632056855087
20;1365;1.265392758488525
21;2004;1.2442533088425554
22;2234;1.2439402058362126
23;745;1.2422083489490674
24;2274;1.237228072631804
25;405;1.233581630250742
26;2224;1.2247461667434476
27;1804;1.22015452454747
28;2214;1.210335429153481
29;1864;1.2017096802389005
30;2284;1.1850356534002051
31;2014;1.1846005907609756
32;2204;1.1786011389534026
33;1524;1.1760623455843302
34;1534;1.1739857965629652
35;1514;1.1702652378449736
36;2294;1.1613737162271367
37;1504;1.1585529825656251
38;1544;1.1583562052294496
39;2194;1.1430022599485734
40;1494;1.140407216125671
41;1384;1.1340349190741206
42;415;1.1339371103022127
43;1794;1.1329094646861482
44;1554;1.1310002182630006
45;2304;1.130652898119796
46;2024;1.1258243886552095
47;1484;1.1143370214249524
48;2184;1.100425171089591
49;735;1.1003052790112815
50;1564;1.0923619807939686
51;1474;1.080855503162275
52;2034;1.071021159890952
53;755;1.0647425232643875
54;2174;1.058726456561351
55;2314;1.0579135831065412
56;425;1.0579075692140862
57;1464;1.0406869068485243
58;1784;1.0382137588518632
59;1574;1.032632784625857
60;2044;1.0168927822692615
61;2164;1.0082530802500949
62;2324;0.995672716715832
63;1454;0.9953333116171643
64;2450;0.9840541046599991
65;435;0.9813796727670084
66;1754;0.9805929043718576
67;1015;0.9783327590209743
68;1005;0.9743148663588097
69;1774;0.9738227656935786
70;1734;0.9704420118826621
71;995;0.9696872303636678
72;1355;0.9692877230731574
73;1764;0.9680078607185616
74;1724;0.9670767619593484
75;1744;0.9642490747462418
76;1584;0.9629680371207653
77;985;0.9624691316697859
78;2054;0.9622807615144767
79;2154;0.9580986582752682
80;2334;0.9480647447886117
81;1025;0.945469769421494
82;965;0.9433773787876192
83;975;0.9397138726448644
84;1894;0.9394112977424555
85;2444;0.9390674909679732
86;955;0.9379068550360411
87;1874;0.9330189284904804
88;1444;0.9294177625431072
89;1035;0.92897935540445
90;765;0.9284774692651918
91;945;0.9279060835979764
92;445;0.9275538300444763
93;935;0.9206952949841505
94;1045;0.9161608956336555
95;2344;0.9147534421008754
96;2064;0.9125801054308379
97;925;0.9110296322125203
98;915;0.9078119958099122
99;1055;0.9059282179204022
100;2144;0.9055477508086475
101;905;0.9004362770990129
102;895;0.8951547053934997
103;885;0.8862955199967065
104;1594;0.8862758602636434
105;695;0.8855518580169194
106;1065;0.8835241523304024
107;455;0.8819640738234421
108;1075;0.8743937531509046
109;2354;0.8723534339569384
110;875;0.8707344029495366
111;2434;0.8704725654960219
112;2074;0.8666281520149615
113;1085;0.8605118860909504
114;2134;0.8580715054002738
115;1714;0.857393291882419
116;775;0.8521231534988143
117;1095;0.8501039700644073
118;465;0.8492591832736136
119;865;0.8488795566715053
120;1394;0.84584423238576
121;1434;0.8432609137360486
122;1105;0.8411509699001463
123;1115;0.8367884087483857
124;2364;0.836575675028955
125;2424;0.8321225982752031
126;1345;0.8316847923920776
127;1125;0.8316311828132229
128;2084;0.83009182885034
129;785;0.8257732380153042
130;475;0.8247533908438032
131;1135;0.8222553615170219
132;855;0.8219380693576924
133;2124;0.8209340278485584
134;795;0.81612827669452
135;1185;0.812199025202873
136;805;0.8121726208066289
137;2374;0.8104911324979939
138;1195;0.8103776159385702
139;1145;0.8096126937961352
140;485;0.8090873170683115
141;1175;0.8090080884525499
142;1205;0.808937705607775
143;1215;0.8072840118477397
144;815;0.8064757537258591
145;2414;0.8062032491432263
146;1225;0.8061452931602069
147;1165;0.8052136506733034
148;2094;0.8050141493223515
149;1235;0.803635377293607
150;1155;0.8033278481657541
151;685;0.8007463242890873
152;495;0.8000553775439334
153;2114;0.7997726311086826
154;1245;0.7994634891992302
155;515;0.7991120031315069
156;505;0.7974180358721881
157;845;0.7969326192380205
158;635;0.7960630057981715
159;825;0.7956660535437311
160;625;0.7954971484604635
161;525;0.7954084351663496
162;2384;0.7950663117326564
163;2104;0.7949565653035093
164;1255;0.7948116513897776
165;645;0.7941926876050213
166;615;0.7940710639262777
167;2404;0.7924135278304042
168;1265;0.7915534365569891
169;535;0.791532276019379
170;2394;0.7896792527568716
171;605;0.7895853853875494
172;1275;0.7889315612460637
173;655;0.7888224741093647
174;835;0.7886583767444881
175;1305;0.7885178486910525
176;1315;0.7871987879606682
177;1285;0.7868665294905017
178;1295;0.7863564524372018
179;595;0.7842414619660677
180;1404;0.7831329447416601
181;1604;0.7831216756440843
182;1335;0.7825636437950294
183;665;0.782167505614331
184;1884;0.7806044120610999
185;675;0.7802561340080723
186;1325;0.7802071412488569
187;585;0.7764035548438489
188;1424;0.7727897336010744
189;575;0.7629061727831261
190;545;0.7607067492672088
191;1414;0.7597458786735277
192;565;0.7408401229468292
193;555;0.7311939664963775
194;1704;0.6706134788168819
195;1614;0.6628523871637754
196;1624;0.5313223443083781
197;705;0.5192953892814384
198;1694;0.4946654150817418
199;1634;0.4041995252413712
200;725;0.34873121463657614
201;1684;0.32189289491536177
202;1644;0.29194310536065554
203;1654;0.17530849388555678
204;1674;0.14874773186057771
205;715;0.0957540951957447
206;1664;0.06003591468264712
