posicao;banda_nm;vip
1;715;2.1501485472863653
2;725;1.9788587685862802
3;705;1.8963035160002308
4;405;1.6520087122898603
5;1375;1.6488268892090565
6;1365;1.616539102612793
7;1955;1.5449386321364342
8;1965;1.523912955889337
9;1945;1.4782547191606896
10;1975;1.4716344268507473
11;535;1.457375579163836
12;415;1.454806476620722
13;1985;1.4233920928599035
14;1385;1.4037316643628817
15;545;1.3996879364344692
16;1995;1.3880025544919863
17;735;1.3770448149378245
18;525;1.37464727347096
19;425;1.3578777940321598
20;2005;1.3543684962263216
21;555;1.3199632586843137
22;2015;1.312687103231754
23;435;1.3070558239986192
24;1355;1.2820201320054867
25;2025;1.2617830970011725
26;1395;1.2519051262297836
27;445;1.2393666290502912
28;2035;1.2118450199368727
29;1405;1.2079898483675162
30;565;1.205813154255714
31;1525;1.1935701582729645
32;1515;1.187271282336145
33;1935;1.1846567225638003
34;1535;1.1754522951610218
35;455;1.1724837693294794
36;2045;1.1666243649152097
37;1505;1.1640855060981048
38;1545;1.1496872364221196
39;465;1.1321445974036703
40;1495;1.1249429134530602
41;1415;1.1248520587757567
42;1885;1.1195715073411956
43;1895;1.1182576729066995
44;1555;1.1158715746114856
45;1875;1.1143547454954357
46;1865;1.1114924652600668
47;1855;1.1102485104201478
48;475;1.1052463646730488
49;2055;1.103124834968996
50;1845;1.0976598374751063
51;1345;1.0910385134443858
52;1565;1.0870804972345731
53;1835;1.0753859740253278
54;695;1.0697785275479832
55;1485;1.0693750817197678
56;485;1.0659628165018054
57;1575;1.0555434553181586
58;665;1.050087328304971
59;575;1.0438448991410652
60;1585;1.0169695516962425
61;2065;1.0118238547336245
62;655;1.0111334227011308
63;1475;1.0049019711991156
64;675;0.9963887451063744
65;1595;0.9963571664941995
66;1825;0.9947172306231887
67;495;0.9910066602152405
68;1335;0.9884008500225087
69;1425;0.9764092808627556
70;1605;0.971543542434129
71;1615;0.9539363341831384
72;1465;0.9451845023605697
73;645;0.9412061668706114
74;585;0.9400471294411783
75;1815;0.9298138646997085
76;1625;0.9284411487605664
77;515;0.9272177497383248
78;2075;0.9243704525097232
79;1905;0.9230263650614193
80;1325;0.9219528365612377
81;1455;0.8935113864980979
82;1805;0.8882243733007218
83;2445;0.8879410952745391
84;1635;0.8869889931665675
85;595;0.8847271273765457
86;975;0.8846730635729156
87;965;0.884556851198746
88;2435;0.8838985005654391
89;955;0.8828148009752342
90;2425;0.88051512369859
91;1315;0.8762554790314226
92;945;0.873381143952863
93;2450;0.8701411424088541
94;935;0.8690945336675808
95;2415;0.8683161435256349
96;685;0.8673584692448452
97;925;0.8672448706677085
98;915;0.8669994847079389
99;2405;0.8649023938384026
100;2315;0.8640086573056778
101;1435;0.8638805267345886
102;905;0.8635068112690624
103;2325;0.8623085632733929
104;895;0.8622002024342802
105;985;0.8608932900339477
106;1795;0.8608519556832472
107;1095;0.8606961253872453
108;2395;0.8606205002961002
109;885;0.8601331914459518
110;2085;0.8589792975038834
111;1115;0.8581947763424551
112;1085;0.858070606402339
113;1105;0.8567916385062158
114;1645;0.8564121206592468
115;875;0.8558118266597327
116;2385;0.8537054334749441
117;635;0.8536476675209551
118;2335;0.8535845326768788
119;2375;0.8535604491547119
120;865;0.8534512381643801
121;995;0.852882133491586
122;845;0.8523238458817662
123;605;0.851910886495689
124;1445;0.8517041961732236
125;855;0.8516198286360249
126;2305;0.8516093310489615
127;2285;0.8513511513069821
128;2365;0.8506495790267798
129;835;0.8496015618241974
130;1125;0.8490948303318387
131;505;0.8485591007939702
132;745;0.8485353679186958
133;825;0.8482357182006388
134;2275;0.8475313685852465
135;1075;0.8471246746750851
136;2255;0.8459548746746112
137;2245;0.8449698599762173
138;2355;0.8449605304208925
139;2345;0.8448607273026872
140;1065;0.8447173358019899
141;2295;0.8444275894308882
142;2265;0.8441320831205608
143;815;0.8419636431656448
144;625;0.8403623600884906
145;1145;0.8397354198685841
146;2235;0.8391773846209305
147;1655;0.8385871801153522
148;1135;0.8379502459610743
149;1055;0.8377914479475079
150;805;0.83616709318822
151;1005;0.835985128528666
152;1015;0.8359462414777167
153;1045;0.8349351659718247
154;615;0.8330875551988968
155;795;0.831856930692284
