seed;fold;n_treino;n_teste;accuracy;f1;kappa;auc_roc
42;1;48;16;0.875;0.875;0.75;0.984375
42;2;48;16;0.875;0.875;0.75;0.96875
42;3;48;16;0.875;0.875;0.75;0.984375
42;4;48;16;0.875;0.875;0.75;0.984375
43;1;48;16;0.75;0.75;0.5;0.9375
43;2;48;16;0.9375;0.9333333333333333;0.875;1.0
43;3;48;16;0.875;0.8888888888888888;0.75;1.0
43;4;48;16;1.0;1.0;1.0;1.0
44;1;48;16;0.9375;0.9411764705882353;0.875;0.984375
44;2;48;16;0.9375;0.9411764705882353;0.875;0.96875
44;3;48;16;0.875;0.8888888888888888;0.75;0.953125
44;4;48;16;0.875;0.8571428571428571;0.75;0.953125
45;1;48;16;0.875;0.875;0.75;0.984375
45;2;48;16;0.8125;0.8;0.625;0.96875
45;3;48;16;0.875;0.875;0.75;0.9375
45;4;48;16;0.875;0.8888888888888888;0.75;0.984375
46;1;48;16;0.875;0.875;0.75;0.984375
46;2;48;16;0.875;0.875;0.75;0.984375
46;3;48;16;0.875;0.875;0.75;0.953125
46;4;48;16;0.875;0.875;0.75;0.984375
