seed;fold;classe_real_nirrig;classe_predita_nirrig;score_plsda
42;1;1;1;0.7710454425169673
42;1;1;1;0.7958649599505268
42;1;1;1;0.7611224004184245
42;1;0;0;-0.18666374387516704
42;1;0;0;-0.20617643616386738
42;1;0;0;0.33259833612197526
42;1;1;1;0.6477266008188002
42;1;1;1;0.6274920088958885
42;1;0;0;0.08578815404713191
42;1;0;0;0.06370463802317905
42;1;0;0;0.042451631610366636
42;1;1;1;0.9230190724075078
42;1;1;1;0.805889823899225
42;1;1;1;0.8122026866501686
42;1;0;0;-0.31487243619452854
42;1;0;0;-0.1421132322833275
42;2;0;0;0.1893929047281261
42;2;0;1;0.6283760850102476
42;2;0;1;0.6230929297912382
42;2;1;1;0.9832766244863989
42;2;1;1;1.2929035835750664
42;2;0;0;0.021704881767660722
42;2;0;1;0.6145135664124981
42;2;0;1;0.5894806791661568
42;2;1;1;0.8643801569636677
42;2;1;1;0.7649673666435373
42;2;0;0;-0.13683661433346017
42;2;0;0;0.023346780517134957
42;2;1;1;0.7855637650389096
42;2;1;1;0.8369580423998564
42;2;1;1;0.8633021056639163
42;2;1;1;0.9459580456591652
42;3;0;0;0.26305274388343447
42;3;1;1;0.8316956925909423
42;3;1;1;0.8114760075480847
42;3;0;0;-0.21675856675193517
42;3;0;0;0.31282698227260464
42;3;1;1;0.7322923792427121
42;3;1;1;0.6925075232357253
42;3;0;0;0.27749375667937604
42;3;0;0;0.21237207892503218
42;3;0;0;0.21914163722184554
42;3;1;1;0.9785979384593005
42;3;1;1;0.8214225644524007
42;3;1;1;0.8230278307191565
42;3;0;0;-0.25150239576993916
42;3;0;0;-0.042454401300059286
42;3;1;1;0.8667769033672656
42;4;0;0;0.31822795141771737
42;4;0;0;0.28943675316343564
42;4;0;1;0.8804107555409909
42;4;0;1;0.8647537915562581
42;4;1;1;0.7758605455100646
42;4;1;1;0.7511908407935687
42;4;1;1;0.7647569138935961
42;4;1;1;0.761126669596146
42;4;0;0;0.14077383386443515
42;4;0;0;0.2592952585542753
42;4;1;1;0.9961764593825002
42;4;0;0;-0.22264354294239985
42;4;0;0;0.06011778475134344
42;4;1;1;0.9020863051805582
42;4;1;1;0.9624999797204398
42;4;1;1;0.9443900961461558
43;1;0;0;0.25880912311336846
43;1;0;1;0.830305032665994
43;1;1;1;0.8269601410621386
43;1;0;0;-0.22845093611425293
43;1;1;1;0.7586056884271448
43;1;1;1;0.7613248049165726
43;1;0;0;0.1240695478381717
43;1;0;0;0.2797287426544881
43;1;0;0;0.21258962731008374
43;1;1;1;0.9476916579012351
43;1;1;1;0.9559840157637909
43;1;1;1;0.8487160999610264
43;1;0;0;-0.021837060479999226
43;1;0;0;-0.08079275235858108
43;1;1;1;0.8833240456382259
43;1;1;1;0.920650820485958
43;2;0;0;0.2791161914991064
43;2;0;0;0.3150337412320458
43;2;0;1;0.8384535626296912
43;2;0;1;0.8515555715426675
43;2;1;1;0.8412950805190436
43;2;1;1;0.7809386764270992
43;2;0;0;-0.13355058164594302
43;2;1;1;0.7523757888133074
43;2;1;1;0.7605126009584654
43;2;1;1;0.7115430691133505
43;2;0;0;0.18404651391649707
43;2;0;0;0.14414725714060617
43;2;0;0;0.22656094000343258
43;2;1;1;0.9966224849483739
43;2;1;1;0.885507044802929
43;2;1;1;0.965755050343609
