seed;fold;classe_real_nirrig;classe_predita_nirrig;score_plsda
42;1;0;0;0.018438034800380143
42;1;1;1;1.0565784492898849
42;1;1;1;1.076432893229026
42;1;1;1;0.8641552419648005
42;1;0;0;0.1090513195885302
42;1;0;0;0.11107534232569805
42;1;0;0;0.30137929072347447
42;1;0;0;0.2716094812888022
42;1;1;1;0.951488776525077
42;1;0;0;-0.030832226734229917
42;1;0;0;-0.06904952962322619
42;1;1;1;0.7510793947118117
42;1;1;1;1.3586097481252497
42;1;1;1;1.3488233048328286
42;1;1;1;1.3534954717975602
42;1;0;0;0.17527699614424963
42;1;0;0;0.159663588995263
42;2;0;0;-0.22113086848815944
42;2;0;0;0.08339792210660574
42;2;0;0;0.021174650259151107
42;2;0;0;0.012549962303556206
42;2;0;0;0.007832340341686006
42;2;1;1;1.0106936610883155
42;2;1;1;0.9082429792699793
42;2;0;0;0.09533719947673291
42;2;0;0;0.2311486009470794
42;2;1;1;0.9960874657089173
42;2;1;1;1.0049651495115537
42;2;1;1;0.8157128843892143
42;2;0;0;-0.07340642586519475
42;2;1;1;0.8044382642474661
42;2;0;0;0.17121203815151348
42;2;1;1;0.7035521616572005
42;2;1;1;0.9600092868071298
42;3;0;0;-0.22041197849226657
42;3;0;0;0.02563678928620816
42;3;1;1;1.0807472669803562
42;3;1;1;0.7906867646972181
42;3;1;1;0.8086835732735533
42;3;0;0;0.333767849173511
42;3;0;0;-0.07171766636718235
42;3;0;0;0.043282928514679575
42;3;1;1;0.7191501088810128
42;3;1;1;0.7395063871479771
42;3;0;0;0.23279048281644532
42;3;0;0;0.22274005885977669
42;3;0;0;0.2135389762499067
42;3;0;0;0.1070818772473201
42;3;1;1;0.6635094584818313
42;3;1;1;0.6873883374717248
42;3;1;1;1.0054327519980129
42;4;0;0;-0.19785243452463352
42;4;0;0;-0.19185363129007238
42;4;0;0;0.032556209482776155
42;4;0;0;-0.028300726417738398
42;4;0;0;0.07265366107964383
42;4;1;1;0.9708551799347142
42;4;1;1;1.0073275441790797
42;4;1;1;1.0300851643360631
42;4;1;1;1.0562114863315022
42;4;0;0;-0.011650756537622875
42;4;0;0;0.07743231443467324
42;4;0;0;-0.014255671744148934
42;4;1;1;1.363509543605419
42;4;0;0;0.1669054047408442
42;4;1;0;0.4771561549556769
42;4;1;1;0.8819355992820127
42;4;1;1;0.8983216324285312
43;1;0;0;-0.19039165799754076
43;1;0;0;-0.18674365814542893
43;1;0;0;-0.018911250170388527
43;1;1;1;0.9355071044288394
43;1;1;1;0.9849199577328892
43;1;0;0;0.046288122491597194
43;1;1;1;1.0753728398412632
43;1;0;0;0.05676305407180021
43;1;0;0;-0.03842677321389443
43;1;0;0;-0.1093151378550723
43;1;1;1;1.4912101745335766
43;1;1;1;1.474654213534706
43;1;1;1;1.4927453228039864
43;1;0;0;0.21766678391198346
43;1;0;0;0.2021071135560918
43;1;1;1;0.5572570895695032
43;1;1;1;0.9414691126318873
43;2;0;0;-0.19211235840197016
43;2;0;0;0.05951816370868357
43;2;0;0;0.029245931800962688
43;2;1;1;0.7799262167819514
43;2;1;1;0.821721420174363
43;2;0;0;0.08207303106013508
43;2;0;0;0.25395226621751316
43;2;1;1;1.0235702463349263
43;2;1;1;0.9375117158202337
43;2;0;0;-0.05032037111044885
43;2;0;0;-0.013838249488198284
43;2;1;1;0.7497864953712442
43;2;0;0;0.1682306438507558
43;2;0;0;0.1408673926729027
43;2;1;1;0.5529705501447151
43;2;1;1;0.577851496441066
43;2;1;1;0.9420921702453049
43;3;0;0;0.09072015311105142
43;3;0;0;0.0345722026701073
43;3;0;0;0.03862957995118299
43;3;1;1;1.0219492002304904
43;3;1;1;1.0557143017392971
43;3;1;1;0.8492466602519023
43;3;0;0;0.06791860776086278
43;3;0;0;0.3202667088568351
43;3;1;1;1.1043022785392798
43;3;1;1;0.9496143944239646
43;3;0;0;-0.03904125333524877
43;3;0;0;0.0020459921447342766
43;3;1;1;0.764367376943354
43;3;1;1;1.2853145625903395
43;3;0;0;0.1726666837788542
43;3;0;0;0.14669229688919444
43;3;1;1;0.632393129202411
43;4;0;0;-0.2243742643588642
43;4;0;0;0.03984539573057888
43;4;0;0;0.03657173038355188
43;4;1;1;0.8018966156115674
43;4;0;0;0.16755679507766957
43;4;0;0;0.3338779803787843
43;4;0;0;0.32569172697716453
43;4;1;1;0.9518319305145859
43;4;1;1;0.788608527002947
43;4;1;1;0.799116543589165
43;4;0;0;0.13984301460048232
43;4;1;1;0.6579883523119966
43;4;1;1;0.7491532505639283
43;4;0;0;0.26282661854224443
43;4;0;0;0.2519210866458401
43;4;1;1;1.0436777958690406
43;4;1;1;1.0264996150178032
44;1;0;0;0.025672372832887702
44;1;0;0;0.03602314648784444
44;1;1;1;1.0378465407588289
44;1;1;1;0.842098503682996
44;1;1;1;0.8842263108478148
44;1;0;0;0.11065442551559179
44;1;0;0;0.07881569522910847
44;1;0;0;0.3051035801833538
44;1;0;0;0.292957757637872
44;1;1;1;1.0030448142516208
44;1;1;1;1.0748637462660497
44;1;1;1;0.9586184695129474
44;1;0;0;-0.017890057595809417
44;1;0;0;-0.0738324305017336
44;1;1;1;1.2834697560663924
44;1;1;1;1.305182632097261
44;1;0;0;0.1473777229343981
44;2;0;0;-0.2873723601593243
44;2;0;0;-0.2782197433941055
44;2;0;0;-0.27024812174646595
44;2;0;0;0.04182653495877309
44;2;0;0;-0.0015756426221039677
44;2;1;1;1.1243678142342206
44;2;0;0;0.31775501332934986
44;2;0;0;0.2531044649011862
44;2;1;1;1.0738918392333425
44;2;1;1;0.8232973179092224
44;2;1;1;0.7653321554578509
44;2;1;1;0.8053622749765726
44;2;1;1;1.2759537961307101
44;2;1;1;1.2540044008511004
44;2;0;0;0.21219052258961446
44;2;0;0;0.2027064074382251
44;2;1;1;0.7446517916419415
44;3;0;0;0.03914422579455934
44;3;0;0;0.04258507976982928
44;3;1;1;1.024106225658473
44;3;1;1;0.836878996782456
44;3;0;0;0.11218336421625447
44;3;0;0;0.0860093777102739
44;3;1;1;0.9312922017554409
44;3;0;0;-0.04279422178031411
44;3;0;0;0.007191441017261102
44;3;0;0;-0.008195186791707054
44;3;1;1;0.7652874410223434
44;3;0;0;0.21406112956784829
44;3;0;0;0.12279244736449524
44;3;1;1;0.9769279693056868
44;3;1;1;0.995664067699516
44;3;1;1;0.9901917594434192
44;3;1;1;1.0056744195769927
44;4;0;0;-0.17584980304969133
44;4;0;0;0.038264757307550246
44;4;0;0;-0.007640287509038557
44;4;1;1;0.9191458034644435
44;4;1;1;0.8270027702510473
44;4;1;1;1.0004550325915473
44;4;1;1;0.9569746151135907
44;4;0;0;-0.004563089197386572
44;4;0;0;0.07063081731107324
44;4;0;0;-0.017240006977792155
44;4;1;1;0.7358070994886955
44;4;0;0;0.1212618415559178
44;4;0;0;0.198480208820348
44;4;0;0;0.17591753386024545
44;4;1;0;0.45739569432306965
44;4;1;0;0.4881253852879223
44;4;1;0;0.4989565197660082
45;1;0;0;-0.19286754517052074
45;1;0;0;-0.18873519987985354
45;1;0;0;-0.08565051870558371
45;1;0;0;-0.047206132321452876
45;1;1;1;1.022111460868408
45;1;1;1;1.0401280815662806
45;1;1;1;1.0511527562254315
45;1;1;1;0.7995134253899974
45;1;0;0;0.26004850790275835
45;1;1;1;0.8142685284757145
45;1;1;1;0.8338536475682252
45;1;1;1;0.8393004876011583
45;1;0;0;-0.15962155657744947
45;1;0;0;-0.11580935515820812
45;1;0;0;0.0842072243578757
45;1;1;1;0.753719439268582
45;1;0;0;0.14584622139306547
45;2;0;0;-0.22581569938486068
45;2;0;0;0.063160112999125
45;2;0;0;0.05087800891411226
45;2;0;0;0.011994912539789404
45;2;1;1;0.788092504875574
45;2;0;0;0.07875256901214306
45;2;0;0;0.29955745425286284
45;2;0;0;-0.07737398023880593
45;2;0;0;0.0946223615553593
45;2;1;1;0.7275893217142573
45;2;1;1;0.7685434559692066
45;2;0;0;0.0915358369829003
45;2;1;1;0.6251231574949941
45;2;1;1;0.9826355593587779
45;2;1;1;0.9996924600931217
45;2;1;1;0.9923103035481876
45;2;1;1;1.0057242405934637
45;3;0;0;-0.001161889832675178
45;3;1;1;0.9552453840247831
45;3;0;0;0.12010157558744539
45;3;0;0;0.11779764473424365
45;3;0;0;0.10500816756291287
45;3;0;0;0.2728237671999096
45;3;0;0;0.26399675660174104
45;3;1;1;1.0494411453775363
45;3;1;1;1.0773466890378192
45;3;0;0;-0.0020487488083009153
45;3;0;0;-0.021221166182233853
45;3;1;1;0.8853947613720571
45;3;1;1;1.4538303342248526
45;3;1;1;1.4387928237323084
45;3;1;1;1.456162873123866
45;3;0;0;0.1607945882618197
45;3;1;1;0.5491287326821719
45;4;0;0;-0.15890260479592422
45;4;0;0;0.015038249711941898
45;4;0;0;-0.010226849970786933
45;4;1;1;0.9201959539767411
45;4;1;1;0.8835276917637944
45;4;1;1;0.9585750935944294
45;4;1;1;1.0375479856472336
45;4;1;1;0.9936676716894812
45;4;0;0;0.023011079298011994
45;4;1;1;1.3779309696644173
45;4;0;0;0.17058878355253237
45;4;0;0;0.14733199938114638
45;4;0;0;0.13266228384744672
45;4;0;0;0.22420057631466422
45;4;0;0;0.19891995954150582
45;4;1;0;0.4821406940187332
45;4;1;1;0.5370067867774622
46;1;0;0;-0.17624411735608392
46;1;0;0;0.0688373988246393
