accuracy;balanced_accuracy;f1;auc_roc;kappa;accuracy_dp;balanced_accuracy_dp;f1_dp;auc_roc_dp;kappa_dp;genotipo;dia
0.5;0.5;0.3333333333333333;0.447265625;0.0;0.2041241452319315;0.2041241452319315;0.3849001794597505;0.48190630133691875;0.408248290463863;BR16;D02
0.875;0.875;0.875;0.880859375;0.75;0.25;0.25;0.25;0.23828125;0.5;BR16;D03
0.65625;0.65625;0.5484848484848486;0.8515625;0.3125;0.11967838846954226;0.11967838846954226;0.3696969696969697;0.12336165919090637;0.23935677693908453;BR16;D04
0.890625;0.890625;0.8055555555555556;1.0;0.78125;0.21875;0.21875;0.3888888888888889;0.0;0.4375;BR16;D05
1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;BR16;D06
0.796875;0.796875;0.8092105263157895;0.8125;0.59375;0.24672331838181275;0.24672331838181275;0.2405892658228505;0.23935677693908453;0.4934466367636255;BR16;D09
0.578125;0.578125;0.4908496732026144;0.564453125;0.15625;0.3512440687518201;0.3512440687518201;0.45146511792380173;0.37507459110586144;0.7024881375036403;BR16;D10
0.6875;0.6875;0.5666666666666667;0.798828125;0.375;0.125;0.125;0.38297084310253526;0.3521912779855039;0.25;CD202;D02
0.9375;0.9375;0.9166666666666666;0.875;0.875;0.125;0.125;0.16666666666666669;0.25;0.25;CD202;D03
0.8125;0.8125;0.825;0.841796875;0.625;0.23935677693908453;0.23935677693908453;0.2362907813126304;0.21747910205518406;0.47871355387816905;CD202;D04
0.875;0.875;0.875;0.9375;0.75;0.25;0.25;0.25;0.125;0.5;CD202;D05
0.875;0.875;0.8666666666666666;1.0;0.75;0.14433756729740643;0.14433756729740643;0.16329931618554522;0.0;0.28867513459481287;CD202;D06
0.875;0.875;0.8666666666666667;1.0;0.75;0.14433756729740643;0.14433756729740643;0.16329931618554522;0.0;0.28867513459481287;CD202;D09
0.8125;0.8125;0.8333333333333333;0.984375;0.625;0.23935677693908453;0.23935677693908453;0.19245008972987526;0.03125;0.47871355387816905;CD202;D10
0.515625;0.515625;0.39484126984126977;0.513671875;0.03125;0.10673907047874581;0.10673907047874581;0.1672796738758571;0.19161871711134024;0.21347814095749162;EMB48;D02
0.875;0.875;0.875;0.9375;0.75;0.25;0.25;0.25;0.125;0.5;EMB48;D03
0.59375;0.59375;0.46785714285714286;0.765625;0.1875;0.11967838846954226;0.11967838846954226;0.33712974147208374;0.1795175827043134;0.23935677693908453;EMB48;D04
0.875;0.875;0.8666666666666667;0.90625;0.75;0.14433756729740643;0.14433756729740643;0.16329931618554522;0.11967838846954226;0.28867513459481287;EMB48;D05
0.90625;0.90625;0.9142857142857143;1.0;0.8125;0.11967838846954226;0.11967838846954226;0.10168645954315533;0.0;0.23935677693908453;EMB48;D06
0.84375;0.84375;0.8333333333333333;0.880859375;0.6875;0.1875;0.1875;0.19245008972987526;0.23828125;0.375;EMB48;D09
0.9375;0.9375;0.95;0.9375;0.875;0.125;0.125;0.09999999999999998;0.125;0.25;EMB48;D10
