posicao;banda_nm;importancia_gini
1;1458;0.05
2;821;0.04
3;951;0.04
4;1121;0.04
5;2447;0.03
6;1578;0.03
7;971;0.03
8;1131;0.03
9;695;0.03
10;685;0.03
11;605;0.03
12;851;0.03
13;515;0.03
14;1478;0.02
15;871;0.02
16;1528;0.02
17;575;0.02
18;585;0.02
19;425;0.02
20;615;0.02
21;2408;0.02
22;465;0.02
23;1468;0.02
24;495;0.02
25;791;0.02
26;761;0.02
27;981;0.01
28;1051;0.01
29;2428;0.01
30;2418;0.01
31;1081;0.01
32;911;0.01
33;881;0.01
34;1061;0.01
35;2058;0.01
36;1091;0.01
37;1101;0.01
38;1788;0.01
39;2088;0.01
40;1438;0.01
41;1448;0.01
42;861;0.01
43;1498;0.01
44;2078;0.01
45;1508;0.01
46;1558;0.01
47;2398;0.01
48;405;0.01
49;505;0.01
50;475;0.01
51;675;0.01
52;625;0.01
53;751;0.01
54;771;0.01
55;525;0.01
56;445;0.01
57;1738;0.0
58;1898;0.0
59;1708;0.0
60;1918;0.0
61;1928;0.0
62;1938;0.0
63;1948;0.0
64;1958;0.0
65;1968;0.0
66;1978;0.0
67;1988;0.0
68;1998;0.0
69;2008;0.0
70;2018;0.0
71;2028;0.0
72;2038;0.0
73;1908;0.0
74;1888;0.0
75;1748;0.0
76;1808;0.0
77;1758;0.0
78;1768;0.0
79;1728;0.0
80;1778;0.0
81;535;0.0
82;1798;0.0
83;1818;0.0
84;1878;0.0
85;1828;0.0
86;1838;0.0
87;1848;0.0
88;2048;0.0
89;1718;0.0
90;1868;0.0
91;1858;0.0
92;841;0.0
93;2068;0.0
94;2258;0.0
95;2278;0.0
96;2288;0.0
97;2298;0.0
98;2308;0.0
99;2318;0.0
100;2328;0.0
101;2338;0.0
102;2348;0.0
103;2358;0.0
104;2368;0.0
105;2378;0.0
106;2388;0.0
107;455;0.0
108;435;0.0
109;2438;0.0
110;2268;0.0
111;2248;0.0
112;1688;0.0
113;2238;0.0
114;485;0.0
115;2098;0.0
116;2108;0.0
117;2118;0.0
118;2128;0.0
119;2138;0.0
120;2148;0.0
121;2158;0.0
122;2168;0.0
123;2178;0.0
124;2188;0.0
125;2198;0.0
126;2208;0.0
127;2218;0.0
128;2228;0.0
129;1698;0.0
130;1658;0.0
131;1678;0.0
132;1171;0.0
133;717;0.0
134;1111;0.0
135;708;0.0
136;702;0.0
137;1141;0.0
138;1151;0.0
139;1161;0.0
140;1181;0.0
141;1271;0.0
142;1191;0.0
143;1201;0.0
144;1211;0.0
145;1221;0.0
146;1231;0.0
147;1241;0.0
148;1251;0.0
149;724;0.0
150;731;0.0
151;1071;0.0
152;741;0.0
153;891;0.0
154;901;0.0
155;811;0.0
156;921;0.0
157;931;0.0
158;941;0.0
159;801;0.0
160;961;0.0
161;781;0.0
162;991;0.0
163;1001;0.0
164;1011;0.0
165;1021;0.0
166;1031;0.0
167;1041;0.0
168;1261;0.0
169;1281;0.0
170;1668;0.0
171;545;0.0
172;595;0.0
173;1518;0.0
174;565;0.0
175;1538;0.0
176;1548;0.0
177;555;0.0
178;1568;0.0
179;1588;0.0
180;1291;0.0
181;1598;0.0
182;1608;0.0
183;1618;0.0
184;1628;0.0
185;1638;0.0
186;1648;0.0
187;831;0.0
188;1488;0.0
189;635;0.0
190;645;0.0
191;655;0.0
192;1301;0.0
193;1311;0.0
194;1321;0.0
195;1331;0.0
196;1341;0.0
197;1351;0.0
198;1361;0.0
199;1371;0.0
200;1379;0.0
201;1388;0.0
202;1398;0.0
203;1408;0.0
204;415;0.0
205;1428;0.0
206;665;0.0
207;1418;0.0
