posicao;banda_nm;importancia_gini
1;1460;0.05000000000000001
2;1470;0.04
3;1480;0.04
4;1510;0.03
5;465;0.03
6;1520;0.029999999999999995
7;694;0.029999999999999968
8;2446;0.020000000000000004
9;1987;0.02
10;1997;0.02
11;675;0.02
12;2017;0.02
13;2047;0.02
14;2057;0.02
15;1450;0.02
16;1430;0.02
17;1311;0.02
18;811;0.02
19;2417;0.02
20;685;0.02
21;1420;0.02
22;455;0.02
23;485;0.02
24;1967;0.019999999999999997
25;1131;0.01999999999999999
26;821;0.01999999999999999
27;851;0.019999999999999987
28;791;0.010000000000000014
29;1400;0.010000000000000004
30;2437;0.010000000000000004
31;1141;0.01
32;891;0.01
33;1151;0.01
34;1490;0.01
35;1341;0.01
36;1101;0.01
37;1091;0.01
38;1061;0.01
39;831;0.01
40;1440;0.01
41;1530;0.01
42;505;0.01
43;971;0.01
44;771;0.01
45;761;0.01
46;1540;0.01
47;2007;0.01
48;2027;0.01
49;2037;0.01
50;2067;0.01
51;665;0.01
52;2407;0.01
53;2427;0.01
54;981;0.01
55;1410;0.009999999999999997
56;475;0.009999999999999997
57;445;0.009999999999999992
58;405;0.009999999999999992
59;881;0.009999999999999992
60;941;0.009999999999999978
61;615;0.009458517751200678
62;625;0.0094237012987013
63;801;0.0005762987012987004
64;1351;0.0005414822487993218
65;2247;2.2319311150222946e-17
66;1857;1.2174604758673581e-17
67;1720;1.0481381844323018e-17
68;1670;9.43689570931382e-18
69;1800;8.803721640582289e-18
70;2327;8.522223331071504e-18
71;1620;8.076872504148004e-18
72;1031;5.615261342326343e-18
73;871;5.579827787555744e-18
74;1690;3.431778670760975e-18
75;741;0.0
76;1977;0.0
77;732;0.0
78;706;0.0
79;724;0.0
80;714;0.0
81;1947;0.0
82;701;0.0
83;585;0.0
84;595;0.0
85;1957;0.0
86;1897;0.0
87;1937;0.0
88;1927;0.0
89;1917;0.0
90;1907;0.0
91;605;0.0
92;1887;0.0
93;1877;0.0
94;1867;0.0
95;1847;0.0
96;1837;0.0
97;1828;0.0
98;1820;0.0
99;1810;0.0
100;1790;0.0
101;435;0.0
102;2107;0.0
103;2077;0.0
104;2087;0.0
105;2287;0.0
106;2297;0.0
107;2307;0.0
108;2317;0.0
109;2337;0.0
110;2347;0.0
111;2357;0.0
112;2367;0.0
113;2377;0.0
114;2387;0.0
115;2397;0.0
116;655;0.0
117;425;0.0
118;645;0.0
119;635;0.0
120;2277;0.0
121;2267;0.0
122;2257;0.0
123;2157;0.0
124;2097;0.0
125;1770;0.0
126;2117;0.0
127;2127;0.0
128;2137;0.0
129;2147;0.0
130;2167;0.0
131;2237;0.0
132;2177;0.0
133;2187;0.0
134;2197;0.0
135;2207;0.0
136;2217;0.0
137;2227;0.0
138;1780;0.0
139;961;0.0
140;1760;0.0
141;1251;0.0
142;1191;0.0
143;1201;0.0
144;1211;0.0
145;1221;0.0
146;1231;0.0
147;1241;0.0
148;1261;0.0
149;1750;0.0
150;1271;0.0
151;1281;0.0
152;1291;0.0
153;1301;0.0
154;565;0.0
155;1321;0.0
156;1181;0.0
157;1171;0.0
158;1161;0.0
159;901;0.0
160;911;0.0
161;1121;0.0
162;1111;0.0
163;921;0.0
164;931;0.0
165;1081;0.0
166;1071;0.0
167;1051;0.0
168;1041;0.0
169;1021;0.0
170;1011;0.0
171;1001;0.0
172;991;0.0
173;1331;0.0
174;1361;0.0
175;1371;0.0
176;1560;0.0
177;1740;0.0
178;1730;0.0
179;951;0.0
180;1700;0.0
181;1680;0.0
182;1660;0.0
183;1650;0.0
184;1640;0.0
185;1630;0.0
186;1610;0.0
187;1600;0.0
188;1590;0.0
189;1580;0.0
190;1570;0.0
191;1550;0.0
192;1380;0.0
193;751;0.0
194;495;0.0
195;781;0.0
196;1500;0.0
197;515;0.0
198;525;0.0
199;535;0.0
200;545;0.0
201;575;0.0
202;555;0.0
203;415;0.0
204;841;0.0
205;861;0.0
206;1390;0.0
207;1710;0.0
