seed;fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
42;1;NIRRIG;1;1;0.89
42;1;NIRRIG;1;1;0.84
42;1;NIRRIG;1;1;0.96
42;1;IRRIG;0;0;0.02
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.12
42;1;NIRRIG;1;1;0.96
42;1;NIRRIG;1;1;0.96
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.0
42;1;IRRIG;0;0;0.04
42;1;NIRRIG;1;1;0.91
42;1;NIRRIG;1;1;0.99
42;1;NIRRIG;1;1;1.0
42;1;IRRIG;0;0;0.06
42;1;IRRIG;0;0;0.0
42;2;IRRIG;0;0;0.03
42;2;IRRIG;0;0;0.26
42;2;IRRIG;0;0;0.15
42;2;NIRRIG;1;1;0.92
42;2;NIRRIG;1;1;0.9
42;2;IRRIG;0;0;0.02
42;2;IRRIG;0;0;0.12
42;2;IRRIG;0;0;0.11
42;2;NIRRIG;1;1;0.98
42;2;NIRRIG;1;1;0.95
42;2;IRRIG;0;0;0.01
42;2;IRRIG;0;0;0.02
42;2;NIRRIG;1;1;0.89
42;2;NIRRIG;1;1;0.95
42;2;NIRRIG;1;1;0.95
42;2;NIRRIG;1;1;0.76
42;3;IRRIG;0;0;0.03
42;3;NIRRIG;1;1;0.88
42;3;NIRRIG;1;1;0.99
42;3;IRRIG;0;0;0.0
42;3;IRRIG;0;0;0.02
42;3;NIRRIG;1;1;0.94
42;3;NIRRIG;1;1;0.88
42;3;IRRIG;0;0;0.02
42;3;IRRIG;0;0;0.05
42;3;IRRIG;0;0;0.06
42;3;NIRRIG;1;1;0.82
42;3;NIRRIG;1;1;0.98
42;3;NIRRIG;1;1;0.99
42;3;IRRIG;0;0;0.12
42;3;IRRIG;0;0;0.0
42;3;NIRRIG;1;1;0.97
42;4;IRRIG;0;0;0.06
42;4;IRRIG;0;0;0.07
42;4;IRRIG;0;0;0.14
42;4;IRRIG;0;0;0.15
42;4;NIRRIG;1;1;1.0
42;4;NIRRIG;1;1;0.94
42;4;NIRRIG;1;1;0.94
42;4;NIRRIG;1;1;0.91
42;4;IRRIG;0;0;0.04
42;4;IRRIG;0;0;0.0
42;4;NIRRIG;1;1;0.92
42;4;IRRIG;0;0;0.38
42;4;IRRIG;0;0;0.0
42;4;NIRRIG;1;1;0.97
42;4;NIRRIG;1;1;0.93
42;4;NIRRIG;1;1;0.89
43;1;IRRIG;0;0;0.03
43;1;IRRIG;0;0;0.2
43;1;NIRRIG;1;1;0.82
43;1;IRRIG;0;0;0.0
43;1;NIRRIG;1;1;0.99
43;1;NIRRIG;1;1;0.99
43;1;IRRIG;0;0;0.0
43;1;IRRIG;0;0;0.0
43;1;IRRIG;0;0;0.0
43;1;NIRRIG;1;1;0.85
43;1;NIRRIG;1;1;0.82
43;1;NIRRIG;1;1;1.0
43;1;IRRIG;0;0;0.0
43;1;IRRIG;0;0;0.0
43;1;NIRRIG;1;1;0.97
43;1;NIRRIG;1;1;0.98
43;2;IRRIG;0;0;0.07
43;2;IRRIG;0;0;0.13
43;2;IRRIG;0;0;0.15
43;2;IRRIG;0;0;0.16
43;2;NIRRIG;1;1;0.89
43;2;NIRRIG;1;1;1.0
43;2;IRRIG;0;0;0.01
43;2;NIRRIG;1;1;0.9
43;2;NIRRIG;1;1;0.95
43;2;NIRRIG;1;1;0.99
43;2;IRRIG;0;0;0.01
43;2;IRRIG;0;0;0.02
43;2;IRRIG;0;0;0.03
43;2;NIRRIG;1;1;0.86
43;2;NIRRIG;1;1;0.98
43;2;NIRRIG;1;1;0.97
43;3;IRRIG;0;0;0.08
43;3;NIRRIG;1;1;0.95
43;3;NIRRIG;1;1;0.94
43;3;NIRRIG;1;1;0.92
43;3;IRRIG;0;0;0.18
43;3;IRRIG;0;0;0.12
43;3;NIRRIG;1;1;0.87
43;3;NIRRIG;1;1;0.82
43;3;NIRRIG;1;1;0.94
43;3;IRRIG;0;0;0.02
43;3;IRRIG;0;0;0.16
43;3;IRRIG;0;0;0.08
43;3;IRRIG;0;0;0.04
43;3;IRRIG;0;0;0.01
43;3;NIRRIG;1;1;0.9
43;3;NIRRIG;1;1;1.0
43;4;IRRIG;0;0;0.02
43;4;NIRRIG;1;1;0.93
43;4;NIRRIG;1;1;1.0
43;4;IRRIG;0;0;0.07
43;4;IRRIG;0;0;0.03
43;4;IRRIG;0;0;0.16
43;4;IRRIG;0;0;0.12
43;4;IRRIG;0;0;0.01
43;4;NIRRIG;1;1;0.87
43;4;NIRRIG;1;1;0.99
43;4;NIRRIG;1;1;0.98
43;4;IRRIG;0;0;0.35
43;4;IRRIG;0;0;0.08
43;4;NIRRIG;1;1;0.92
43;4;NIRRIG;1;1;0.91
43;4;NIRRIG;1;1;0.85
44;1;IRRIG;0;0;0.02
44;1;NIRRIG;1;1;0.54
44;1;NIRRIG;1;0;0.5
44;1;NIRRIG;1;0;0.46
44;1;NIRRIG;1;0;0.49
44;1;NIRRIG;1;1;0.81
44;1;NIRRIG;1;1;0.98
44;1;IRRIG;0;0;0.01
44;1;IRRIG;0;0;0.18
44;1;IRRIG;0;0;0.15
44;1;NIRRIG;1;1;0.96
44;1;IRRIG;0;0;0.0
44;1;IRRIG;0;0;0.02
44;1;NIRRIG;1;1;0.91
44;1;IRRIG;0;0;0.09
44;1;IRRIG;0;0;0.0
44;2;IRRIG;0;0;0.01
44;2;IRRIG;0;0;0.09
44;2;NIRRIG;1;1;0.9
44;2;IRRIG;0;0;0.0
44;2;IRRIG;0;0;0.0
44;2;IRRIG;0;0;0.19
44;2;NIRRIG;1;1;0.82
44;2;NIRRIG;1;1;0.78
44;2;NIRRIG;1;1;0.9
44;2;IRRIG;0;0;0.0
44;2;IRRIG;0;0;0.04
44;2;NIRRIG;1;1;0.88
44;2;IRRIG;0;0;0.01
44;2;NIRRIG;1;1;0.94
44;2;NIRRIG;1;1;0.94
44;2;NIRRIG;1;1;0.79
44;3;IRRIG;0;0;0.01
44;3;IRRIG;0;0;0.2
44;3;IRRIG;0;0;0.19
44;3;IRRIG;0;0;0.0
44;3;NIRRIG;1;1;0.97
44;3;NIRRIG;1;1;0.97
44;3;IRRIG;0;0;0.02
44;3;IRRIG;0;0;0.01
44;3;NIRRIG;1;1;0.99
44;3;NIRRIG;1;1;0.96
44;3;NIRRIG;1;1;0.98
44;3;IRRIG;0;0;0.02
44;3;IRRIG;0;0;0.0
44;3;NIRRIG;1;1;0.9
44;3;NIRRIG;1;1;0.88
44;3;NIRRIG;1;1;0.99
44;4;IRRIG;0;0;0.05
44;4;IRRIG;0;0;0.14
44;4;NIRRIG;1;1;1.0
44;4;IRRIG;0;0;0.05
44;4;NIRRIG;1;1;0.96
44;4;NIRRIG;1;1;0.97
44;4;IRRIG;0;0;0.01
44;4;IRRIG;0;0;0.0
44;4;NIRRIG;1;1;0.85
44;4;NIRRIG;1;1;0.86
44;4;NIRRIG;1;1;1.0
44;4;IRRIG;0;0;0.44
44;4;IRRIG;0;0;0.23
44;4;IRRIG;0;0;0.25
44;4;NIRRIG;1;1;1.0
44;4;NIRRIG;1;1;0.99
45;1;IRRIG;0;0;0.06
45;1;IRRIG;0;0;0.09
45;1;NIRRIG;1;1;0.85
45;1;NIRRIG;1;1;0.71
45;1;NIRRIG;1;1;0.74
45;1;NIRRIG;1;1;0.96
45;1;IRRIG;0;0;0.0
45;1;NIRRIG;1;1;0.83
45;1;NIRRIG;1;1;0.85
45;1;NIRRIG;1;1;0.87
45;1;IRRIG;0;0;0.02
45;1;IRRIG;0;0;0.03
45;1;NIRRIG;1;1;0.86
45;1;IRRIG;0;0;0.37
45;1;IRRIG;0;0;0.12
45;1;IRRIG;0;0;0.0
45;2;IRRIG;0;0;0.23
45;2;IRRIG;0;0;0.17
45;2;NIRRIG;1;1;0.96
45;2;IRRIG;0;0;0.01
45;2;IRRIG;0;0;0.0
45;2;IRRIG;0;0;0.0
45;2;IRRIG;0;0;0.0
45;2;IRRIG;0;0;0.02
45;2;NIRRIG;1;1;0.84
