posicao;banda_nm;importancia_gini
1;715;0.09699666563383103
2;725;0.07891943338710522
3;1365;0.07239548570034532
4;705;0.0494436426997975
5;1355;0.047352223220000884
6;1944;0.04623242886904753
7;1345;0.03137804691585922
8;1725;0.02759523658574892
9;1575;0.027036309926632508
10;1924;0.026273658034807565
11;1954;0.025845113617809116
12;1375;0.023067302451384705
13;1755;0.02266273458004754
14;1385;0.01984442314524184
15;735;0.016038352951094417
16;555;0.015341115142894246
17;1485;0.015132232037902435
18;1964;0.014715972845735724
19;1315;0.014708488783169089
20;1655;0.01470389388470327
21;1785;0.013815492779965381
22;1415;0.013538255205031375
23;405;0.011619092169092168
24;1555;0.011360732776025128
25;1645;0.011315076321527935
26;1904;0.009455909943714822
27;1635;0.008417487779425496
28;435;0.008179711100126325
29;1855;0.008147981117651448
30;1745;0.007704347826086957
31;2254;0.0071729664920805215
32;1795;0.006963417733518348
33;1815;0.006898415657036348
34;1615;0.006848131177959509
35;1595;0.006596213991769546
36;1715;0.0064444444444444445
37;1505;0.0060710499576896336
38;425;0.005952231432130818
39;1395;0.005935064360596276
40;1495;0.005890424987199181
41;1675;0.005786008230452675
42;1695;0.005609756097560976
43;1325;0.0055044930801120915
44;485;0.005495690382851966
45;1425;0.0054797959905064884
46;505;0.005298484039445356
47;1735;0.005238095238095239
48;1605;0.004949047124382263
49;575;0.004884365127772836
50;475;0.004860905065838652
51;1825;0.004833986928104575
52;1865;0.00457323075518494
53;2014;0.004572003160238455
54;1765;0.004084033613445378
55;2434;0.003978243978243979
56;2204;0.0038974358974358985
57;1545;0.003817858096349349
58;1585;0.0037777777777777775
59;1625;0.003729959909925955
60;445;0.0036040516327202248
61;1335;0.003104714226115978
62;765;0.0030952380952380953
63;605;0.0028756957328385895
64;635;0.002783647893325313
65;455;0.00267595818815331
66;1665;0.0024858476351590475
67;595;0.0020924149956408023
68;1445;0.001993846153846155
69;1535;0.0019358741681790679
70;2124;0.0018500000000000005
71;465;0.0018285714285714292
72;535;0.001748315425241305
73;955;0.0016602752086623057
74;1255;0.0016470588235294118
75;1685;0.0014621168305378831
76;1974;0.0013499973632864002
77;2054;0.0012904577544433971
78;825;0.001214574898785425
79;1515;0.001203007518796993
80;1984;0.0012012012012012011
81;495;0.0011934731934731934
82;2144;0.0011712418300653597
83;805;0.00108843537414966
84;2004;0.0010227272727272728
85;1565;0.0009716599190283401
86;835;0.0008465608465608465
87;1115;0.0007687687687687688
88;2084;0.0006095238095238094
89;975;0.0006072106261859581
90;1185;0.0006060606060606056
91;1994;0.0006031270079246094
92;2034;0.0006005865102639295
93;625;0.0005995438253502773
94;655;0.0005958199506586606
95;2134;0.00047290640394088664
96;2064;0.00046875
97;2244;0.00015374331550802159
98;1085;0.00013661740558292254
99;1805;0.0
100;2214;0.0
101;2334;0.0
102;2324;0.0
103;2184;0.0
104;2194;0.0
105;2234;0.0
106;2224;0.0
107;2284;0.0
108;2364;0.0
109;2264;0.0
110;2174;0.0
111;2314;0.0
112;2304;0.0
113;2294;0.0
114;2274;0.0
115;2114;0.0
116;2164;0.0
117;2044;0.0
118;2384;0.0
119;1934;0.0
120;2354;0.0
121;1914;0.0
122;2394;0.0
123;1895;0.0
124;1885;0.0
125;1875;0.0
126;2024;0.0
127;2404;0.0
128;2154;0.0
129;2374;0.0
130;2414;0.0
131;2424;0.0
132;2074;0.0
133;2094;0.0
134;2104;0.0
135;1845;0.0
136;1835;0.0
137;2444;0.0
138;2344;0.0
139;1435;0.0
140;1775;0.0
141;795;0.0
142;985;0.0
143;965;0.0
144;945;0.0
145;935;0.0
146;925;0.0
147;915;0.0
148;905;0.0
149;895;0.0
150;885;0.0
151;875;0.0
152;865;0.0
153;855;0.0
154;845;0.0
155;815;0.0
156;785;0.0
157;1005;0.0
158;775;0.0
159;755;0.0
160;745;0.0
161;695;0.0
162;685;0.0
163;675;0.0
164;665;0.0
165;645;0.0
166;615;0.0
167;585;0.0
168;565;0.0
169;545;0.0
170;525;0.0
171;515;0.0
172;995;0.0
173;1015;0.0
174;1705;0.0
175;1215;0.0
176;1525;0.0
177;1475;0.0
178;1465;0.0
179;1455;0.0
180;415;0.0
181;1405;0.0
182;1305;0.0
183;1295;0.0
184;1285;0.0
185;1275;0.0
186;1265;0.0
187;1245;0.0
188;1235;0.0
189;1225;0.0
190;1205;0.0
191;1025;0.0
192;1195;0.0
193;1175;0.0
194;1165;0.0
195;1155;0.0
196;1145;0.0
197;1135;0.0
198;1125;0.0
199;1105;0.0
200;1095;0.0
201;1075;0.0
202;1065;0.0
203;1055;0.0
204;1045;0.0
205;1035;0.0
206;2450;0.0
