genotipo;dia;n_dobras;accuracy;accuracy_dp;accuracy_variancia;accuracy_ic95_inf;accuracy_ic95_sup;f1;f1_dp;f1_variancia;f1_ic95_inf;f1_ic95_sup;kappa;kappa_dp;kappa_variancia;kappa_ic95_inf;kappa_ic95_sup;auc_roc;auc_roc_dp;auc_roc_variancia;auc_roc_ic95_inf;auc_roc_ic95_sup
BR16;D02;20;0.971875;0.06562891592326632;0.004307154605263159;0.9411597218701904;1.0;0.9692810457516341;0.0796008442648943;0.006336294407683956;0.9320267038724759;1.0;0.94375;0.13125783184653264;0.017228618421052635;0.8823194437403807;1.0;0.999609375;0.0017469281074217107;3.0517578125e-06;0.9987917874787468;1.0
BR16;D03;20;0.9375;0.06725344835612129;0.004523026315789474;0.9060244172879178;0.9689755827120822;0.9342857142857144;0.06583077829773364;0.004333691371285357;0.9034759616565399;0.9650954669148889;0.875;0.13450689671224259;0.018092105263157895;0.8120488345758358;0.9379511654241642;0.99453125;0.019650131620357367;0.0003861276726973685;0.9853347053136253;1.0
BR16;D04;20;0.98125;0.06117006061619911;0.0037417763157894736;0.9526215303900396;1.0;0.976190476190476;0.07953198823369641;0.006325337152404824;0.9389683599258875;1.0;0.9625;0.12234012123239822;0.014967105263157894;0.9052430607800794;1.0;1.0;0.0;0.0;1.0;1.0
BR16;D05;20;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
BR16;D06;20;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
BR16;D09;20;0.959375;0.10194449921919589;0.010392680921052633;0.9116635057101531;1.0;0.9593522408963586;0.09771802041470956;0.009548811513769594;0.9136187995754397;1.0;0.91875;0.20388899843839178;0.04157072368421053;0.8233270114203062;1.0;0.988671875;0.042374024184347395;0.0017955579255756577;0.9688402212237397;1.0
BR16;D10;20;0.9625;0.07694837640638655;0.005921052631578947;0.9264870512911892;0.9985129487088108;0.9537254901960784;0.10161567378482816;0.010325745158744614;0.9061678909467129;1.0;0.925;0.1538967528127731;0.023684210526315787;0.8529741025823785;0.9970258974176216;0.9921875;0.02224198739522783;0.0004947060032894736;0.9817779294716233;1.0
CD202;D02;20;0.96875;0.05169813699178195;0.0026726973684210527;0.944554527102776;0.992945472897224;0.9647619047619047;0.05879808215182926;0.003457214464733263;0.9372435552449873;0.9922802542788222;0.9375;0.1033962739835639;0.01069078947368421;0.889109054205552;0.985890945794448;1.0;0.0;0.0;1.0;1.0
CD202;D03;20;0.98125;0.061170060616199104;0.0037417763157894727;0.9526215303900396;1.0;0.9761904761904763;0.07953198823369641;0.0063253371524048235;0.9389683599258877;1.0;0.9625;0.12234012123239822;0.014967105263157894;0.9052430607800794;1.0;1.0;0.0;0.0;1.0;1.0
CD202;D04;20;0.96875;0.06570718537973086;0.004317434210526316;0.9379980906369824;0.9995019093630176;0.9730065359477124;0.05479090935872388;0.0030020437483558966;0.9473636010269821;0.9986494708684426;0.9375;0.13141437075946172;0.017269736842105265;0.8759961812739646;0.9990038187260354;0.98359375;0.07337098051171186;0.005383300781250001;0.9492550741073644;1.0
CD202;D05;20;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0
