posicao;banda_nm;importancia_gini
1;1515;0.04
2;2435;0.04
3;765;0.04
4;2450;0.03
5;955;0.03
6;1525;0.03
7;1555;0.02
8;1535;0.02
9;605;0.02
10;2095;0.02
11;1475;0.02
12;1065;0.02
13;2405;0.02
14;905;0.02
15;785;0.02
16;2415;0.02
17;635;0.02
18;405;0.02
19;485;0.02
20;465;0.02
21;515;0.02
22;545;0.02
23;505;0.02
24;525;0.02
25;575;0.02
26;565;0.02
27;425;0.02
28;2375;0.01
29;1445;0.01
30;975;0.01
31;1005;0.01
32;1025;0.01
33;1045;0.01
34;1055;0.01
35;1075;0.01
36;1105;0.01
37;1125;0.01
38;1315;0.01
39;1325;0.01
40;415;0.01
41;1465;0.01
42;2085;0.01
43;2445;0.01
44;945;0.01
45;595;0.01
46;1545;0.01
47;1565;0.01
48;1575;0.01
49;1585;0.01
50;1595;0.01
51;1795;0.01
52;2045;0.01
53;2075;0.01
54;495;0.01
55;585;0.01
56;1435;0.01
57;535;0.01
58;855;0.01
59;795;0.01
60;895;0.01
61;815;0.01
62;645;0.01
63;825;0.01
64;745;0.01
65;2035;0.0
66;675;0.0
67;2025;0.0
68;1935;0.0
69;2015;0.0
70;2055;0.0
71;2005;0.0
72;2065;0.0
73;1995;0.0
74;1985;0.0
75;1975;0.0
76;1965;0.0
77;1955;0.0
78;1945;0.0
79;1915;0.0
80;1925;0.0
81;655;0.0
82;1765;0.0
83;1775;0.0
84;1785;0.0
85;685;0.0
86;1805;0.0
87;1815;0.0
88;1825;0.0
89;1835;0.0
90;1845;0.0
91;1855;0.0
92;1865;0.0
93;1875;0.0
94;1885;0.0
95;1895;0.0
96;1905;0.0
97;665;0.0
98;2115;0.0
99;455;0.0
100;2105;0.0
101;2295;0.0
102;2305;0.0
103;2315;0.0
104;2325;0.0
105;2335;0.0
106;2345;0.0
107;2355;0.0
108;2365;0.0
109;2385;0.0
110;2395;0.0
111;445;0.0
112;435;0.0
113;2425;0.0
114;625;0.0
115;615;0.0
116;2285;0.0
117;2275;0.0
118;2265;0.0
119;2175;0.0
120;1745;0.0
121;2125;0.0
122;2135;0.0
123;2145;0.0
124;2155;0.0
125;2165;0.0
126;2185;0.0
127;2255;0.0
128;2195;0.0
129;2205;0.0
130;2215;0.0
131;2225;0.0
132;2235;0.0
133;2245;0.0
134;1755;0.0
135;935;0.0
136;1735;0.0
137;1245;0.0
138;1185;0.0
139;1195;0.0
140;1205;0.0
141;1215;0.0
142;1225;0.0
143;1235;0.0
144;1255;0.0
145;1165;0.0
146;1265;0.0
147;1275;0.0
148;1285;0.0
149;1295;0.0
150;1305;0.0
151;835;0.0
152;1175;0.0
153;1155;0.0
154;1345;0.0
155;885;0.0
156;925;0.0
157;985;0.0
158;995;0.0
159;915;0.0
160;1015;0.0
161;1035;0.0
162;875;0.0
163;1145;0.0
164;865;0.0
165;1085;0.0
166;1095;0.0
167;1115;0.0
168;845;0.0
169;1135;0.0
170;1335;0.0
171;1355;0.0
172;1725;0.0
173;1645;0.0
174;705;0.0
175;695;0.0
176;1605;0.0
177;1615;0.0
178;1625;0.0
179;1635;0.0
180;1655;0.0
181;725;0.0
182;1665;0.0
183;1675;0.0
184;1685;0.0
185;1695;0.0
186;965;0.0
187;1715;0.0
188;715;0.0
189;735;0.0
190;1365;0.0
191;805;0.0
192;1375;0.0
193;1385;0.0
194;1395;0.0
195;1405;0.0
196;1415;0.0
197;1425;0.0
198;1455;0.0
199;475;0.0
200;775;0.0
201;1485;0.0
202;1495;0.0
203;1505;0.0
204;555;0.0
205;755;0.0
206;1705;0.0
