posicao;banda_nm;importancia_gini
1;1965;0.06208713642995207
2;1345;0.058386887262564954
3;1335;0.057839652464514196
4;1955;0.05324114515653409
5;1945;0.04899311657932939
6;405;0.04430501584101533
7;1925;0.0388556761148614
8;415;0.035645586573808806
9;1975;0.0309821960609536
10;1315;0.026296686974383362
11;1575;0.024652920050934512
12;1985;0.023561383941553535
13;1905;0.021875468952195783
14;1585;0.021527776539126582
15;465;0.01923377234778056
16;445;0.019128966419019035
17;1365;0.017558531803993846
18;1565;0.017087653467627795
19;1555;0.017058738187430887
20;765;0.015799425704895346
21;1595;0.01579640440785038
22;745;0.012902952515817483
23;2450;0.012842105263157894
24;1535;0.011949705141194502
25;755;0.011677864619041089
26;1915;0.010667829006547844
27;1615;0.010461064293300968
28;1375;0.010312655423721792
29;2005;0.00863972336525173
30;1605;0.008375044214629127
31;1995;0.008346537038460704
32;435;0.008288770053475936
33;495;0.00813953488372093
34;1395;0.00804323037490679
35;2015;0.007081152641101453
36;1355;0.00694626133886516
37;1325;0.006842105263157894
38;1235;0.0067346938775510205
39;485;0.006684343918386471
40;505;0.006643356643356644
41;455;0.006586666666666666
42;2105;0.006052368683947631
43;1895;0.0059577342415425725
44;425;0.005894145950280673
45;1545;0.00582995951417004
46;1385;0.005519446429172902
47;725;0.005476378593084541
48;735;0.005147775239636192
49;2025;0.00492063492063492
50;1185;0.004650455927051672
51;2095;0.004368000000000002
52;775;0.004213991769547325
53;2205;0.00415464047917616
54;1935;0.003978037046639588
55;1685;0.003773242630385488
56;2315;0.0037730933469473367
57;635;0.0035853698273053108
58;1815;0.0034791719765270173
59;1515;0.0031009603423396525
60;2165;0.0030073094326487997
61;1475;0.0028719359988709833
62;1625;0.0028243973668301346
63;2425;0.002821175345313276
64;535;0.0026943284840818048
65;1635;0.0024353677240392595
66;1655;0.0023927587563951206
67;1225;0.0019668906257141548
68;825;0.001953601953601953
69;1785;0.0017316017316017318
70;1085;0.001719659650694134
71;1665;0.0016632430750077812
72;2375;0.0015971479500891267
73;2445;0.0015372921972203815
74;1865;0.0015216321346352302
75;565;0.0015133004926108373
76;2345;0.0015014662756598239
77;2115;0.001476923076923077
78;1415;0.0014416840343564486
79;845;0.0014012041598248498
80;885;0.0013689839572192514
81;715;0.0012800819252432158
82;1755;0.0012549019607843138
83;1745;0.0011980295566502456
84;1645;0.001186397947531549
85;2145;0.0011851851851851854
86;865;0.001160714285714286
87;2135;0.0010809289232934552
88;1285;0.0010809289232934552
89;1035;0.0010724759111855888
90;1025;0.0010724759111855884
91;615;0.0009458128078817733
92;985;0.0009411764705882353
93;2245;0.0009003630777824325
94;2215;0.000750733137829912
95;475;0.0007356321839080459
96;1735;0.0006779109937004688
97;2235;0.0006274509803921569
98;2435;0.0006269364577116994
99;705;0.0006152132467921939
100;1295;0.0006125263898662913
101;2305;0.0006069227121858705
102;2295;0.0005833333333333334
103;905;0.0005659309564233169
104;2055;0.0005474095796676442
105;2415;0.0005213424568263278
106;1075;0.0005097816532744233
107;805;0.0005079365079365078
108;2155;0.00046875
109;1725;0.0004392156862745102
110;1495;0.0004246571284694449
111;2405;0.0004183006535947712
112;545;0.0003516483516483521
113;1695;0.00033028383767300063
114;945;0.0003282051282051282
115;2085;0.00031746031746031746
116;1255;0.00031527093596059113
117;1765;0.00018518518518518558
118;1775;9.135264195992888e-05
119;1705;8.408749303650405e-05
120;625;0.0
121;815;0.0
122;785;0.0
123;795;0.0
124;975;0.0
125;695;0.0
126;2255;0.0
127;2395;0.0
128;2385;0.0
129;2365;0.0
130;2355;0.0
131;2335;0.0
132;2325;0.0
133;655;0.0
134;2285;0.0
135;2275;0.0
136;2265;0.0
137;2225;0.0
138;2035;0.0
139;665;0.0
140;2195;0.0
141;2185;0.0
142;2175;0.0
143;2125;0.0
144;675;0.0
145;685;0.0
146;2075;0.0
147;2065;0.0
148;2045;0.0
149;835;0.0
150;1715;0.0
151;855;0.0
152;1885;0.0
153;605;0.0
154;1305;0.0
155;1275;0.0
156;1265;0.0
157;1245;0.0
158;955;0.0
159;1215;0.0
160;1205;0.0
161;1195;0.0
162;965;0.0
163;1175;0.0
164;1165;0.0
165;1155;0.0
166;1145;0.0
167;1135;0.0
168;1125;0.0
169;1115;0.0
170;1105;0.0
171;1095;0.0
172;1065;0.0
173;1055;0.0
174;1045;0.0
175;1015;0.0
176;1005;0.0
177;995;0.0
178;595;0.0
179;585;0.0
180;935;0.0
181;555;0.0
182;1875;0.0
183;1855;0.0
184;1845;0.0
185;1835;0.0
186;1825;0.0
187;1805;0.0
188;1795;0.0
189;1675;0.0
190;875;0.0
191;515;0.0
192;525;0.0
193;645;0.0
194;575;0.0
195;895;0.0
196;1525;0.0
197;1505;0.0
198;1485;0.0
199;1465;0.0
200;1455;0.0
201;1445;0.0
202;1425;0.0
203;1405;0.0
204;915;0.0
205;925;0.0
206;1435;0.0
