posicao;banda_nm;importancia_gini
1;1965;0.07132059801355829
2;1955;0.07034757436718814
3;415;0.0587255255022096
4;405;0.053238712129313324
5;1945;0.052868979014102854
6;1905;0.0382159087243053
7;1975;0.037686692561167905
8;425;0.0364553915905611
9;445;0.03277270552896211
10;2015;0.03095848265697752
11;1995;0.025354790076714696
12;1985;0.02353862947786724
13;755;0.01973990472482734
14;1915;0.01899469941822883
15;465;0.018909518293904054
16;2005;0.018105453312535782
17;435;0.017980730753839994
18;715;0.017698567000515763
19;2025;0.016639812282690333
20;485;0.014868221209684625
21;2450;0.013832448913094075
22;2415;0.0137247295142032
23;495;0.013604126370083817
24;635;0.013263135332100849
25;705;0.011814513048714328
26;1455;0.01158121576726228
27;1365;0.010324841811879284
28;1445;0.010101166255862824
29;2445;0.009164679499538302
30;1925;0.00910089005504965
31;2035;0.008634222637461502
32;655;0.007736516357206013
33;1505;0.007488165044903045
34;1355;0.007172337817499108
35;1475;0.006818880833568716
36;645;0.006770395290159798
37;1495;0.006264930977755524
38;1465;0.006049382716049383
39;2385;0.006037151702786376
40;2075;0.006000000000000001
41;1605;0.00575335369338559
42;725;0.0056561774078893725
43;1385;0.0054849339052178816
44;665;0.005198799699924982
45;1655;0.0048288587587776415
46;1685;0.004290509597874436
47;1835;0.0042410122669757555
48;1755;0.00406187156339522
49;1785;0.004025299210593328
50;1415;0.003987839296231611
51;1095;0.003929608852685776
52;1745;0.0038939797410192144
53;1615;0.0038369687312957614
54;1795;0.0033852703771402952
55;1815;0.002929860263193596
56;1635;0.002716468590831919
57;1765;0.0027164685908319186
58;2055;0.0026790959298699235
59;1595;0.00235827664399093
60;1735;0.0023443223443223443
61;1375;0.002324013241660301
62;985;0.0022588235294117645
63;1775;0.002230936819172113
64;845;0.0022222222222222222
65;795;0.0022134902134902136
66;1265;0.002198247040751784
67;2245;0.0021710543295909153
68;1245;0.002010892333472978
69;785;0.001995224748261185
70;2395;0.0018509592210546612
71;2345;0.0018351254480286738
72;1105;0.0017422867513611623
73;1575;0.00172972972972973
74;1005;0.00172972972972973
75;995;0.0017142857142857142
76;1405;0.0017112299465240643
77;1035;0.0017058823529411764
78;1825;0.001570951343500364
79;555;0.0014987080103359177
80;775;0.0014838168217478564
81;565;0.0014012041598248496
82;1625;0.0012698412698412703
83;2355;0.00125
84;1585;0.0012155745489078823
85;2375;0.0011904761904761904
86;2105;0.0011104684788895314
87;975;0.0010724759111855886
88;765;0.0009705494505494509
89;2255;0.0009587363634550568
90;1345;0.0009523809523809524
91;1085;0.0009458128078817735
92;1855;0.0009377289377289378
93;2155;0.0009152009152009152
94;1255;0.0009070294784580498
95;2405;0.0007876923076923077
96;1515;0.0006891793754538849
97;1715;0.000650406504065041
98;1485;0.0006479541963412931
99;1695;0.0006194347657762293
100;815;0.0006104651162790693
101;1725;0.0006095238095238095
102;1425;0.0005362379555927944
103;1155;0.0005228758169934641
104;2235;0.0004444444444444444
105;1525;0.0004322440087145972
106;675;0.00031372549019607844
107;2215;0.0003128054740957967
108;1565;0.0003125
109;745;0.0003110515500759401
110;1705;0.0002959780403389432
111;1225;0.0002591093117408903
112;925;6.702974444909911e-05
113;1865;5.865102639296188e-05
114;1935;0.0
115;545;0.0
116;535;0.0
117;615;0.0
118;525;0.0
119;515;0.0
120;2435;0.0
121;2425;0.0
122;2365;0.0
123;2335;0.0
124;2325;0.0
125;2315;0.0
126;2305;0.0
127;2295;0.0
128;2285;0.0
129;2275;0.0
130;2265;0.0
131;2225;0.0
132;2205;0.0
133;2195;0.0
134;2185;0.0
135;2175;0.0
136;2165;0.0
137;2145;0.0
138;2135;0.0
139;2125;0.0
140;2115;0.0
141;2095;0.0
142;1895;0.0
143;2085;0.0
144;2065;0.0
145;2045;0.0
146;455;0.0
147;475;0.0
148;505;0.0
149;575;0.0
150;1535;0.0
151;1885;0.0
152;1875;0.0
153;1075;0.0
154;1065;0.0
155;1055;0.0
156;1045;0.0
157;1025;0.0
158;1015;0.0
159;965;0.0
160;955;0.0
161;945;0.0
162;935;0.0
163;915;0.0
164;905;0.0
165;895;0.0
166;885;0.0
167;875;0.0
168;865;0.0
169;855;0.0
170;835;0.0
171;825;0.0
172;805;0.0
173;595;0.0
174;735;0.0
175;605;0.0
176;695;0.0
177;685;0.0
178;1115;0.0
179;1125;0.0
180;1135;0.0
181;1325;0.0
182;1845;0.0
183;1805;0.0
184;1675;0.0
185;1665;0.0
186;1645;0.0
187;1555;0.0
188;1545;0.0
189;625;0.0
190;585;0.0
191;1395;0.0
192;1335;0.0
193;1315;0.0
194;1145;0.0
195;1305;0.0
196;1295;0.0
197;1285;0.0
198;1275;0.0
199;1235;0.0
200;1215;0.0
201;1205;0.0
202;1195;0.0
203;1185;0.0
204;1175;0.0
205;1165;0.0
206;1435;0.0
