genotipo;dia;amostras;bandas_originais;representantes_spearman;criterio_spearman;p_limiar;janela_nm;validacao;k;seeds;n_dobras;n_arvores;criterio_ranking_top5
BR16;D02;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
BR16;D03;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
BR16;D04;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
BR16;D05;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
BR16;D06;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
BR16;D09;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
BR16;D10;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
CD202;D02;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
CD202;D03;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
CD202;D04;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
CD202;D05;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
CD202;D06;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
CD202;D09;68;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
CD202;D10;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
EMB48;D02;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
EMB48;D03;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
EMB48;D04;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
EMB48;D05;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
EMB48;D06;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
EMB48;D09;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
EMB48;D10;64;2051;206;p < 0,0001;0.0001;10;StratifiedKFold;4;42, 43, 44, 45, 46;20;100;importancia_gini
