posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini
1;415;0.0;0.0;0.0567395631790157
2;2008;0.0;0.0;0.051279309753856
3;1968;0.0;0.0;0.049049159564475
4;1958;0.00625;0.0108253175473054;0.0449415028479492
5;405;0.0;0.0;0.0395629532817625
6;2028;0.0;0.0;0.0390979673719339
7;1518;0.0;0.0;0.0375215910830237
8;1948;0.0;0.0;0.0358063070863823
9;2068;0.0;0.0;0.0303594985378666
10;2058;0.0;0.0;0.0258839891507172
11;1351;0.0;0.0;0.025367219145563
12;1548;0.0;0.0;0.0237812424247804
13;1998;0.0;0.0;0.0236010704124654
14;761;0.0;0.0;0.0234162932343431
15;2088;0.0;0.0;0.0231836463644681
16;1528;0.0;0.0;0.0230255419152662
17;1341;0.0;0.0;0.0221382648604096
18;2048;0.0;0.0;0.019961511493141
19;425;0.0;0.0;0.0172774764685304
20;1361;0.0;0.0;0.0170705898783789
21;1508;0.0;0.0;0.0166439980595731
22;2078;0.0;0.0;0.0163495832226482
23;2038;0.0;0.0;0.016063492063492
24;1938;0.0;0.0;0.0156003988015915
25;485;0.0;0.0;0.0155944574202413
26;1988;0.0;0.0;0.015077259077259
27;1928;0.0;0.0;0.01153892441229
28;1448;0.0;0.0;0.0104086680828762
29;1468;0.0;0.0;0.0099716471954635
30;1538;0.0;0.0;0.0097533244094789
31;791;0.0;0.0;0.0088202764976958
32;1488;0.0;0.0;0.0087395779426139
33;2018;0.0;0.0;0.0085804349698873
34;1978;0.0;0.0;0.0083973051292512
35;445;0.0;0.0;0.0083392825498088
36;2128;0.0;0.0;0.0076921203433092
37;435;0.0;0.0;0.0076556776556776
38;751;0.0;0.0;0.0075469886070098
39;465;0.0;0.0;0.0068960863697705
40;1868;0.0;0.0;0.0067233173486173
41;1181;0.0;0.0;0.0066037970743853
42;475;0.0;0.0;0.006603318250377
43;1211;0.0;0.0;0.0065745735154941
44;1858;0.0;0.0;0.006092890598776
45;711;0.0;0.0;0.0060894509455685
46;1568;0.0;0.0;0.0060017962140245
47;1388;0.0;0.0;0.0053636973064694
48;1370;0.0;0.0;0.0044174053269661
49;1838;0.0;0.0;0.0043419784573553
50;1608;0.0;0.0;0.0040020278616769
51;1251;0.0;0.0;0.0032409205584078
52;831;0.0;0.0;0.0031372549019607
53;1331;0.0;0.0;0.0031343694885361
54;565;0.0;0.0;0.002808777429467
55;703;0.0;0.0;0.0027916061197485
56;1918;0.0;0.0;0.002709863347035
57;2208;0.0;0.0;0.0026936026936026
58;841;0.0;0.0;0.0026720184881104
59;721;0.0;0.0;0.0026299789469634
60;1778;0.0;0.0;0.0023540229885057
61;871;0.0;0.0;0.0022222222222222
62;2228;0.0;0.0;0.0022222222222222
63;2248;0.0;0.0;0.0021990548277047
64;2308;0.0;0.0;0.0021288798920377
65;1808;0.0;0.0;0.002115516292471
66;2198;0.0;0.0;0.002077922077922
67;891;0.0;0.0;0.002051282051282
68;1161;0.0;0.0;0.0018657426657426
69;1498;0.0;0.0;0.0018351254480286
70;1121;0.0;0.0;0.0017938336966677
71;2268;0.0;0.0;0.0017392454743897
72;2388;0.0;0.0;0.0017273954116059
73;1241;0.0;0.0;0.0016709788105306
74;1738;0.0;0.0;0.0016134453781512
75;1558;0.0;0.0;0.0015196078431372
76;1379;0.0;0.0;0.0015147995952949
77;515;0.0;0.0;0.0015
78;1281;0.0;0.0;0.0014640314313635
79;1848;0.0;0.0;0.0014358258928571
80;1908;0.0;0.0;0.0013943355119825
81;1398;0.0;0.0;0.0013784615384615
82;1031;0.0;0.0;0.0013702652751888
83;1598;0.0;0.0;0.0013398599137139
84;2358;0.0;0.0;0.0012512218963831
85;2318;0.0;0.0;0.0011822660098522
86;2118;0.0;0.0;0.0011753902662993
87;1141;0.0;0.0;0.0011730205278592
88;2418;0.0;0.0;0.0011404811404811
89;605;0.0;0.0;0.001098241098241
90;1628;0.0;0.0;0.001098241098241
91;1578;0.0;0.0;0.0010714285714285
92;2328;0.0;0.0;0.0010557322964533
93;2288;0.0;0.0;0.0010521858263793
94;1418;0.0;0.0;0.0010211121223357
95;2158;0.0;0.0;0.0009377289377289
96;2298;0.0;0.0;0.0009152009152009
97;1888;0.0;0.0;0.0009012173781917
98;1708;0.0;0.0;0.0008888888888888
99;575;0.0;0.0;0.0008366013071895
100;1231;0.0;0.0;0.0008201973599897
101;1321;0.0;0.0;0.0008112497524262
102;1221;0.0;0.0;0.0007750189213603
103;1458;0.0;0.0;0.0007566502463054
104;881;0.0;0.0;0.0007529411764705
105;2408;0.0;0.0;0.0007507331378299
106;1291;0.0;0.0;0.000681220810253
107;1111;0.0;0.0;0.0006349206349206
108;665;0.0;0.0;0.0006199748135232
109;495;0.0;0.0;0.0005362379555927
110;931;0.0;0.0;0.0005338672005338
111;2398;0.0;0.0;0.0005251282051282
112;1768;0.0;0.0;0.0004923076923076
113;731;0.0;0.0;0.0004741044167567
114;1021;0.0;0.0;0.0004692082111436
115;585;0.0;0.0;0.0004692082111436
116;2348;0.0;0.0;0.0004376068376068
117;1151;0.0;0.0;0.0004183006535947
118;1658;0.0;0.0;0.0004183006535947
119;951;0.0;0.0;0.000417073965461
120;1898;0.0;0.0;0.000417073965461
121;1408;0.0;0.0;0.0003152709359605
122;771;0.0;0.0;0.0002413495746829
123;455;0.0;0.0;0.0002413070800167
124;1588;0.0;0.0;0.000188124632569
125;2098;0.0;0.0;0.0001027424749163
126;1261;0.0;0.0;0.0
127;1648;0.0;0.0;0.0
128;1748;0.0;0.0;0.0
129;1728;0.0;0.0;0.0
130;1718;0.0;0.0;0.0
131;1698;0.0;0.0;0.0
132;1688;0.0;0.0;0.0
133;1678;0.0;0.0;0.0
134;1668;0.0;0.0;0.0
135;1638;0.0;0.0;0.0
136;1271;0.0;0.0;0.0
137;1788;0.0;0.0;0.0
138;1618;0.0;0.0;0.0
139;1478;0.0;0.0;0.0
140;1438;0.0;0.0;0.0
141;1428;0.0;0.0;0.0
142;1311;0.0;0.0;0.0
143;1301;0.0;0.0;0.0
144;1758;0.0;0.0;0.0
145;2188;0.0;0.0;0.0
146;1798;0.0;0.0;0.0
147;1818;0.0;0.0;0.0
148;2438;0.0;0.0;0.0
149;2428;0.0;0.0;0.0
150;2378;0.0;0.0;0.0
151;2368;0.0;0.0;0.0
152;2338;0.0;0.0;0.0
153;2278;0.0;0.0;0.0
154;2258;0.0;0.0;0.0
155;2238;0.0;0.0;0.0
156;2218;0.0;0.0;0.0
157;1191;0.0;0.0;0.0
158;2178;0.0;0.0;0.0
159;2168;0.0;0.0;0.0
160;2148;0.0;0.0;0.0
161;2138;0.0;0.0;0.0
162;2108;0.0;0.0;0.0
163;1878;0.0;0.0;0.0
164;1828;0.0;0.0;0.0
165;1201;0.0;0.0;0.0
166;1011;0.0;0.0;0.0
167;1171;0.0;0.0;0.0
168;1131;0.0;0.0;0.0
169;801;0.0;0.0;0.0
170;781;0.0;0.0;0.0
171;741;0.0;0.0;0.0
172;695;0.0;0.0;0.0
173;685;0.0;0.0;0.0
174;675;0.0;0.0;0.0
175;655;0.0;0.0;0.0
176;645;0.0;0.0;0.0
177;635;0.0;0.0;0.0
178;625;0.0;0.0;0.0
179;615;0.0;0.0;0.0
180;595;0.0;0.0;0.0
181;555;0.0;0.0;0.0
182;545;0.0;0.0;0.0
183;535;0.0;0.0;0.0
184;525;0.0;0.0;0.0
185;505;0.0;0.0;0.0
186;811;0.0;0.0;0.0
187;821;0.0;0.0;0.0
188;851;0.0;0.0;0.0
189;1001;0.0;0.0;0.0
190;1101;0.0;0.0;0.0
191;1091;0.0;0.0;0.0
192;1081;0.0;0.0;0.0
193;1071;0.0;0.0;0.0
194;1061;0.0;0.0;0.0
195;1051;0.0;0.0;0.0
196;1041;0.0;0.0;0.0
197;991;0.0;0.0;0.0
198;861;0.0;0.0;0.0
199;981;0.0;0.0;0.0
200;971;0.0;0.0;0.0
201;961;0.0;0.0;0.0
202;941;0.0;0.0;0.0
203;921;0.0;0.0;0.0
