fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;NIRRIG;1;1;0.87
1;NIRRIG;1;1;0.88
1;NIRRIG;1;1;0.66
1;IRRIG;0;0;0.06
1;IRRIG;0;0;0.1
1;IRRIG;0;0;0.02
1;NIRRIG;1;1;0.65
1;NIRRIG;1;1;0.52
1;IRRIG;0;0;0.26
1;IRRIG;0;0;0.27
1;IRRIG;0;0;0.21
1;NIRRIG;1;1;0.98
1;NIRRIG;1;1;0.8
1;NIRRIG;1;1;0.85
1;IRRIG;0;0;0.18
1;IRRIG;0;0;0.08
2;IRRIG;0;0;0.18
2;IRRIG;0;1;0.53
2;IRRIG;0;0;0.31
2;NIRRIG;1;1;0.94
2;NIRRIG;1;1;0.96
2;IRRIG;0;0;0.01
2;IRRIG;0;0;0.03
2;IRRIG;0;0;0.06
2;NIRRIG;1;1;0.89
2;NIRRIG;1;1;0.92
2;IRRIG;0;0;0.33
2;IRRIG;0;0;0.07
2;NIRRIG;1;1;0.92
2;NIRRIG;1;1;0.9
2;NIRRIG;1;1;0.97
2;NIRRIG;1;1;0.94
3;IRRIG;0;0;0.25
3;NIRRIG;1;1;0.74
3;NIRRIG;1;1;0.93
3;IRRIG;0;0;0.12
3;IRRIG;0;0;0.0
3;NIRRIG;1;1;0.89
3;NIRRIG;1;1;0.91
3;IRRIG;0;0;0.18
3;IRRIG;0;0;0.13
3;IRRIG;0;0;0.13
3;NIRRIG;1;1;0.87
3;NIRRIG;1;1;0.89
3;NIRRIG;1;1;0.87
3;IRRIG;0;0;0.3
3;IRRIG;0;0;0.03
3;NIRRIG;1;1;0.98
4;IRRIG;0;0;0.26
4;IRRIG;0;0;0.14
4;IRRIG;0;0;0.17
4;IRRIG;0;0;0.23
4;NIRRIG;1;1;0.91
4;NIRRIG;1;1;0.92
4;NIRRIG;1;1;0.82
4;NIRRIG;1;1;0.84
4;IRRIG;0;0;0.31
4;IRRIG;0;0;0.02
4;NIRRIG;1;1;0.91
4;IRRIG;0;0;0.19
4;IRRIG;0;0;0.01
4;NIRRIG;1;1;0.82
4;NIRRIG;1;1;0.9
4;NIRRIG;1;1;0.92
