posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini
1;1460;0.0;0.0;0.05
2;1480;0.0;0.0;0.04
3;1470;0.0;0.0;0.04
4;465;0.0;0.0;0.03
5;1510;0.0;0.0;0.03
6;1520;0.0;0.0;0.0299999999999999
7;694;0.0;0.0;0.0299999999999999
8;1430;0.0;0.0;0.02
9;2417;0.0;0.0;0.02
10;2057;0.0;0.0;0.02
11;2017;0.0;0.0;0.02
12;1997;0.0;0.0;0.02
13;1987;0.0;0.0;0.02
14;1450;0.0;0.0;0.02
15;2047;0.0;0.0;0.02
16;1420;0.0;0.0;0.02
17;811;0.0;0.0;0.02
18;685;0.0;0.0;0.02
19;675;0.0;0.0;0.02
20;2446;0.0;0.0;0.02
21;485;0.0;0.0;0.02
22;455;0.0;0.0;0.02
23;1311;0.0;0.0;0.02
24;1131;0.0;0.0;0.0199999999999999
25;851;0.0;0.0;0.0199999999999999
26;1967;0.0;0.0;0.0199999999999999
27;821;0.0;0.0;0.0199999999999999
28;1540;0.0;0.0;0.01
29;1440;0.0;0.0;0.01
30;1490;0.0;0.0;0.01
31;1341;0.0;0.0;0.01
32;1530;0.0;0.0;0.01
33;2427;0.0;0.0;0.01
34;2007;0.0;0.0;0.01
35;2027;0.0;0.0;0.01
36;2037;0.0;0.0;0.01
37;2067;0.0;0.0;0.01
38;2407;0.0;0.0;0.01
39;1141;0.0;0.0;0.01
40;1151;0.0;0.0;0.01
41;891;0.0;0.0;0.01
42;1101;0.0;0.0;0.01
43;1061;0.0;0.0;0.01
44;981;0.0;0.0;0.01
45;971;0.0;0.0;0.01
46;831;0.0;0.0;0.01
47;771;0.0;0.0;0.01
48;761;0.0;0.0;0.01
49;665;0.0;0.0;0.01
50;505;0.0;0.0;0.01
51;2437;0.0;0.0;0.01
52;1400;0.0;0.0;0.01
53;791;0.0;0.0;0.01
54;1091;0.0;0.0;0.01
55;445;0.0;0.0;0.0099999999999999
56;941;0.0;0.0;0.0099999999999999
57;881;0.0;0.0;0.0099999999999999
58;1410;0.0;0.0;0.0099999999999999
59;405;0.0;0.0;0.0099999999999999
60;475;0.0;0.0;0.0099999999999999
61;615;0.0;0.0;0.0094585177512006
62;625;0.0;0.0;0.0094237012987013
63;801;0.0;0.0;0.0005762987012987
64;1351;0.0;0.0;0.0005414822487993
65;2247;0.0;0.0;2.2319311150222946e-17
66;1857;0.0;0.0;1.2174604758673581e-17
67;1720;0.0;0.0;1.0481381844323018e-17
68;1670;0.0;0.0;9.436895709313819e-18
69;1800;0.0;0.0;8.80372164058229e-18
70;2327;0.0;0.0;8.522223331071504e-18
71;1620;0.0;0.0;8.076872504148004e-18
72;1031;0.0;0.0;5.615261342326343e-18
73;871;0.0;0.0;5.579827787555744e-18
74;1690;0.0;0.0;3.431778670760975e-18
75;1780;0.0;0.0;0.0
76;1937;0.0;0.0;0.0
77;1927;0.0;0.0;0.0
78;1917;0.0;0.0;0.0
79;1907;0.0;0.0;0.0
80;1897;0.0;0.0;0.0
81;1887;0.0;0.0;0.0
82;1877;0.0;0.0;0.0
83;1867;0.0;0.0;0.0
84;1847;0.0;0.0;0.0
85;1837;0.0;0.0;0.0
86;1828;0.0;0.0;0.0
87;1820;0.0;0.0;0.0
88;1810;0.0;0.0;0.0
89;1790;0.0;0.0;0.0
90;1770;0.0;0.0;0.0
91;1580;0.0;0.0;0.0
92;1947;0.0;0.0;0.0
93;1750;0.0;0.0;0.0
94;1740;0.0;0.0;0.0
95;1730;0.0;0.0;0.0
96;1710;0.0;0.0;0.0
97;1700;0.0;0.0;0.0
98;1680;0.0;0.0;0.0
99;1660;0.0;0.0;0.0
100;1650;0.0;0.0;0.0
101;1640;0.0;0.0;0.0
102;1630;0.0;0.0;0.0
103;1610;0.0;0.0;0.0
104;1600;0.0;0.0;0.0
105;1590;0.0;0.0;0.0
106;1760;0.0;0.0;0.0
107;1977;0.0;0.0;0.0
108;1957;0.0;0.0;0.0
109;2227;0.0;0.0;0.0
110;2387;0.0;0.0;0.0
111;2377;0.0;0.0;0.0
112;2367;0.0;0.0;0.0
113;2357;0.0;0.0;0.0
114;2347;0.0;0.0;0.0
115;2337;0.0;0.0;0.0
116;2317;0.0;0.0;0.0
117;2307;0.0;0.0;0.0
118;2297;0.0;0.0;0.0
119;2287;0.0;0.0;0.0
120;2277;0.0;0.0;0.0
121;2267;0.0;0.0;0.0
122;2257;0.0;0.0;0.0
123;2237;0.0;0.0;0.0
124;2217;0.0;0.0;0.0
125;2077;0.0;0.0;0.0
126;2207;0.0;0.0;0.0
127;2197;0.0;0.0;0.0
128;2187;0.0;0.0;0.0
129;2177;0.0;0.0;0.0
130;2167;0.0;0.0;0.0
131;2157;0.0;0.0;0.0
132;2147;0.0;0.0;0.0
133;2137;0.0;0.0;0.0
134;2127;0.0;0.0;0.0
135;2117;0.0;0.0;0.0
136;2107;0.0;0.0;0.0
137;2097;0.0;0.0;0.0
138;2087;0.0;0.0;0.0
139;1560;0.0;0.0;0.0
140;1570;0.0;0.0;0.0
141;921;0.0;0.0;0.0
142;1550;0.0;0.0;0.0
143;645;0.0;0.0;0.0
144;931;0.0;0.0;0.0
145;911;0.0;0.0;0.0
146;901;0.0;0.0;0.0
147;861;0.0;0.0;0.0
148;841;0.0;0.0;0.0
149;781;0.0;0.0;0.0
