posicao;banda_nm;importancia_permutacao_media;importancia_permutacao_dp;importancia_gini
1;711;0.0;0.0;0.0624011619676067
2;1311;0.0;0.0;0.0437547866323295
3;1948;0.0;0.0;0.0418479491356028
4;721;0.0;0.0;0.040877031804206
5;1938;0.0;0.0;0.0391247318462814
6;1958;0.0;0.0;0.0380572744952235
7;415;0.0;0.0;0.0377703046218945
8;405;0.0;0.0;0.0349719015710299
9;1361;0.0;0.0;0.0320197590562833
10;1918;0.0;0.0;0.0295822291337263
11;1331;0.0;0.0;0.0285985804120359
12;445;0.0;0.0;0.0273277706378187
13;1968;0.0;0.0;0.0267661832731312
14;465;0.0;0.0;0.0267088860678887
15;1341;0.0;0.0;0.0234589276804168
16;1321;0.0;0.0;0.0215398180806691
17;425;0.0;0.0;0.0155697017574195
18;1351;0.0;0.0;0.0143909166028203
19;2447;0.0;0.0;0.0128158311222827
20;1998;0.0;0.0;0.0127375501449903
21;1571;0.0;0.0;0.0106940262195707
22;575;0.0;0.0;0.009609125096764
23;2228;0.0;0.0;0.0095465669022762
24;1531;0.0;0.0;0.0094985439193968
25;1121;0.0;0.0;0.0093756316794527
26;1061;0.0;0.0;0.0090750525497555
27;1928;0.0;0.0;0.0090565436280143
28;1051;0.0;0.0;0.0087696756121803
29;565;0.0;0.0;0.0086730936117622
30;485;0.0;0.0;0.0078386010776254
31;1741;0.0;0.0;0.0078347241365117
32;435;0.0;0.0;0.0072964272420312
33;1501;0.0;0.0;0.0071537818906239
34;475;0.0;0.0;0.0067350928641251
35;1521;0.0;0.0;0.0065262483050228
36;741;0.0;0.0;0.0062908294276481
37;1301;0.0;0.0;0.0060232377603402
38;2328;0.0;0.0;0.0056230941775738
39;901;0.0;0.0;0.0053765182186234
40;851;0.0;0.0;0.0053359521019377
41;1371;0.0;0.0;0.0048365333090477
42;2028;0.0;0.0;0.0048
43;1411;0.0;0.0;0.004621099276268
44;1711;0.0;0.0;0.0045833333333333
45;731;0.0;0.0;0.0044036744779212
46;1561;0.0;0.0;0.0043852829123227
47;1081;0.0;0.0;0.0043376286301759
48;495;0.0;0.0;0.0043093596059113
49;2368;0.0;0.0;0.0042969594073159
50;1551;0.0;0.0;0.0042871348343834
51;1731;0.0;0.0;0.0042825871397299
52;991;0.0;0.0;0.0041390385661798
53;1771;0.0;0.0;0.0041101221875913
54;2108;0.0;0.0;0.0040381977322011
55;2438;0.0;0.0;0.0039818075880367
56;2048;0.0;0.0;0.0039303086774628
57;831;0.0;0.0;0.0038308045749956
58;1811;0.0;0.0;0.0037426274414689
59;1908;0.0;0.0;0.0037037037037037
60;1898;0.0;0.0;0.0036170212765957
61;1011;0.0;0.0;0.0035544213321991
62;1801;0.0;0.0;0.003465995831547
63;1838;0.0;0.0;0.0034408602150537
64;1141;0.0;0.0;0.0034147767491887
65;2238;0.0;0.0;0.0033824998297427
66;1601;0.0;0.0;0.0033572758092034
67;1421;0.0;0.0;0.003174230787134
68;1071;0.0;0.0;0.0031542130365659
69;1031;0.0;0.0;0.0030056925996204
70;1391;0.0;0.0;0.002995238095238
71;1401;0.0;0.0;0.0029788819875776
72;2178;0.0;0.0;0.0029528366370471
73;2158;0.0;0.0;0.0029434162328899
74;1988;0.0;0.0;0.0029384273147179
75;2248;0.0;0.0;0.0028576837631604
76;2278;0.0;0.0;0.0028279805544734
77;761;0.0;0.0;0.0028130285383442
78;1001;0.0;0.0;0.0027217979344941
79;525;0.0;0.0;0.0027148330596606
80;1611;0.0;0.0;0.0027053446408285
81;625;0.0;0.0;0.002654107052934
82;2358;0.0;0.0;0.0026486486486486
83;2308;0.0;0.0;0.0026129678142062
84;801;0.0;0.0;0.0025591310624793
85;2268;0.0;0.0;0.0025179227137611
86;2338;0.0;0.0;0.0024174559836406
87;545;0.0;0.0;0.0023767361111111
88;2148;0.0;0.0;0.0023546711546711
89;1858;0.0;0.0;0.0023528675227599
90;891;0.0;0.0;0.0023170764749712
91;1251;0.0;0.0;0.0022672064777327
92;2198;0.0;0.0;0.0022339197748064
93;951;0.0;0.0;0.0022164502164502
94;1581;0.0;0.0;0.0022058823529411
95;981;0.0;0.0;0.0021960784313725
96;1868;0.0;0.0;0.0021795478195061
97;1621;0.0;0.0;0.0021618578465869
98;931;0.0;0.0;0.0021092579646459
99;2018;0.0;0.0;0.0020078431372549
100;1681;0.0;0.0;0.0017413953488372
101;1511;0.0;0.0;0.0017142857142857
102;881;0.0;0.0;0.001711229946524
103;1781;0.0;0.0;0.0017085650723025
104;1791;0.0;0.0;0.0017083750417083
105;781;0.0;0.0;0.0016952038596159
106;2138;0.0;0.0;0.0016935483870967
107;1821;0.0;0.0;0.0016931216931216
108;1131;0.0;0.0;0.0016912912912912
109;2208;0.0;0.0;0.0016682958618442
110;1541;0.0;0.0;0.0015238095238095
111;694;0.0;0.0;0.0013852813852813
112;1591;0.0;0.0;0.0013049688343806
113;2008;0.0;0.0;0.0012030075187969
114;841;0.0;0.0;0.0011822660098522
115;585;0.0;0.0;0.0011737898614398
116;941;0.0;0.0;0.0011730205278592
117;595;0.0;0.0;0.0011712418300653
118;2078;0.0;0.0;0.0011682539682539
119;811;0.0;0.0;0.0011640773020083
120;971;0.0;0.0;0.0011640211640211
121;1091;0.0;0.0;0.0011482567611599
122;861;0.0;0.0;0.0011326148610323
123;1671;0.0;0.0;0.0010210826210826
124;1461;0.0;0.0;0.0009846153846153
125;2298;0.0;0.0;0.0009152009152009
126;665;0.0;0.0;0.0008924876293297
127;911;0.0;0.0;0.0007700534759358
128;821;0.0;0.0;0.0006469081975154
129;2398;0.0;0.0;0.0006060606060606
130;635;0.0;0.0;0.0006047572499185
131;1701;0.0;0.0;0.0005555555555555
132;1151;0.0;0.0;0.0005497793181077
133;1491;0.0;0.0;0.0005398110661268
134;615;0.0;0.0;0.0005254515599343
135;2058;0.0;0.0;0.0005213424568263
136;1829;0.0;0.0;0.0004692082111436
137;2128;0.0;0.0;0.0004692082111436
138;1381;0.0;0.0;0.0003282051282051
139;2418;0.0;0.0;0.0
140;1431;0.0;0.0;0.0
141;1451;0.0;0.0;0.0
142;1471;0.0;0.0;0.0
143;1481;0.0;0.0;0.0
144;1631;0.0;0.0;0.0
145;1641;0.0;0.0;0.0
146;1651;0.0;0.0;0.0
147;1661;0.0;0.0;0.0
148;1691;0.0;0.0;0.0
149;1721;0.0;0.0;0.0
150;1751;0.0;0.0;0.0
151;1761;0.0;0.0;0.0
152;1848;0.0;0.0;0.0
153;1878;0.0;0.0;0.0
154;1888;0.0;0.0;0.0
155;1978;0.0;0.0;0.0
156;2408;0.0;0.0;0.0
157;2038;0.0;0.0;0.0
158;2068;0.0;0.0;0.0
159;2088;0.0;0.0;0.0
160;2098;0.0;0.0;0.0
161;2118;0.0;0.0;0.0
162;2168;0.0;0.0;0.0
163;2188;0.0;0.0;0.0
164;2218;0.0;0.0;0.0
165;2258;0.0;0.0;0.0
166;2288;0.0;0.0;0.0
167;2318;0.0;0.0;0.0
168;2348;0.0;0.0;0.0
169;2378;0.0;0.0;0.0
170;2388;0.0;0.0;0.0
171;1441;0.0;0.0;0.0
172;1021;0.0;0.0;0.0
173;1291;0.0;0.0;0.0
174;655;0.0;0.0;0.0
175;791;0.0;0.0;0.0
176;771;0.0;0.0;0.0
177;751;0.0;0.0;0.0
178;702;0.0;0.0;0.0
179;685;0.0;0.0;0.0
180;675;0.0;0.0;0.0
181;645;0.0;0.0;0.0
182;1281;0.0;0.0;0.0
183;605;0.0;0.0;0.0
184;555;0.0;0.0;0.0
185;535;0.0;0.0;0.0
186;515;0.0;0.0;0.0
187;505;0.0;0.0;0.0
188;455;0.0;0.0;0.0
189;871;0.0;0.0;0.0
190;921;0.0;0.0;0.0
191;961;0.0;0.0;0.0
192;1041;0.0;0.0;0.0
193;1101;0.0;0.0;0.0
194;1111;0.0;0.0;0.0
195;1161;0.0;0.0;0.0
196;1171;0.0;0.0;0.0
197;1181;0.0;0.0;0.0
198;1191;0.0;0.0;0.0
199;1201;0.0;0.0;0.0
200;1211;0.0;0.0;0.0
201;1221;0.0;0.0;0.0
202;1231;0.0;0.0;0.0
203;1241;0.0;0.0;0.0
204;1261;0.0;0.0;0.0
205;1271;0.0;0.0;0.0
206;2428;0.0;0.0;0.0
