fold;condicao_real;classe_real_nirrig;classe_predita_nirrig;probabilidade_nirrig
1;NIRRIG;1;1;0.8
1;NIRRIG;1;1;0.93
1;NIRRIG;1;1;0.98
1;IRRIG;0;0;0.1
1;IRRIG;0;0;0.1
1;IRRIG;0;0;0.05
1;NIRRIG;1;1;0.88
1;NIRRIG;1;1;0.86
1;IRRIG;0;0;0.06
1;IRRIG;0;0;0.03
1;IRRIG;0;0;0.02
1;NIRRIG;1;1;1.0
1;NIRRIG;1;1;0.97
1;NIRRIG;1;1;0.97
1;IRRIG;0;0;0.0
1;IRRIG;0;0;0.06
2;IRRIG;0;0;0.01
2;IRRIG;0;0;0.03
2;IRRIG;0;0;0.03
2;NIRRIG;1;1;0.93
2;NIRRIG;1;1;1.0
2;IRRIG;0;0;0.11
2;IRRIG;0;0;0.1
2;IRRIG;0;0;0.08
2;NIRRIG;1;1;1.0
2;NIRRIG;1;1;1.0
2;IRRIG;0;0;0.0
2;IRRIG;0;0;0.02
2;NIRRIG;1;1;0.98
2;NIRRIG;1;1;0.98
2;NIRRIG;1;1;0.89
2;NIRRIG;1;1;0.68
3;IRRIG;0;0;0.01
3;NIRRIG;1;1;1.0
3;NIRRIG;1;1;1.0
3;IRRIG;0;0;0.14
3;IRRIG;0;0;0.02
3;NIRRIG;1;1;1.0
3;NIRRIG;1;1;0.94
3;IRRIG;0;0;0.31
3;IRRIG;0;0;0.27
3;IRRIG;0;0;0.28
3;NIRRIG;1;1;0.95
3;NIRRIG;1;1;0.96
3;NIRRIG;1;1;0.92
3;IRRIG;0;0;0.01
3;IRRIG;0;0;0.03
3;NIRRIG;1;1;1.0
4;IRRIG;0;0;0.1
4;IRRIG;0;0;0.03
4;IRRIG;0;0;0.01
4;IRRIG;0;0;0.14
4;NIRRIG;1;1;1.0
4;NIRRIG;1;1;1.0
4;NIRRIG;1;1;1.0
4;NIRRIG;1;1;0.96
4;IRRIG;0;0;0.01
4;IRRIG;0;0;0.08
4;NIRRIG;1;1;0.95
4;IRRIG;0;0;0.07
4;IRRIG;0;0;0.02
4;NIRRIG;1;1;1.0
4;NIRRIG;1;1;0.89
4;NIRRIG;1;1;0.84
