accuracy;f1;kappa;auc_roc;accuracy_dp;f1_dp;kappa_dp;auc_roc_dp;genotipo;dia
0.984375;0.9852941176470588;0.96875;0.99609375;0.03125;0.029411764705882415;0.0625;0.0078125;BR16;D02
0.953125;0.9476190476190476;0.90625;0.99609375;0.05983919423477113;0.06801360408136051;0.11967838846954226;0.0078125;BR16;D03
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;BR16;D04
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;BR16;D05
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;BR16;D06
0.984375;0.9833333333333333;0.96875;1.0;0.03125;0.03333333333333338;0.0625;0.0;BR16;D09
0.984375;0.9852941176470588;0.96875;1.0;0.03125;0.029411764705882415;0.0625;0.0;BR16;D10
0.96875;0.9642857142857143;0.9375;1.0;0.0625;0.07142857142857145;0.125;0.0;CD202;D02
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;CD202;D03
0.96875;0.9722222222222222;0.9375;1.0;0.0625;0.05555555555555558;0.125;0.0;CD202;D04
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;CD202;D05
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;CD202;D06
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;CD202;D09
0.984375;0.9852941176470588;0.96875;1.0;0.03125;0.029411764705882415;0.0625;0.0;CD202;D10
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;EMB48;D02
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;EMB48;D03
0.984375;0.9852941176470588;0.96875;1.0;0.03125;0.029411764705882415;0.0625;0.0;EMB48;D04
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;EMB48;D05
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;EMB48;D06
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;EMB48;D09
1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;EMB48;D10
