data_cra;coleta_espectral;banda_nm;vip_selecao;vip_modelo_final;rho_spearman_cra
24/02;D03M;360;1.2890057318015122;1.1667471753141343;0.6834782608695652
24/02;D03M;373;1.301811673960291;1.0857378731697698;0.6886956521739129
24/02;D03M;394;1.309686577063118;1.081846078991459;0.6686956521739129
24/02;D03M;2035;1.08513370534186;1.0692066569874132;-0.6965217391304346
24/02;D03M;2024;1.090870078821006;1.0681612624785983;-0.6947826086956521
24/02;D03M;2044;1.0736658615487598;1.0676050800066528;-0.6965217391304346
24/02;D03M;2014;1.0912529119771976;1.0655410446633904;-0.6947826086956521
24/02;D03M;2054;1.0634574589684855;1.0654456046533842;-0.6965217391304346
24/02;D03M;467;1.3735000994663935;1.0637035550936724;0.6660869565217391
24/02;D03M;2008;1.0923283186574972;1.0634674062854557;-0.6947826086956521
24/02;D03M;2064;1.0601461413093551;1.0631983180820126;-0.6939130434782607
24/02;D03M;2074;1.0592997557031183;1.060307998617828;-0.6939130434782607
24/02;D03M;1998;1.094444502452696;1.0593716959637138;-0.6956521739130433
24/02;D03M;681;1.3328577788897704;1.0581401434508422;0.6147826086956522
24/02;D03M;483;1.3538724607231103;1.0567543820457093;0.6686956521739129
24/02;D03M;478;1.3712116746517289;1.0564845776640628;0.6686956521739129
24/02;D03M;2087;1.052784014195724;1.0553515368148727;-0.697391304347826
24/02;D03M;1991;1.0929954105300863;1.054599103992784;-0.686086956521739
24/02;D03M;2094;1.045306187662279;1.05200405521388;-0.697391304347826
24/02;D03M;446;1.4311112823141745;1.0518408976314486;0.6713043478260868
24/02;D03M;456;1.4094053914940845;1.0516540949254751;0.6756521739130433
24/02;D03M;418;1.379314790898608;1.0513242191591183;0.6643478260869564
24/02;D03M;402;1.365630587521797;1.051281843634853;0.6452173913043477
24/02;D03M;435;1.4785161128830815;1.0494314171418329;0.6713043478260868
24/02;D03M;490;1.3311171187104198;1.047791703339789;0.657391304347826
24/02;D03M;358;1.5294494197303277;1.044721151243079;0.6808695652173912
24/02;D03M;425;1.452097248744128;1.0435457717740009;0.6686956521739129
24/02;D03M;2111;1.0248459397605278;1.0432201314395462;-0.7034782608695651
24/02;D03M;383;1.3511752982086556;1.041074123020539;0.6660869565217391
24/02;D03M;675;1.3280698990295043;1.0404672822032188;0.6234782608695651
24/02;D03M;1976;1.0796698241154208;1.040195098449774;-0.6808695652173912
24/02;D03M;2119;1.016399466711669;1.0399332460828077;-0.7
24/02;D03M;2124;1.0098600397595137;1.037830447747239;-0.7
24/02;D03M;2134;1.0008595755670953;1.0344444421235188;-0.7
24/02;D03M;1970;1.074577332194723;1.0338786512112397;-0.6660869565217391
24/02;D03M;669;1.3283941624383693;1.0187767634987048;0.5973913043478261
24/02;D03M;1954;1.0471682735865688;1.0125794669692874;-0.6643478260869564
24/02;D03M;1947;1.0300198086493024;1.0009140167002828;-0.6643478260869564
24/02;D03M;1940;1.0106507760933503;0.9882000857314276;-0.6382608695652173
24/02;D03M;500;1.2507771521359417;0.9860903121554884;0.6095652173913042
24/02;D03M;1884;1.0012732351844211;0.9665482771157184;-0.6634782608695651
24/02;D03M;713;1.1700738029101927;0.9656869718759058;-0.5904347826086956
24/02;D03M;754;1.2594017570503382;0.95192921492936;-0.537391304347826
24/02;D03M;750;1.2806297867279206;0.9518885035875628;-0.537391304347826
24/02;D03M;764;1.2208132336430098;0.9499654567651664;-0.5304347826086956
24/02;D03M;775;1.184541526601655;0.9461334304639484;-0.5347826086956522
24/02;D03M;784;1.1641567136756994;0.9440645264415628;-0.5347826086956522
24/02;D03M;794;1.149816805114974;0.9427927494138448;-0.5347826086956522
24/02;D03M;974;1.0160466373275794;0.9425294718574224;-0.5817391304347826
24/02;D03M;964;1.0149979801107258;0.9423160201249496;-0.5817391304347826
24/02;D03M;993;1.0125967339594188;0.9422554394309496;-0.5973913043478261
24/02;D03M;954;1.0239422635191977;0.9417917087619616;-0.5817391304347826
24/02;D03M;804;1.1359562910127698;0.9415916969072226;-0.5417391304347825
24/02;D03M;946;1.029004926180603;0.9409587004483158;-0.5817391304347826
24/02;D03M;814;1.121137839579916;0.9405335337943468;-0.5417391304347825
24/02;D03M;938;1.0348409901976796;0.9404777018616308;-0.5695652173913043
24/02;D03M;824;1.1115505364451823;0.9400983835475504;-0.5417391304347825
24/02;D03M;928;1.039519219486214;0.9399497425158956;-0.5556521739130434
24/02;D03M;920;1.0448783190398088;0.9398177780768804;-0.5504347826086956
24/02;D03M;838;1.0940867786511406;0.9395807286330472;-0.551304347826087
24/02;D03M;904;1.0520185799454624;0.9395556594415598;-0.548695652173913
24/02;D03M;894;1.0548761166329277;0.9394395436083282;-0.548695652173913
24/02;D03M;844;1.086795604532333;0.939378818006481;-0.551304347826087
24/02;D03M;857;1.0753367935024123;0.9393745449869736;-0.548695652173913
24/02;D03M;884;1.058926439120285;0.939357935506608;-0.548695652173913
24/02;D03M;864;1.068622840271629;0.939306435964552;-0.548695652173913
24/02;D03M;874;1.0631060107327797;0.9392635848106666;-0.548695652173913
24/02;D03M;658;1.261777254554481;0.9357031010223156;0.5382608695652172
24/02;D03M;722;1.2012896771465065;0.9300219085184974;-0.6513043478260869
24/02;D03M;735;1.288307211558268;0.9246385811861512;-0.5643478260869564
24/02;D03M;724;1.212676738637655;0.9214513194296752;-0.6226086956521739
24/02;D03M;649;1.1968505462079404;0.864777149981052;0.497391304347826
24/02;D03M;690;1.063253869601839;0.7536678073581694;0.4327027716988774
