bloco;genotipo;condicao;CHL TOTAL (02/03);predito_cv;residuo_cv
B1;BR16;IRRIG;42.800000000000004;43.07280075469404;-0.27280075469403897
B2;BR16;IRRIG;38.166666666666664;39.55548845594355;-1.3888217892768822
B3;BR16;IRRIG;43.400000000000006;39.64690983353151;3.753090166468496
B4;BR16;IRRIG;41.7;39.71431786833006;1.9856821316699396
B1;BR16;NIRRIG;44.550000000000004;41.57498450566854;2.9750154943314655
B2;BR16;NIRRIG;45.21666666666667;45.309578916805705;-0.0929122501390367
B3;BR16;NIRRIG;44.599999999999994;44.93890603409739;-0.3389060340973984
B4;BR16;NIRRIG;46.76666666666667;43.38338203489971;3.383284631766962
B1;EMB48;IRRIG;40.11666666666667;38.62258481409924;1.494081852567426
B2;EMB48;IRRIG;39.96;39.467523698627964;0.4924763013720366
B3;EMB48;IRRIG;38.99999999999999;37.960762038108264;1.039237961891729
B4;EMB48;IRRIG;37.03333333333333;39.021724459793376;-1.9883911264600442
B1;EMB48;NIRRIG;39.72;42.50659832569993;-2.7865983256999343
B2;EMB48;NIRRIG;41.53333333333333;40.08562745727371;1.4477058760596222
B3;EMB48;NIRRIG;39.699999999999996;41.57199662479203;-1.8719966247920325
B4;EMB48;NIRRIG;41.55;39.91342586838961;1.636574131610388
B1;CD202;IRRIG;39.03333333333333;42.068169005389926;-3.0348356720565945
B2;CD202;IRRIG;37.54;40.148850417123604;-2.6088504171236053
B3;CD202;IRRIG;39.96666666666667;37.81945779159598;2.147208875070689
B4;CD202;IRRIG;40.71666666666667;42.54721943832874;-1.8305527716620702
B1;CD202;NIRRIG;39.36666666666667;38.200993342249674;1.1656733244169928
B2;CD202;NIRRIG;36.65;40.08128123983845;-3.431281239838448
B3;CD202;NIRRIG;38.616666666666674;40.60203063262639;-1.9853639659597135
B4;CD202;NIRRIG;39.71666666666667;42.0013295868651;-2.2846629201984285
