data_clorofila_total;coleta_espectral;banda_nm;vip_selecao;vip_modelo_final;rho_spearman_clorofila_total
25/02;D04M;705;2.4699436228067984;2.7067408897293483;-0.6269565217391303
25/02;D04M;703;2.31971588266405;2.5426244396227093;-0.6469565217391303
25/02;D04M;716;2.2514511158162214;2.452083127340143;-0.2965217391304348
25/02;D04M;554;1.7237351422597047;1.8508189443636025;-0.4434782608695652
25/02;D04M;547;1.7315766522252807;1.8350962010415357;-0.43304347826086953
25/02;D04M;452;1.5150978311931775;1.660680786347988;0.1826086956521739
25/02;D04M;425;1.5289777408210306;1.6523953071055673;0.20434782608695648
25/02;D04M;388;1.5177944147505786;1.6420897167830608;0.2069565217391304
25/02;D04M;411;1.5161658593562573;1.6400708161870368;0.2069565217391304
25/02;D04M;488;1.4854676442764363;1.6395624886543434;0.17130434782608694
25/02;D04M;350;1.7015557314612524;1.6347790907860609;0.2252173913043478
25/02;D04M;665;1.4195733428835067;1.5215507457099782;0.10869565217391304
25/02;D04M;697;1.1203645269269387;1.211917468726862;-0.35913043478260864
25/02;D04M;523;0.9314999776803055;0.9418993645012746;-0.35739130434782607
25/02;D04M;579;0.8645214359043241;0.8937058856656379;-0.34956521739130436
25/02;D04M;625;0.8895401849528944;0.8921605363126324;-0.07043478260869565
25/02;D04M;2290;0.8561028674784487;0.8320537067738377;0.18869565217391301
25/02;D04M;2188;0.8476136695133044;0.816032991532934;0.26347826086956516
25/02;D04M;2146;0.8853565463685189;0.8147780624962465;0.27043478260869563
25/02;D04M;1525;0.7913218476682534;0.7987916594897224;0.3321739130434782
25/02;D04M;2264;0.8193199821331085;0.7986628638762948;0.20608695652173914
25/02;D04M;2198;0.8146015148092739;0.7978337198255275;0.3121739130434782
25/02;D04M;1539;0.7927681555962982;0.7970462671873169;0.2965217391304348
25/02;D04M;789;0.9372090271558635;0.7933276186264738;0.40695652173913033
25/02;D04M;814;0.9013416736099654;0.7923355463596667;0.40347826086956523
25/02;D04M;1739;0.9332944940927205;0.7918937062407285;0.29565217391304344
25/02;D04M;1505;0.7790028966523982;0.7898614087168917;0.3408695652173913
25/02;D04M;860;0.8257084375338256;0.7893588764588821;0.39652173913043476
25/02;D04M;864;0.8226421700535104;0.7888684673409634;0.39652173913043476
25/02;D04M;1714;0.960396388450581;0.7883153948946744;0.3008695652173913
25/02;D04M;964;0.784195774559984;0.7879479791230848;0.3817391304347826
25/02;D04M;889;0.8022822732116562;0.7877608618804604;0.3817391304347826
25/02;D04M;2119;0.8705432636299787;0.7872453332549244;0.2721739130434782
25/02;D04M;771;0.9757398625830126;0.7872451761408499;0.40695652173913033
25/02;D04M;939;0.7836709773692103;0.7865674056676909;0.3817391304347826
25/02;D04M;1779;0.8862183155807851;0.7858419660453876;0.31913043478260866
25/02;D04M;914;0.7872585636348277;0.7857480447389111;0.3817391304347826
25/02;D04M;1376;0.8098121781189861;0.785691555195207;0.4591304347826086
25/02;D04M;1705;0.9390994812328893;0.7856193673508847;0.30347826086956514
25/02;D04M;1586;0.7977582378458274;0.7815889402794447;0.2782608695652174
25/02;D04M;2062;0.7964909122157199;0.7814905333013162;0.19043478260869565
25/02;D04M;989;0.7673082987675727;0.7798920158534993;0.3817391304347826
25/02;D04M;2101;0.8479181863138637;0.7761474622444583;0.2582608695652174
25/02;D04M;1812;0.8430251518857615;0.7755976648349574;0.32608695652173914
25/02;D04M;2084;0.814733096150489;0.7739206755760519;0.25913043478260867
25/02;D04M;2215;0.7787652319636456;0.7738885963277655;0.32956521739130434
25/02;D04M;1610;0.810145856913641;0.7736832005454433;0.2965217391304348
25/02;D04M;761;1.0111972136377303;0.7723254672788069;0.39391304347826084
25/02;D04M;1836;0.8544362244150856;0.7717597723796834;0.4243478260869564
25/02;D04M;1360;0.808949590485926;0.7712458406848363;0.4356521739130434
25/02;D04M;1839;0.8577528348746855;0.7712201671096784;0.4243478260869564
