number;value;params_componentes_finais;params_componentes_pre;params_janela_nm;params_limiar_spearman;params_limiar_vip;state
0;-0.04813911275966265;8;7;25;0.7618208772180222;1.2427641493561117;COMPLETE
1;-0.37448580952946076;8;5;34;0.6737811796631772;1.0300587115507422;COMPLETE
2;-0.4167767103148816;8;7;22;0.5796236625878788;0.7980350428898672;COMPLETE
3;0.2652182296394251;2;3;25;0.8666343033709887;1.0077014453019113;COMPLETE
4;0.12240258158926676;5;7;30;0.9304388639602261;1.2057144233052373;COMPLETE
5;0.5331502425744552;3;7;4;0.5664675235855847;1.1765211086897605;COMPLETE
6;0.5191223590832877;4;7;28;0.6365235830905328;0.7372866129485006;COMPLETE
7;0.16468399071203688;5;5;17;0.8711875495881868;1.295347242151637;COMPLETE
8;-0.03462211623549871;5;6;5;0.7517203837616675;1.1830740771291182;COMPLETE
9;0.464379091407348;4;6;12;0.9383835308317579;1.4436435078531944;COMPLETE
10;0.15950845296737548;1;1;5;0.5674764524177315;0.5496112199416359;COMPLETE
11;0.5785366870138614;3;8;14;0.64660550127454;0.7784631101559518;COMPLETE
12;0.5851325465785661;3;8;12;0.6702883515067631;0.7504126388821405;COMPLETE
13;0.547639114531751;2;8;14;0.6703315506795571;0.7940045497399173;COMPLETE
14;0.5619873049264297;3;8;10;0.7008730049412315;0.5913514482958856;COMPLETE
15;0.17245053188531279;6;4;17;0.6205909766263686;0.8950411145103467;COMPLETE
16;0.17764828910453911;1;2;10;0.7983868517022108;0.7091478367036955;COMPLETE
17;0.5710215292745937;3;8;20;0.7109289420355414;0.6394844005386363;COMPLETE
18;0.30189270579281713;2;6;14;0.6227553891431593;0.8826738323395631;COMPLETE
19;0.4276704391503171;4;4;8;0.7887748007620824;0.9066431018685488;COMPLETE
20;0.07871854655179822;6;8;16;0.7135375285599836;1.0770796079658216;COMPLETE
21;0.597849778451381;3;8;20;0.7158722116974938;0.6222274483211485;COMPLETE
22;0.5969171659543044;3;8;21;0.6643192290806331;0.5187209110869118;COMPLETE
23;0.4072516471417269;2;6;22;0.682565956609316;0.5046314341880292;COMPLETE
24;0.5982639346562444;3;8;20;0.73102689772561;0.6295386522146649;COMPLETE
25;0.5115898098858248;4;7;20;0.8067447980296462;0.6090004335527733;COMPLETE
26;0.20927458871476412;1;8;26;0.7341029017934719;0.6608951247947061;COMPLETE
27;0.4478244545027523;2;6;22;0.7723293060366017;0.5012765323534722;COMPLETE
28;0.007061153351497151;6;5;31;0.8272152565576651;0.6694532653677426;COMPLETE
29;-0.21404666074346923;7;7;23;0.7381307628695083;0.5783478869494105;COMPLETE
30;0.5761053477959045;3;7;19;0.6018192790482201;0.5475378913456593;COMPLETE
31;0.5760524580827291;3;8;17;0.6597389464893905;0.7194290233748133;COMPLETE
32;0.5319003604911718;4;8;24;0.6868871174808783;0.8466345267674179;COMPLETE
33;0.5670456479613933;3;7;20;0.720655280450082;0.6548911240655;COMPLETE
34;0.506563355291565;2;8;35;0.7643188928823467;0.9665395215743626;COMPLETE
35;0.4933463843555821;4;7;27;0.5954863092539908;0.7357376734681859;COMPLETE
36;0.5782842687752237;3;3;19;0.6927612818054018;0.6114961940174788;COMPLETE
37;0.49114446441823123;2;8;24;0.7350046597404681;0.8138268874930468;COMPLETE
38;0.3263465175274435;5;7;31;0.6546831028708056;0.547365268832495;COMPLETE
39;0.5704966090280198;3;7;28;0.8318151046315646;0.7013128824651262;COMPLETE
40;0.43953191691590954;4;6;15;0.628798396375191;1.0773464494919902;COMPLETE
41;0.5847463156779438;3;8;12;0.6496063347361164;0.7835440670385088;COMPLETE
42;0.5714360308074073;3;8;12;0.6706082237273618;0.6824150522037014;COMPLETE
43;0.3159720888121863;2;8;8;0.5992446791317305;0.6207324246998267;COMPLETE
44;0.39527172188157556;5;7;11;0.6378035283490227;0.7639238963646422;COMPLETE
45;0.5129081776300424;3;8;7;0.7019318147410227;0.8480795252324622;COMPLETE
46;0.45285470806087824;4;8;18;0.6664665273629733;0.9625568451256551;COMPLETE
47;0.18049427582638122;1;7;21;0.5512910894391301;0.5611367279300751;COMPLETE
48;0.17282215356607955;2;1;3;0.6496689684878586;1.3414836759670736;COMPLETE
49;0.5813537209518735;3;8;13;0.7483297969739363;0.7579128042952213;COMPLETE
50;0.5455347811314213;4;6;16;0.8884164373268555;0.8170155197471212;COMPLETE
