bloco;genotipo;condicao;CHL TOTAL (25.02);predito_cv;residuo_cv
B1;BR16;IRRIG;42.93333333333334;42.205943747194716;0.7273895861386208
B2;BR16;IRRIG;41.88333333333333;41.52416973680916;0.3591635965241764
B3;BR16;IRRIG;44.300000000000004;43.29820130919591;1.001798690804094
B4;BR16;IRRIG;42.75;43.25531445686478;-0.5053144568647809
B1;BR16;NIRRIG;45.22;44.48071640390312;0.7392835960968753
B2;BR16;NIRRIG;44.68333333333334;43.139579912646944;1.543753420686393
B3;BR16;NIRRIG;40.016666666666666;41.01383966058407;-0.9971729939174026
B4;BR16;NIRRIG;42.24;44.212488771924235;-1.9724887719242332
B1;EMB48;IRRIG;42.73333333333333;39.14922219861641;3.5841111347169203
B2;EMB48;IRRIG;38.166666666666664;39.62830056980305;-1.4616339031363879
B3;EMB48;IRRIG;40.03333333333333;40.82402874204791;-0.7906954087145763
B4;EMB48;IRRIG;40.24999999999999;38.53212685062721;1.7178731493727852
B1;EMB48;NIRRIG;37.06666666666667;38.88221977031712;-1.8155531036504513
B2;EMB48;NIRRIG;41.18333333333334;40.282455382346114;0.9008779509872227
B3;EMB48;NIRRIG;39.3;35.490985650433856;3.809014349566141
B4;EMB48;NIRRIG;38.483333333333334;37.782052886674066;0.7012804466592684
B1;CD202;IRRIG;40.150000000000006;39.820840068273675;0.3291599317263305
B2;CD202;IRRIG;39.26666666666667;39.499212466199175;-0.23254579953250243
B3;CD202;IRRIG;36.266666666666666;38.2353332523901;-1.9686665857234331
B4;CD202;IRRIG;39.416666666666664;40.716537937470484;-1.2998712708038198
B1;CD202;NIRRIG;38.08;40.147693330333254;-2.067693330333256
B2;CD202;NIRRIG;39.833333333333336;40.76038016854147;-0.9270468352081309
B3;CD202;NIRRIG;39.36666666666667;38.26786502519256;1.098801641474104
B4;CD202;NIRRIG;38.833333333333336;40.068321004872985;-1.234987671539649
