bloco;genotipo;condicao;data;chl_total;predito_cv;residuo_cv
B1;BR16;IRRIG;23/02;41.61666666666667;41.26454953881838;0.3521171278482882
B2;BR16;IRRIG;23/02;38.13333333333333;41.72433239840865;-3.590999065075316
B3;BR16;IRRIG;23/02;41.199999999999996;41.603789958672316;-0.4037899586723199
B4;BR16;IRRIG;23/02;39.96666666666667;42.991059511366615;-3.024392844699946
B1;BR16;NIRRIG;23/02;42.13333333333333;41.66299274462249;0.4703405887108403
B2;BR16;NIRRIG;23/02;40.88333333333333;41.63824205248151;-0.754908719148176
B3;BR16;NIRRIG;23/02;37.78333333333333;39.316580924825395;-1.5332475914920636
B4;BR16;NIRRIG;23/02;41.199999999999996;44.19906343136699;-2.9990634313669915
B1;EMB48;IRRIG;23/02;37.96666666666667;39.69071387008173;-1.7240472034150613
B2;EMB48;IRRIG;23/02;35.25;40.37017129177981;-5.120171291779812
B3;EMB48;IRRIG;23/02;35.449999999999996;40.96716953219665;-5.517169532196654
B4;EMB48;IRRIG;23/02;38.78;39.17366030682231;-0.3936603068223121
B1;EMB48;NIRRIG;23/02;35.699999999999996;36.107119316259435;-0.40711931625943976
B2;EMB48;NIRRIG;23/02;39.84;39.37367495571054;0.4663250442894622
B3;EMB48;NIRRIG;23/02;39.949999999999996;38.48214350547492;1.4678564945250727
B4;EMB48;NIRRIG;23/02;37.63333333333333;38.35237409823446;-0.7190407649011306
B1;CD202;IRRIG;23/02;38.06666666666666;38.5160198754675;-0.4493532088008365
B2;CD202;IRRIG;23/02;36.400000000000006;40.60214599657504;-4.202145996575034
B3;CD202;IRRIG;23/02;33.02;40.17972638811079;-7.1597263881107835
B4;CD202;IRRIG;23/02;35.45;39.369931012842905;-3.919931012842902
B1;CD202;NIRRIG;23/02;36.76666666666667;39.20231033922506;-2.4356436725583848
B2;CD202;NIRRIG;23/02;38.43333333333333;40.302177140785545;-1.8688438074522153
B3;CD202;NIRRIG;23/02;38.61666666666667;39.187169581026566;-0.5705029143598992
B4;CD202;NIRRIG;23/02;38.95;38.13635394394423;0.8136460560557737
B1;BR16;IRRIG;24/02;44.38333333333333;42.95191110287463;1.4314222304587005
B2;BR16;IRRIG;24/02;42.0;41.12871644525097;0.8712835547490272
B3;BR16;IRRIG;24/02;46.01666666666667;41.40419956595783;4.612467100708841
B4;BR16;IRRIG;24/02;42.13333333333333;42.24510419027705;-0.11177085694371414
B1;BR16;NIRRIG;24/02;43.475;42.48853586906884;0.9864641309311608
B2;BR16;NIRRIG;24/02;43.76666666666666;41.7672100379062;1.9994566287604556
B3;BR16;NIRRIG;24/02;40.25;40.36676432563103;-0.11676432563103134
B4;BR16;NIRRIG;24/02;41.550000000000004;42.46016707999374;-0.9101670799937338
B1;EMB48;IRRIG;24/02;42.199999999999996;38.51024651716983;3.689753482830163
B2;EMB48;IRRIG;24/02;38.1;39.77260714289871;-1.6726071428987055
B3;EMB48;IRRIG;24/02;40.25;39.450198377700346;0.799801622299654
B4;EMB48;IRRIG;24/02;40.98333333333333;39.402731642311174;1.580601691022153
B1;EMB48;NIRRIG;24/02;36.28333333333333;37.44952787051517;-1.1661945371818376
B2;EMB48;NIRRIG;24/02;40.739999999999995;40.167269689278925;0.5727303107210702
B3;EMB48;NIRRIG;24/02;41.839999999999996;39.706496479190115;2.1335035208098816
B4;EMB48;NIRRIG;24/02;38.62;40.29463097605895;-1.6746309760589497
B1;CD202;IRRIG;24/02;40.51666666666667;38.022786252892274;2.4938804137743986
B2;CD202;IRRIG;24/02;38.85;39.427621364305715;-0.5776213643057133
B3;CD202;IRRIG;24/02;36.85;38.283346750204;-1.4333467502039952
B4;CD202;IRRIG;24/02;39.38;39.52912636373849;-0.14912636373848898
B1;CD202;NIRRIG;24/02;37.18333333333334;38.68026163479403;-1.4969283014606916
B2;CD202;NIRRIG;24/02;39.216666666666676;39.44113538657899;-0.22446871991231632
B3;CD202;NIRRIG;24/02;39.519999999999996;37.80724969121075;1.7127503087892464
B4;CD202;NIRRIG;24/02;38.516666666666666;38.66352152305035;-0.14685485638368334
B1;BR16;IRRIG;26/02;42.699999999999996;40.80415455378707;1.895845446212924
B2;BR16;IRRIG;26/02;38.92;41.18853077719191;-2.2685307771919057
B3;BR16;IRRIG;26/02;45.699999999999996;41.247891014994806;4.452108985005189
B4;BR16;IRRIG;26/02;42.88333333333333;39.843680529733334;3.0396528035999992
B1;BR16;NIRRIG;26/02;44.36;40.53165873753099;3.82834126246901
B2;BR16;NIRRIG;26/02;42.0;41.611674482578636;0.38832551742136445
B3;BR16;NIRRIG;26/02;39.26666666666667;39.65104642381345;-0.38437975714677464
B4;BR16;NIRRIG;26/02;41.519999999999996;39.269558015175235;2.2504419848247608
B1;EMB48;IRRIG;26/02;40.43333333333334;40.08552978780588;0.34780354552745507
B2;EMB48;IRRIG;26/02;36.11666666666667;39.28261598024085;-3.165949313574181
B3;EMB48;IRRIG;26/02;37.333333333333336;37.850581554229215;-0.5172482208958797
B4;EMB48;IRRIG;26/02;38.1;36.05793728806825;2.0420627119317487
B1;EMB48;NIRRIG;26/02;39.833333333333336;37.55702890834319;2.276304424990144
B2;EMB48;NIRRIG;26/02;40.36666666666667;39.64319191157367;0.7234747550929939
B3;EMB48;NIRRIG;26/02;37.733333333333334;37.509720426610926;0.2236129067224084
B4;EMB48;NIRRIG;26/02;38.083333333333336;38.598160806230766;-0.51482747289743
B1;CD202;IRRIG;26/02;38.916666666666664;38.22051184024121;0.696154826425456
B2;CD202;IRRIG;26/02;38.86666666666667;39.01101148178989;-0.14434481512322606
B3;CD202;IRRIG;26/02;36.800000000000004;37.39567216521627;-0.5956721652162642
B4;CD202;IRRIG;26/02;38.36666666666667;39.87821946028293;-1.5115527936162607
B1;CD202;NIRRIG;26/02;38.0;38.97326147998684;-0.9732614799868387
B2;CD202;NIRRIG;26/02;37.5;39.811149080797875;-2.3111490807978754
B3;CD202;NIRRIG;26/02;38.239999999999995;38.293987149810974;-0.05398714981097896
B4;CD202;NIRRIG;26/02;38.879999999999995;38.922537756438565;-0.04253775643856983
B1;BR16;IRRIG;27/02;43.083333333333336;42.83107604836049;0.25225728497284905
B2;BR16;IRRIG;27/02;40.949999999999996;41.60424768937263;-0.6542476893726317
B3;BR16;IRRIG;27/02;44.6;40.42191113029005;4.178088869709953
B4;BR16;IRRIG;27/02;43.98;40.20958715567133;3.7704128443286677
B1;BR16;NIRRIG;27/02;43.81666666666667;41.09903105568512;2.717635610981553
B2;BR16;NIRRIG;27/02;42.84;42.36507128267765;0.4749287173223564
B3;BR16;NIRRIG;27/02;40.78333333333334;39.509122146318404;1.2742111870149344
B4;BR16;NIRRIG;27/02;42.06666666666666;41.79483673774365;0.2718299289230117
B1;EMB48;IRRIG;27/02;40.92;39.633659715853405;1.286340284146597
B2;EMB48;IRRIG;27/02;37.68333333333333;38.9801849154118;-1.2968515820784674
B3;EMB48;IRRIG;27/02;38.85;38.527122341303915;0.3228776586960862
B4;EMB48;IRRIG;27/02;39.839999999999996;37.83546227288053;2.0045377271194695
B1;EMB48;NIRRIG;27/02;40.01666666666667;38.38323250854632;1.6334341581203518
B2;EMB48;NIRRIG;27/02;40.7;40.622471220715845;0.07752877928415813
B3;EMB48;NIRRIG;27/02;38.483333333333334;39.66681564379589;-1.1834823104625585
B4;EMB48;NIRRIG;27/02;39.583333333333336;38.27940877964311;1.3039245536902229
B1;CD202;IRRIG;27/02;38.68333333333333;40.54881921611891;-1.8654858827855776
B2;CD202;IRRIG;27/02;40.86666666666667;38.97938392428142;1.8872827423852456
B3;CD202;IRRIG;27/02;36.800000000000004;38.26325220655319;-1.4632522065531859
B4;CD202;IRRIG;27/02;38.61666666666666;40.98044907444781;-2.3637824077811516
B1;CD202;NIRRIG;27/02;37.61666666666667;40.25693480011831;-2.6402681334516416
B2;CD202;NIRRIG;27/02;38.46666666666667;40.869381675881606;-2.402715009214937
B3;CD202;NIRRIG;27/02;38.5;40.06561114819807;-1.565611148198073
B4;CD202;NIRRIG;27/02;39.18333333333333;40.963596738963204;-1.7802634056298743
B1;BR16;IRRIG;02/03;42.800000000000004;43.77378181384181;-0.9737818138418035
B2;BR16;IRRIG;02/03;38.166666666666664;41.55795335010029;-3.391286683433627
B3;BR16;IRRIG;02/03;43.400000000000006;41.699748389097536;1.7002516109024697
B4;BR16;IRRIG;02/03;41.7;41.12840115654516;0.5715988434548436
B1;BR16;NIRRIG;02/03;44.550000000000004;42.37755869949761;2.172441300502392
B2;BR16;NIRRIG;02/03;45.21666666666667;44.49568210514127;0.7209845615253982
B3;BR16;NIRRIG;02/03;44.599999999999994;44.623190377377995;-0.02319037737800045
B4;BR16;NIRRIG;02/03;46.76666666666667;43.39594198905914;3.3707246776075337
B1;EMB48;IRRIG;02/03;40.11666666666667;41.07961676367325;-0.9629500970065834
B2;EMB48;IRRIG;02/03;39.96;42.101728348495854;-2.141728348495853
B3;EMB48;IRRIG;02/03;38.99999999999999;41.817003980810846;-2.8170039808108527
B4;EMB48;IRRIG;02/03;37.03333333333333;41.43768766967641;-4.404354336343076
B1;EMB48;NIRRIG;02/03;39.72;39.90304254134682;-0.18304254134682196
B2;EMB48;NIRRIG;02/03;41.53333333333333;40.60197326532865;0.931360068004679
B3;EMB48;NIRRIG;02/03;39.699999999999996;41.388073500007934;-1.6880735000079383
B4;EMB48;NIRRIG;02/03;41.55;40.69458980664216;0.8554101933578337
B1;CD202;IRRIG;02/03;39.03333333333333;43.92833577183362;-4.895002438500292
B2;CD202;IRRIG;02/03;37.54;40.284772249374484;-2.744772249374485
B3;CD202;IRRIG;02/03;39.96666666666667;40.95307583152893;-0.986409164862259
B4;CD202;IRRIG;02/03;40.71666666666667;41.91307554616656;-1.1964088794998915
B1;CD202;NIRRIG;02/03;39.36666666666667;39.64055084136747;-0.27388417470080384
B2;CD202;NIRRIG;02/03;36.65;41.12197057292319;-4.4719705729231904
B3;CD202;NIRRIG;02/03;38.616666666666674;40.426349741558205;-1.809683074891531
B4;CD202;NIRRIG;02/03;39.71666666666667;40.599043505591354;-0.8823768389246851
B1;BR16;IRRIG;03/03;44.9;42.3920335200113;2.5079664799886956
B2;BR16;IRRIG;03/03;42.083333333333336;40.20231781439875;1.8810155189345892
B3;BR16;IRRIG;03/03;44.64;42.832692436454785;1.8073075635452156
B4;BR16;IRRIG;03/03;44.96;41.06167532210964;3.8983246778903577
B1;BR16;NIRRIG;03/03;46.58;41.79843829723102;4.781561702768975
B2;BR16;NIRRIG;03/03;46.86666666666667;42.524716423321735;4.341950243344932
B3;BR16;NIRRIG;03/03;43.580000000000005;44.243647293278094;-0.663647293278089
B4;BR16;NIRRIG;03/03;46.28;42.87023574312029;3.4097642568797113
B1;EMB48;IRRIG;03/03;43.08;41.25570005969418;1.8242999403058207
B2;EMB48;IRRIG;03/03;41.050000000000004;40.62489309367883;0.42510690632117587
B3;EMB48;IRRIG;03/03;40.949999999999996;40.79934435404607;0.15065564595392544
B4;EMB48;IRRIG;03/03;40.9;41.638389264291426;-0.7383892642914276
B1;EMB48;NIRRIG;03/03;42.059999999999995;39.33153276573673;2.728467234263263
B2;EMB48;NIRRIG;03/03;43.23333333333334;40.46627974680534;2.767053586528
B3;EMB48;NIRRIG;03/03;40.13333333333333;41.63729586781083;-1.5039625344774947
B4;EMB48;NIRRIG;03/03;43.279999999999994;39.3448007012009;3.935199298799091
B1;CD202;IRRIG;03/03;41.666666666666664;42.23501836303069;-0.5683516963640258
B2;CD202;IRRIG;03/03;38.050000000000004;39.54001107123754;-1.4900110712375323
B3;CD202;IRRIG;03/03;39.06666666666667;41.30414713208976;-2.23748046542309
B4;CD202;IRRIG;03/03;42.339999999999996;41.60672879063722;0.7332712093627762
B1;CD202;NIRRIG;03/03;42.28;40.28830309467245;1.9916969053275508
B2;CD202;NIRRIG;03/03;37.35;39.10430627572134;-1.7543062757213406
B3;CD202;NIRRIG;03/03;38.78;40.29208459848994;-1.5120845984899418
B4;CD202;NIRRIG;03/03;38.94;38.39708353937342;0.5429164606265786
