bloco;genotipo;condicao;data;chl_total;predito_cv;residuo_cv
B1;BR16;IRRIG;23/02;41.61666666666667;41.17801966110549;0.4386470055611795
B2;BR16;IRRIG;23/02;38.13333333333333;40.86809932158903;-2.7347659882556954
B3;BR16;IRRIG;23/02;41.199999999999996;41.7427610335936;-0.5427610335936066
B4;BR16;IRRIG;23/02;39.96666666666667;42.87115590858368;-2.9044892419170125
B1;BR16;NIRRIG;23/02;42.13333333333333;41.97695854744298;0.1563747858903497
B2;BR16;NIRRIG;23/02;40.88333333333333;40.78243926906369;0.10089406426964587
B3;BR16;NIRRIG;23/02;37.78333333333333;39.22541963684586;-1.442086303512525
B4;BR16;NIRRIG;23/02;41.199999999999996;43.76377164361033;-2.5637716436103375
B1;EMB48;IRRIG;23/02;37.96666666666667;39.62330284266397;-1.6566361759972992
B2;EMB48;IRRIG;23/02;35.25;40.184510293674485;-4.934510293674485
B3;EMB48;IRRIG;23/02;35.449999999999996;41.155444482575604;-5.705444482575608
B4;EMB48;IRRIG;23/02;38.78;39.598302778912654;-0.8183027789126527
B1;EMB48;NIRRIG;23/02;35.699999999999996;37.01117771254618;-1.3111777125461828
B2;EMB48;NIRRIG;23/02;39.84;38.804579986068184;1.0354200139318195
B3;EMB48;NIRRIG;23/02;39.949999999999996;38.180198958949774;1.769801041050222
B4;EMB48;NIRRIG;23/02;37.63333333333333;38.10248054277289;-0.469147209439555
B1;CD202;IRRIG;23/02;38.06666666666666;39.335521603284796;-1.2688549366181334
B2;CD202;IRRIG;23/02;36.400000000000006;40.36516408313865;-3.965164083138646
B3;CD202;IRRIG;23/02;33.02;40.102094551198384;-7.082094551198381
B4;CD202;IRRIG;23/02;35.45;39.84316315338787;-4.393163153387867
B1;CD202;NIRRIG;23/02;36.76666666666667;39.625942190370125;-2.8592755237034524
B2;CD202;NIRRIG;23/02;38.43333333333333;40.254504350463925;-1.8211710171305953
B3;CD202;NIRRIG;23/02;38.61666666666667;39.39585112255993;-0.7791844558932652
B4;CD202;NIRRIG;23/02;38.95;38.21767238248555;0.73232761751445
B1;BR16;IRRIG;24/02;44.38333333333333;43.242288693662644;1.1410446396706888
B2;BR16;IRRIG;24/02;42.0;40.679436373055715;1.3205636269442849
B3;BR16;IRRIG;24/02;46.01666666666667;41.593912631888124;4.422754034778549
B4;BR16;IRRIG;24/02;42.13333333333333;42.20699748978156;-0.0736641564482241
B1;BR16;NIRRIG;24/02;43.475;42.715373472605265;0.7596265273947367
B2;BR16;NIRRIG;24/02;43.76666666666666;41.35746763698104;2.4091990296856167
B3;BR16;NIRRIG;24/02;40.25;40.59611232763689;-0.34611232763688804
B4;BR16;NIRRIG;24/02;41.550000000000004;42.38259697607441;-0.8325969760744059
B1;EMB48;IRRIG;24/02;42.199999999999996;38.536340608328445;3.663659391671551
B2;EMB48;IRRIG;24/02;38.1;39.29813029700631;-1.1981302970063084
B3;EMB48;IRRIG;24/02;40.25;39.47458538311101;0.7754146168889875
B4;EMB48;IRRIG;24/02;40.98333333333333;39.212178128258394;1.7711552050749333
B1;EMB48;NIRRIG;24/02;36.28333333333333;37.711713522498506;-1.4283801891651748
B2;EMB48;NIRRIG;24/02;40.739999999999995;39.59233786946224;1.1476621305377535
B3;EMB48;NIRRIG;24/02;41.839999999999996;38.933320137312634;2.906679862687362
B4;EMB48;NIRRIG;24/02;38.62;39.68404713407858;-1.064047134078585
B1;CD202;IRRIG;24/02;40.51666666666667;38.07719015429789;2.4394765123687847
B2;CD202;IRRIG;24/02;38.85;38.873633784509835;-0.023633784509833333
B3;CD202;IRRIG;24/02;36.85;37.73247694179008;-0.8824769417900811
B4;CD202;IRRIG;24/02;39.38;39.66855355811816;-0.28855355811815997
B1;CD202;NIRRIG;24/02;37.18333333333334;38.482866972408345;-1.2995336390750083
