data;estrategia;n;r2_medio;r2_dp;r2_mediana;r2_p025;r2_p975
23/02;70/30;24;0.3425483145980246;0.5815128072638689;0.44545778838475714;-0.433739306876327;0.8441796908081097
23/02;80/20;24;0.01116212448411174;1.7424946102236318;0.42992101062135146;-2.5670907617129624;0.8216957247092062
23/02;CV=4;24;0.46905744757601386;;0.46905744757601386;0.46905744757601386;0.46905744757601386
23/02;CV=5;24;0.5403995995082558;0.036399830769928594;0.5443954254466099;0.4673764866895522;0.5923014766138667
23/02;LOO;24;0.5502252436304925;;0.5502252436304925;;
24/02;70/30;24;-0.5757246295151073;1.5405055499562836;-0.13731267160005622;-5.549520570223237;0.5638205593750334
24/02;80/20;24;-0.9257563864457399;1.9960935483653668;0.04375254421560343;-6.3473450213995966;0.7068594928212345
24/02;CV=4;24;0.14929770713470314;;0.14929770713470314;0.14929770713470314;0.14929770713470314
24/02;CV=5;24;-0.0886937539318385;0.24952516264751004;-0.05851041857021089;-0.6392604583630774;0.2795231680547239
24/02;LOO;24;0.1570668112121597;;0.1570668112121597;;
25/02;70/30;24;0.23022051666761714;0.6760036742718701;0.49100960837588614;-1.8213400567852844;0.7833001161710098
25/02;80/20;24;-0.004628092228932063;1.011436705157522;0.42156386304419957;-2.6216760686975698;0.8358253872431021
25/02;CV=4;24;0.5306162312005123;;0.5306162312005123;0.5306162312005123;0.5306162312005123
25/02;CV=5;24;0.4748633455716755;0.06470070622719033;0.47264677135882727;0.3581844268938628;0.5908975800344751
25/02;LOO;24;0.4899762835336331;;0.4899762835336331;;
26/02;70/30;24;-0.9207101389752077;2.04636375657679;-0.20483592118695015;-6.523126080636395;0.3564190447500923
26/02;80/20;24;-2.126260959612759;7.176085415834533;-0.23365126817889126;-15.406667373958761;0.5354322008897979
26/02;CV=4;24;0.10009111601136111;;0.10009111601136111;0.10009111601136111;0.10009111601136111
26/02;CV=5;24;-0.1754315263594287;0.1637771630376677;-0.14638084840398013;-0.5153852273696461;0.0732483198972479
26/02;LOO;24;-0.10886103275117254;;-0.10886103275117254;;
27/02;70/30;24;-0.6957163345985227;1.2240429499227075;-0.28477780892694093;-4.203151665139736;0.4062841424160864
27/02;80/20;24;-0.7467824809363769;1.7699421664840136;-0.34590598466958034;-4.417337785861286;0.6170782714433898
27/02;CV=4;24;0.18118485553154973;;0.18118485553154973;0.18118485553154973;0.18118485553154973
27/02;CV=5;24;-0.09257725025948735;0.21339399463469147;-0.05858198781431345;-0.5754993656249464;0.2981379004064098
27/02;LOO;24;0.10567508989847685;;0.10567508989847685;;
02/03;70/30;24;-0.03977699486905172;0.7913839325655052;0.193643655183509;-2.167529776860705;0.595318988039672
02/03;80/20;24;-0.6220423613880968;2.645815627391072;0.14501277535890894;-5.290723251692545;0.6621339414971139
02/03;CV=4;24;0.32646326355456534;;0.32646326355456534;0.32646326355456534;0.32646326355456534
02/03;CV=5;24;0.2572798219598697;0.12363980623874785;0.287004793980911;0.011415400454253764;0.45272989620597076
02/03;LOO;24;0.3050863265012218;;0.3050863265012218;;
03/03;70/30;24;-0.27701562168616983;0.8494332598611601;0.004694072128484994;-2.917773118948223;0.4990695114954957
03/03;80/20;24;-0.5935905310010238;1.5173635760445479;-0.09206009094895007;-3.6750299442706194;0.649857681495085
03/03;CV=4;24;0.09195656833154064;;0.09195656833154064;0.09195656833154064;0.09195656833154064
03/03;CV=5;24;0.06061376916413431;0.10511520845816892;0.06820796796812872;-0.20049443775079875;0.24837506318711916
03/03;LOO;24;0.10274406718093987;;0.10274406718093987;;
