data;estrategia;repeticao;r2
23/02;70/30;1;0.7073548326864278
23/02;70/30;2;0.10637578080340193
23/02;70/30;3;0.8120250808742595
23/02;70/30;4;0.4345003269794191
23/02;70/30;5;-0.09768851601756356
23/02;70/30;6;0.45665328365416435
23/02;70/30;7;0.39751898963452015
23/02;70/30;8;0.3071846818540812
23/02;70/30;9;-0.247618789677303
23/02;70/30;10;0.8003378879039053
23/02;70/30;11;0.8396915284578026
23/02;70/30;12;0.6619335616238637
23/02;70/30;13;0.5125186305087478
23/02;70/30;14;0.8482404091250544
23/02;70/30;15;-0.1845046427756618
23/02;70/30;16;0.4387590528995531
23/02;70/30;17;0.621972130539094
23/02;70/30;18;0.6636154948677018
23/02;70/30;19;0.767353350581012
23/02;70/30;20;0.6669806743468825
23/02;70/30;21;0.5337379180763235
23/02;70/30;22;0.8384899380609021
23/02;70/30;23;0.5484716510275223
23/02;70/30;24;0.012093178525392156
23/02;70/30;25;0.6754195946867345
23/02;70/30;26;0.6289892747255079
23/02;70/30;27;0.6445165906678747
23/02;70/30;28;0.7140240754249142
23/02;70/30;29;0.1033583593759525
23/02;70/30;30;0.30276872018792034
23/02;70/30;31;0.39513275319139973
23/02;70/30;32;0.24224477301188985
23/02;70/30;33;0.17059653118758256
23/02;70/30;34;0.19852445857363588
23/02;70/30;35;0.21063361560678795
23/02;70/30;36;0.7916680638790351
23/02;70/30;37;0.806010931295881
23/02;70/30;38;0.6036368108774726
23/02;70/30;39;0.1720310887470876
23/02;70/30;40;0.4451606772761524
23/02;70/30;41;0.693220876263664
23/02;70/30;42;-0.5180798048812698
23/02;70/30;43;0.5075687387861288
23/02;70/30;44;0.5388861658292219
23/02;70/30;45;0.43904260218335756
23/02;70/30;46;0.7694781455616366
23/02;70/30;47;-4.268828635201396
23/02;70/30;48;0.13880244200320013
23/02;70/30;49;0.1569519644022398
23/02;70/30;50;0.39051926380679314
23/02;70/30;51;-0.09298569349710517
23/02;70/30;52;-0.24613644712422866
23/02;70/30;53;0.2354987352703155
23/02;70/30;54;-0.29422019571978786
23/02;70/30;55;0.18952174022001123
23/02;70/30;56;0.767712887592075
23/02;70/30;57;0.6886567909245471
23/02;70/30;58;0.007832409112827121
23/02;70/30;59;0.4650531601800383
23/02;70/30;60;0.632764192049845
23/02;70/30;61;-0.3074453460177282
23/02;70/30;62;-0.7376886742299857
23/02;70/30;63;0.7461768868992402
23/02;70/30;64;0.6368706764746439
23/02;70/30;65;0.5531583986924328
23/02;70/30;66;0.022127755786657488
23/02;70/30;67;0.5770334910445203
23/02;70/30;68;0.08308583994077101
23/02;70/30;69;0.8250024002754843
23/02;70/30;70;-0.18104946160293878
23/02;70/30;71;0.4371930034145316
23/02;70/30;72;0.5751548029836636
23/02;70/30;73;0.42969703837987083
23/02;70/30;74;0.5246462212228831
23/02;70/30;75;0.43042630107583935
23/02;70/30;76;0.6642967505933626
23/02;70/30;77;0.8641910169688843
23/02;70/30;78;0.533180774719705
23/02;70/30;79;0.4157608116091914
23/02;70/30;80;0.6890527701948189
23/02;70/30;81;0.5293350056096195
23/02;70/30;82;0.6418834785462145
23/02;70/30;83;0.10318233585364411
23/02;70/30;84;-0.10400626264057089
23/02;70/30;85;0.5858903815357351
23/02;70/30;86;0.20332682540200342
23/02;70/30;87;-0.06089397162182153
23/02;70/30;88;0.12075115779281298
23/02;70/30;89;0.15349577566098893
23/02;70/30;90;-0.06430700944762102
23/02;70/30;91;0.13888586079799736
23/02;70/30;92;0.41513227557220156
23/02;70/30;93;0.7829489546009778
23/02;70/30;94;0.5975235843874636
23/02;70/30;95;-0.34052086171296914
23/02;70/30;96;0.8577083921226009
23/02;70/30;97;0.3306800260500473
23/02;70/30;98;0.6823939554375125
23/02;70/30;99;0.4457548994933619
23/02;70/30;100;0.7028231068989776
23/02;80/20;1;0.7620966293029321
23/02;80/20;2;0.7144454327546881
23/02;80/20;3;0.8686885580938066
23/02;80/20;4;0.6848186453742942
23/02;80/20;5;-0.482370938236548
23/02;80/20;6;0.6914394105794441
23/02;80/20;7;0.30700415510591694
23/02;80/20;8;-0.24594313392203948
23/02;80/20;9;-1.0540488022295076
23/02;80/20;10;0.7269637544608516
23/02;80/20;11;0.8067269853526475
23/02;80/20;12;0.8498162516183934
23/02;80/20;13;-0.6522655288853632
23/02;80/20;14;0.7792695250735204
23/02;80/20;15;-2.4981738150481267
23/02;80/20;16;0.1937694508102623
23/02;80/20;17;0.4794098327044666
23/02;80/20;18;0.37017976841027234
23/02;80/20;19;0.6480030523776359
23/02;80/20;20;-0.28988206227752444
23/02;80/20;21;-0.12217543949015308
23/02;80/20;22;0.8253191510692813
23/02;80/20;23;0.7062704018771206
23/02;80/20;24;-0.3182058227415705
23/02;80/20;25;0.7079611262767155
23/02;80/20;26;0.7996768991400917
23/02;80/20;27;0.3566293719902305
23/02;80/20;28;0.5679713181910169
23/02;80/20;29;0.08698827611701387
23/02;80/20;30;0.3659328231931622
23/02;80/20;31;-0.3775906443950334
23/02;80/20;32;0.46976233677725365
23/02;80/20;33;0.24103255642458654
23/02;80/20;34;-2.094426851534102
23/02;80/20;35;0.42098961881432795
23/02;80/20;36;0.5234945660242949
23/02;80/20;37;0.6839491360337615
23/02;80/20;38;0.7472881525170365
23/02;80/20;39;0.10188458894929364
23/02;80/20;40;0.43112321674552523
23/02;80/20;41;-0.1445411224388451
23/02;80/20;42;0.21628277273421959
23/02;80/20;43;0.20623080298885677
23/02;80/20;44;0.521931847717519
23/02;80/20;45;-0.4669642064252262
23/02;80/20;46;0.7738347374814657
23/02;80/20;47;-12.437281395005675
23/02;80/20;48;0.4287188044971777
23/02;80/20;49;0.31742262080006733
23/02;80/20;50;0.2121351550650472
23/02;80/20;51;-1.597785587978275
23/02;80/20;52;0.14078179415913594
23/02;80/20;53;0.11866788866524902
23/02;80/20;54;-1.3883065550381373
23/02;80/20;55;0.381776643423518
23/02;80/20;56;0.7837163896857788
23/02;80/20;57;0.7235938616580402
23/02;80/20;58;0.5884363751733241
23/02;80/20;59;0.6591581158428408
23/02;80/20;60;0.6606980624999572
23/02;80/20;61;-0.5337098850096265
23/02;80/20;62;0.28434268033154186
23/02;80/20;63;0.6375866938555179
23/02;80/20;64;0.6050714804348346
23/02;80/20;65;0.6472152138689917
23/02;80/20;66;-0.09976824841911025
23/02;80/20;67;0.5564951012873379
23/02;80/20;68;0.1755770742156847
23/02;80/20;69;0.7003144884546849
23/02;80/20;70;-9.710155631078303
23/02;80/20;71;0.571060621888278
23/02;80/20;72;0.6022299926632935
23/02;80/20;73;0.5258790522730286
23/02;80/20;74;-0.15488706083157
23/02;80/20;75;0.7530964577844543
23/02;80/20;76;-0.08212016597650784
23/02;80/20;77;0.8176908850480706
23/02;80/20;78;0.5697335447643981
23/02;80/20;79;0.41105703195163823
23/02;80/20;80;0.7601113775129602
23/02;80/20;81;0.705125245595325
23/02;80/20;82;0.7333353084833032
23/02;80/20;83;0.2437070269795093
23/02;80/20;84;-2.629444189647814
23/02;80/20;85;0.7249402524236876
23/02;80/20;86;0.7683691792769624
23/02;80/20;87;0.42683226299567
23/02;80/20;88;0.5749054553743804
23/02;80/20;89;-0.3337217643778094
23/02;80/20;90;-0.9214390312470788
23/02;80/20;91;-0.5786641078956758
23/02;80/20;92;0.6273765403579393
23/02;80/20;93;0.8090260183987577
23/02;80/20;94;0.4744503163765452
23/02;80/20;95;-0.06127642428508384
23/02;80/20;96;0.7895232484282954
23/02;80/20;97;0.0494204437493696
23/02;80/20;98;0.2590822387401098
23/02;80/20;99;0.7524684550051188
23/02;80/20;100;0.18304630975414404
23/02;CV=4;1;0.46905744757601386
23/02;CV=5;1;0.5505347156060123
23/02;CV=5;2;0.5871538576760473
23/02;CV=5;3;0.5788675462276334
23/02;CV=5;4;0.5414600934142539
23/02;CV=5;5;0.5038658822876658
23/02;CV=5;6;0.5301859934190791
23/02;CV=5;7;0.5970392320841018
23/02;CV=5;8;0.5820903584529529
23/02;CV=5;9;0.5615363752164241
23/02;CV=5;10;0.5685492814101674
23/02;CV=5;11;0.5317363809744442
23/02;CV=5;12;0.5537888345952249
23/02;CV=5;13;0.5226981511811064
23/02;CV=5;14;0.49801833720358313
23/02;CV=5;15;0.549270909881509
23/02;CV=5;16;0.5906306850334254
23/02;CV=5;17;0.5731856236741983
23/02;CV=5;18;0.5831481970955663
23/02;CV=5;19;0.5443077275866192
23/02;CV=5;20;0.5525542831277203
23/02;CV=5;21;0.4622776162756047
23/02;CV=5;22;0.574228576647126
23/02;CV=5;23;0.5767410518195926
23/02;CV=5;24;0.5342826629900581
23/02;CV=5;25;0.5845338383737408
23/02;CV=5;26;0.5084460526405701
23/02;CV=5;27;0.5061231006308472
23/02;CV=5;28;0.4730120803049678
23/02;CV=5;29;0.5258999106680305
23/02;CV=5;30;0.5673406185420278
23/02;CV=5;31;0.5332738630279561
23/02;CV=5;32;0.5726588953924379
23/02;CV=5;33;0.5112486017878854
23/02;CV=5;34;0.45159182080863525
23/02;CV=5;35;0.5339747502799869
23/02;CV=5;36;0.5777515334206063
23/02;CV=5;37;0.5886301202626418
23/02;CV=5;38;0.5677677129729788
23/02;CV=5;39;0.5308174940563912
23/02;CV=5;40;0.5285735214953062
23/02;CV=5;41;0.5217149294840182
23/02;CV=5;42;0.5489760064527756
23/02;CV=5;43;0.5990132913260162
23/02;CV=5;44;0.5387301048666675
23/02;CV=5;45;0.5824333217075044
23/02;CV=5;46;0.5232266206230686
23/02;CV=5;47;0.4898159379201017
23/02;CV=5;48;0.5682619694146862
23/02;CV=5;49;0.5692570775170738
23/02;CV=5;50;0.5186539422166563
23/02;CV=5;51;0.571563767371046
23/02;CV=5;52;0.5295184543724879
23/02;CV=5;53;0.5297658225925234
23/02;CV=5;54;0.4857991198429418
23/02;CV=5;55;0.40531592430926944
23/02;CV=5;56;0.5497906056455832
23/02;CV=5;57;0.5545484315897253
23/02;CV=5;58;0.5938131451866469
23/02;CV=5;59;0.563481308708852
23/02;CV=5;60;0.5513222815438051
23/02;CV=5;61;0.5408105047172982
23/02;CV=5;62;0.5778631523838635
23/02;CV=5;63;0.5625612745860848
23/02;CV=5;64;0.5396098765426866
23/02;CV=5;65;0.5830759906493319
23/02;CV=5;66;0.5139322976761989
23/02;CV=5;67;0.48578393662693686
23/02;CV=5;68;0.5520981118711166
23/02;CV=5;69;0.5590422162120102
23/02;CV=5;70;0.49163190401883894
23/02;CV=5;71;0.5591983181344096
23/02;CV=5;72;0.5856849517659423
23/02;CV=5;73;0.5109980387655733
23/02;CV=5;74;0.522274067092555
23/02;CV=5;75;0.5681914050695597
23/02;CV=5;76;0.5462546097189649
23/02;CV=5;77;0.5744106224111077
23/02;CV=5;78;0.4819121244535748
23/02;CV=5;79;0.5561801244487441
23/02;CV=5;80;0.5587375045930063
23/02;CV=5;81;0.5292919039966877
23/02;CV=5;82;0.5219471692803261
23/02;CV=5;83;0.5274170081914482
23/02;CV=5;84;0.4886447244510309
23/02;CV=5;85;0.5568455873512144
23/02;CV=5;86;0.5798977014062043
23/02;CV=5;87;0.5444831233066008
23/02;CV=5;88;0.5334893572829897
23/02;CV=5;89;0.491983904358975
23/02;CV=5;90;0.4983355321138435
23/02;CV=5;91;0.5146613924698809
23/02;CV=5;92;0.5159723488547598
23/02;CV=5;93;0.5804814165883652
23/02;CV=5;94;0.5829229214792583
23/02;CV=5;95;0.5085131099254234
23/02;CV=5;96;0.5182674670984542
23/02;CV=5;97;0.5619337550344363
23/02;CV=5;98;0.4861792273822828
23/02;CV=5;99;0.5417566739226858
23/02;CV=5;100;0.48188624335633434
24/02;70/30;1;0.13995897975296934
24/02;70/30;2;0.2058316438601373
24/02;70/30;3;0.0340673564462719
24/02;70/30;4;-1.0439512081428677
24/02;70/30;5;-0.017206629408577312
24/02;70/30;6;0.3650245637001853
24/02;70/30;7;0.2177931355146332
24/02;70/30;8;-5.638920091644161
24/02;70/30;9;-0.8762318982046515
24/02;70/30;10;0.24711562822008326
24/02;70/30;11;0.09627327231288096
24/02;70/30;12;0.07168213948737989
24/02;70/30;13;-0.5336951770772327
24/02;70/30;14;0.21273396198357875
24/02;70/30;15;0.2838920526741192
24/02;70/30;16;-2.1895202603824266
24/02;70/30;17;-3.5804080001807543
24/02;70/30;18;-0.001423142896986862
24/02;70/30;19;-0.9337136218294735
24/02;70/30;20;-1.325730845155146
24/02;70/30;21;0.12019015376498432
24/02;70/30;22;-0.5394421169321681
24/02;70/30;23;-0.47224076237657053
