bloco;genotipo;condicao;data;chl_total;predito_cv;residuo_cv
B1;BR16;IRRIG;23/02;41.61666666666667;40.14265201446766;1.4740146521990098
B2;BR16;IRRIG;23/02;38.13333333333333;41.40050310485339;-3.2671697715200594
B3;BR16;IRRIG;23/02;41.199999999999996;41.00185426188918;0.19814573811081715
B4;BR16;IRRIG;23/02;39.96666666666667;41.66070515576838;-1.6940384891017146
B1;BR16;NIRRIG;23/02;42.13333333333333;40.70896854488178;1.4243647884515553
B2;BR16;NIRRIG;23/02;40.88333333333333;40.97836343441983;-0.09503010108650045
B3;BR16;NIRRIG;23/02;37.78333333333333;40.652554167365395;-2.8692208340320633
B4;BR16;NIRRIG;23/02;41.199999999999996;42.22091320560058;-1.0209132056005856
B1;EMB48;IRRIG;23/02;37.96666666666667;39.46715478924531;-1.5004881225786448
B2;EMB48;IRRIG;23/02;35.25;41.09345108215455;-5.843451082154552
B3;EMB48;IRRIG;23/02;35.449999999999996;40.565702266084315;-5.11570226608432
B4;EMB48;IRRIG;23/02;38.78;40.12736089976843;-1.3473608997684323
B1;EMB48;NIRRIG;23/02;35.699999999999996;39.74332887632123;-4.043328876321233
B2;EMB48;NIRRIG;23/02;39.84;39.76151708829633;0.07848291170367361
B3;EMB48;NIRRIG;23/02;39.949999999999996;39.43675823028381;0.5132417697161884
B4;EMB48;NIRRIG;23/02;37.63333333333333;40.12448763664211;-2.4911543033087753
B1;CD202;IRRIG;23/02;38.06666666666666;39.760977825080374;-1.6943111584137114
B2;CD202;IRRIG;23/02;36.400000000000006;40.333370403987985;-3.933370403987979
B3;CD202;IRRIG;23/02;33.02;39.4162489753333;-6.3962489753333
B4;CD202;IRRIG;23/02;35.45;39.857068449105604;-4.407068449105601
B1;CD202;NIRRIG;23/02;36.76666666666667;40.14913308047532;-3.3824664138086504
B2;CD202;NIRRIG;23/02;38.43333333333333;40.29525754337825;-1.8619242100449185
B3;CD202;NIRRIG;23/02;38.61666666666667;41.22502873603814;-2.6083620693714735
B4;CD202;NIRRIG;23/02;38.95;40.61645439753546;-1.6664543975354604
B1;BR16;IRRIG;24/02;44.38333333333333;40.94265083957739;3.4406824937559435
B2;BR16;IRRIG;24/02;42.0;41.35183708607401;0.6481629139259866
B3;BR16;IRRIG;24/02;46.01666666666667;41.176608147813944;4.840058518852729
B4;BR16;IRRIG;24/02;42.13333333333333;40.698168888959074;1.4351644443742586
B1;BR16;NIRRIG;24/02;43.475;41.70489514409051;1.7701048559094943
B2;BR16;NIRRIG;24/02;43.76666666666666;41.8014357171785;1.9652309494881592
B3;BR16;NIRRIG;24/02;40.25;41.168286188615866;-0.9182861886158662
B4;BR16;NIRRIG;24/02;41.550000000000004;41.66633066875656;-0.11633066875655373
B1;EMB48;IRRIG;24/02;42.199999999999996;39.817375791283936;2.3826242087160594
B2;EMB48;IRRIG;24/02;38.1;41.23692765839519;-3.1369276583951873
B3;EMB48;IRRIG;24/02;40.25;40.26954743049064;-0.019547430490639783
B4;EMB48;IRRIG;24/02;40.98333333333333;39.5780899994816;1.405243333851729
B1;EMB48;NIRRIG;24/02;36.28333333333333;40.16414424761185;-3.88081091427852
B2;EMB48;NIRRIG;24/02;40.739999999999995;40.9662428686037;-0.22624286860370546
B3;EMB48;NIRRIG;24/02;41.839999999999996;39.504175275090525;2.3358247249094717
B4;EMB48;NIRRIG;24/02;38.62;41.00050951728749;-2.380509517287493
B1;CD202;IRRIG;24/02;40.51666666666667;40.01290063756476;0.5037660291019108
B2;CD202;IRRIG;24/02;38.85;40.30406059979829;-1.4540605997982894
B3;CD202;IRRIG;24/02;36.85;38.94944971999425;-2.0994497199942472
B4;CD202;IRRIG;24/02;39.38;39.33825671345468;0.041743286545319336
B1;CD202;NIRRIG;24/02;37.18333333333334;39.81309090282935;-2.6297575694960145
B2;CD202;NIRRIG;24/02;39.216666666666676;40.78045082457386;-1.563784157907186
B3;CD202;NIRRIG;24/02;39.519999999999996;40.73751107961316;-1.2175110796131605
B4;CD202;NIRRIG;24/02;38.516666666666666;40.78511169094256;-2.2684450242758913
B1;BR16;IRRIG;26/02;42.699999999999996;39.41912290052364;3.2808770994763563
B2;BR16;IRRIG;26/02;38.92;40.329289018889746;-1.4092890188897442
B3;BR16;IRRIG;26/02;45.699999999999996;40.21655011745112;5.483449882548875
