bloco;genotipo;condicao;data;chl_total;predito_cv;residuo_cv
B1;BR16;IRRIG;23/02;41.61666666666667;41.88096789477518;-0.26430122810851486
B2;BR16;IRRIG;23/02;38.13333333333333;42.43904981094526;-4.305716477611924
B3;BR16;IRRIG;23/02;41.199999999999996;41.85767549123782;-0.6576754912378249
B4;BR16;IRRIG;23/02;39.96666666666667;42.479847091773884;-2.5131804251072154
B1;BR16;NIRRIG;23/02;42.13333333333333;42.47232470748075;-0.33899137414741887
B2;BR16;NIRRIG;23/02;40.88333333333333;40.872565471961565;0.010767861371768106
B3;BR16;NIRRIG;23/02;37.78333333333333;39.66610227259957;-1.882768939266235
B4;BR16;NIRRIG;23/02;41.199999999999996;42.93655333198189;-1.736553331981895
B1;EMB48;IRRIG;23/02;37.96666666666667;39.614684142054074;-1.6480174753874053
B2;EMB48;IRRIG;23/02;35.25;40.057293091124976;-4.807293091124976
B3;EMB48;IRRIG;23/02;35.449999999999996;40.55018818644827;-5.100188186448271
B4;EMB48;IRRIG;23/02;38.78;39.96599289368583;-1.1859928936858282
B1;EMB48;NIRRIG;23/02;35.699999999999996;38.0872524368304;-2.3872524368304013
B2;EMB48;NIRRIG;23/02;39.84;39.80527609493828;0.034723905061724736
B3;EMB48;NIRRIG;23/02;39.949999999999996;39.21744043904664;0.7325595609533551
B4;EMB48;NIRRIG;23/02;37.63333333333333;38.12505433050721;-0.4917209971738785
B1;CD202;IRRIG;23/02;38.06666666666666;39.57354624569207;-1.5068795790254086
B2;CD202;IRRIG;23/02;36.400000000000006;40.58146522860611;-4.181465228606108
B3;CD202;IRRIG;23/02;33.02;38.95830434929769;-5.938304349297688
B4;CD202;IRRIG;23/02;35.45;40.694279874679886;-5.244279874679883
B1;CD202;NIRRIG;23/02;36.76666666666667;39.65723868769323;-2.890572021026557
B2;CD202;NIRRIG;23/02;38.43333333333333;40.30626482862307;-1.8729314952897411
B3;CD202;NIRRIG;23/02;38.61666666666667;39.497830962467134;-0.8811642958004668
B4;CD202;NIRRIG;23/02;38.95;38.85794363976746;0.09205636023254016
B1;BR16;IRRIG;24/02;44.38333333333333;43.40895287959057;0.9743804537427607
B2;BR16;IRRIG;24/02;42.0;41.875267859715315;0.12473214028468504
B3;BR16;IRRIG;24/02;46.01666666666667;42.215381131501076;3.801285535165597
B4;BR16;IRRIG;24/02;42.13333333333333;42.32469723950283;-0.1913639061694994
B1;BR16;NIRRIG;24/02;43.475;41.637487886343635;1.8375121136563664
B2;BR16;NIRRIG;24/02;43.76666666666666;40.89090855625265;2.8757581104140115
B3;BR16;NIRRIG;24/02;40.25;39.688261536697695;0.561738463302305
B4;BR16;NIRRIG;24/02;41.550000000000004;41.58177130800886;-0.031771308008856636
B1;EMB48;IRRIG;24/02;42.199999999999996;39.38092936130671;2.819070638693283
B2;EMB48;IRRIG;24/02;38.1;39.64823087257837;-1.5482308725783653
B3;EMB48;IRRIG;24/02;40.25;40.079270158163915;0.17072984183608497
B4;EMB48;IRRIG;24/02;40.98333333333333;40.34517974505842;0.6381535882749105
B1;EMB48;NIRRIG;24/02;36.28333333333333;37.60710068364466;-1.3237673503113285
B2;EMB48;NIRRIG;24/02;40.739999999999995;40.118454310571735;0.6215456894282596
B3;EMB48;NIRRIG;24/02;41.839999999999996;37.332149233854174;4.507850766145822
B4;EMB48;NIRRIG;24/02;38.62;38.87264870513757;-0.25264870513757387
B1;CD202;IRRIG;24/02;40.51666666666667;39.271045250786216;1.245621415880457
B2;CD202;IRRIG;24/02;38.85;39.685171904244434;-0.835171904244433
B3;CD202;IRRIG;24/02;36.85;38.39042572645897;-1.5404257264589702
B4;CD202;IRRIG;24/02;39.38;40.89646081391746;-1.5164608139174547
